POS,PLAYER,THRU,R4,SG-Off the Tee,SG-Off the Tee (Rank),SG-Approach to Green,SG-Approach to Green (Rank),SG- Around the Green,SG- Around the Green (Rank),SG-Putting,SG-Putting (Rank),SG-Total,SG-Total (Rank)
1,Chris Gotterup,-20,62,5.413,(1st),-0.042,(52nd),2.132,(13th),5.406,(5th),12.91,(1st)
2,Max Homa,-19,64,1.593,(21st),3.434,(20th),3.819,(2nd),3.063,(25th),11.91,(2nd)
T3,Lucas Glover,-18,69,-0.27,(47th),9.047,(1st),2.012,(14th),0.12,(54th),10.91,(T3)
T3,Lee Hodges,-18,69,2.285,(13th),-0.709,(61st),0.405,(37th),8.928,(1st),10.91,(T3)
T3,Ben Kohles,-18,68,1.978,(18th),3.679,(18th),2.895,(7th),2.357,(30th),10.91,(T3)
T6,Mac Meissner,-17,64,0.289,(38th),1.026,(46th),0.189,(T40),8.405,(2nd),9.91,(T6)
T6,Jackson Suber,-17,69,3.104,(7th),3.727,(16th),2.501,(8th),0.577,(47th),9.91,(T6)
T6,Doug Ghim,-17,68,2.126,(17th),2.323,(30th),1.201,(25th),4.259,(14th),9.91,(T6)
T9,Ryo Hisatsune,-16,67,1.455,(24th),2.479,(29th),1.796,(19th),3.179,(23rd),8.91,(T9)
T9,Zach Johnson,-16,68,0.149,(40th),3.042,(25th),1.502,(20th),4.216,(15th),8.91,(T9)
T9,Zac Blair,-16,70,-2.117,(69th),5.616,(5th),0.051,(43rd),5.359,(6th),8.91,(T9)
T12,Christiaan Bezuidenhout,-15,65,-1.382,(61st),4.29,(14th),0.661,(33rd),4.34,(13th),7.91,(T12)
T12,Tyler Duncan,-15,66,1.307,(26th),2.226,(33rd),1.378,(22nd),2.998,(26th),7.91,(T12)
T12,Blades Brown,-15,67,3.32,(4th),0.986,(47th),0.988,(29th),2.615,(28th),7.91,(T12)
T15,Kevin Yu,-14,66,2.267,(14th),2.105,(35th),-1.025,(61st),3.562,(20th),6.91,(T15)
T15,Stephan Jaeger,-14,66,-2.971,(76th),5.686,(4th),2.413,(9th),1.781,(34th),6.91,(T15)
T15,Matt Kuchar,-14,67,-1.25,(60th),-0.298,(58th),3.574,(4th),4.883,(8th),6.91,(T15)
T15,Rickie Fowler,-14,68,2.224,(15th),2.318,(31st),1.439,(21st),0.928,(45th),6.91,(T15)
T15,Chandler Phillips,-14,69,-0.918,(55th),-0.289,(57th),4.56,(1st),3.556,(21st),6.91,(T15)
T15,Preston Stout,(a),F,69,1.31,(25th),5.284,(8th),0.187,(T40),0.128,(53rd),6.91
T21,Harry Higgs,-13,67,1.205,(29th),1.297,(43rd),1.804,(18th),1.603,(40th),5.91,(T21)
T21,Ben Griffin,-13,67,-0.183,(45th),1.474,(42nd),1.121,(27th),3.497,(22nd),5.91,(T21)
T21,Zecheng Dou,-13,67,2.428,(12th),3.806,(15th),-1.322,(67th),0.997,(44th),5.91,(T21)
T21,David Lipsky,-13,68,-0.322,(48th),-0.079,(53rd),2.237,(11th),4.073,(16th),5.91,(T21)
T21,Troy Merritt,-13,69,1.29,(28th),-0.938,(62nd),0.484,(35th),5.073,(7th),5.91,(T21)
T26,Keegan Bradley,-12,64,1.602,(20th),0.561,(49th),1.025,(28th),1.721,(37th),4.91,(T26)
T26,Jacob Bridgeman,-12,67,1.3,(27th),3.223,(23rd),-2.45,(73rd),2.836,(27th),4.91,(T26)
T26,Davis Thompson,-12,68,3.141,(6th),3.518,(19th),-0.503,(51st),-1.247,(62nd),4.91,(T26)
T26,Pontus Nyholm,-12,69,-0.861,(53rd),3.111,(24th),-0.945,(59th),3.604,(18th),4.91,(T26)
T26,Erik van Rooyen,-12,69,0.36,(37th),-3.285,(71st),1.898,(17th),5.936,(4th),4.91,(T26)
T26,Emiliano Grillo,-12,69,-1.114,(58th),-0.396,(59th),-0.557,(53rd),6.976,(3rd),4.91,(T26)
T26,William Mouw,-12,70,0.926,(33rd),5.079,(10th),-0.145,(46th),-0.951,(61st),4.91,(T26)
T33,Matt Wallace,-11,65,-1.67,(65th),6.23,(3rd),-2.832,(74th),2.181,(31st),3.91,(T33)
T33,Michael Brennan,-11,67,2.968,(8th),4.44,(13th),-2.949,(75th),-0.55,(58th),3.91,(T33)
T33,Nick Dunlap,-11,67,-0.261,(46th),-1.273,(64th),0.674,(32nd),4.769,(11th),3.91,(T33)
T33,Davis Chatfield,-11,68,0.69,(34th),4.698,(12th),-0.688,(56th),-0.791,(59th),3.91,(T33)
T33,David Skinns,-11,68,-1.813,(68th),5.513,(6th),2.406,(10th),-2.197,(66th),3.91,(T33)
T33,Tom Hoge,-11,69,-2.532,(72nd),7.404,(2nd),-0.8,(57th),-0.163,(56th),3.91,(T33)
T39,Eric Cole,-10,65,0.573,(35th),1.982,(36th),-1.271,(64th),1.625,(39th),2.91,(T39)
T39,Lanto Griffin,-10,66,-0.1,(42nd),4.749,(11th),-0.88,(58th),-0.86,(60th),2.91,(T39)
T39,Trace Crowe,-10,67,4.084,(2nd),1.499,(40th),-3.154,(76th),0.48,(48th),2.91,(T39)
T39,Karl Vilips,-10,69,-2.137,(70th),1.741,(38th),3.054,(6th),0.251,(51st),2.91,(T39)
T39,Pierceson Coody,-10,70,1.186,(30th),3.418,(21st),1.222,(24th),-2.917,(70th),2.91,(T39)
T39,Beau Hossler,-10,71,2.624,(11th),1.186,(44th),-1.212,(63rd),0.311,(50th),2.91,(T39)
T39,Aaron Wise,-10,72,-1.629,(63rd),0.636,(48th),1.903,(16th),1.999,(33rd),2.91,(T39)
T46,Mackenzie Hughes,-9,66,-1.144,(59th),-2.373,(70th),0.652,(34th),4.774,(10th),1.91,(T46)
T46,Joel Dahmen,-9,67,-0.023,(41st),-0.238,(55th),0.418,(36th),1.752,(35th),1.91,(T46)
T46,Keita Nakajima,-9,68,-2.662,(74th),2.727,(27th),0.18,(42nd),1.664,(38th),1.91,(T46)
T46,Mark Hubbard,-9,68,1.543,(23rd),-0.205,(54th),-0.544,(52nd),1.115,(43rd),1.91,(T46)
T46,Tom Kim,-9,71,-0.144,(44th),5.312,(7th),-1.02,(60th),-2.239,(67th),1.91,(T46)
T51,Adrien Dumont de Chassart,-8,66,-1.768,(67th),-1.389,(65th),1.956,(15th),2.11,(32nd),0.91,(T51)
T51,Max McGreevy,-8,68,-2.444,(71st),5.154,(9th),-1.37,(68th),-0.431,(57th),0.91,(T51)
T51,Keith Mitchell,-8,68,1.138,(31st),-1.613,(67th),0.93,(30th),0.454,(49th),0.91,(T51)
T51,J.T. Poston,-8,68,2.82,(9th),-2.108,(69th),-1.543,(69th),1.74,(36th),0.91,(T51)
T51,Luke Gutschewski,-8,69,0.55,(36th),-0.284,(56th),3.804,(3rd),-3.161,(72nd),0.91,(T51)
T51,Chan Kim,-8,70,1.589,(22nd),1.643,(39th),0.044,(44th),-2.367,(69th),0.91,(T51)
T51,Andrew Putnam,-8,74,-5.543,(79th),2.956,(26th),-1.289,(65th),4.785,(9th),0.91,(T51)
T58,Jordan Spieth,-7,69,-0.95,(56th),2.255,(32nd),-4.988,(79th),3.592,(19th),-0.09,(T58)
T58,Austin Eckroat,-7,70,-2.792,(75th),3.29,(22nd),-2.116,(71st),1.527,(41st),-0.09,(T58)
