RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,28237,Rory McIlroy,1.933,0.799,0.748,0.386,14
2,0,40098,Matt Fitzpatrick,1.667,0.549,0.810,0.309,26
3,0,50525,Collin Morikawa,1.646,0.542,1.066,0.039,18
4,0,37455,Si Woo Kim,1.626,0.572,0.912,0.142,33
5,0,30911,Tommy Fleetwood,1.606,0.435,0.459,0.712,20
6,0,46046,Scottie Scheffler,1.321,0.623,0.080,0.618,22
7,0,52955,Ludvig Åberg,1.313,0.497,0.397,0.420,21
8,0,59095,Chris Gotterup,1.311,0.579,0.436,0.296,29
9,0,51287,Ryo Hisatsune,1.266,0.509,0.576,0.181,35
10,0,57366,Cameron Young,1.261,0.699,0.499,0.063,23
11,0,37378,Min Woo Lee,1.236,0.675,0.266,0.294,26
12,0,24502,Adam Scott,1.124,0.315,0.912,-0.103,25
13,0,50095,Austin Smotherman,1.100,0.479,0.874,-0.254,23
14,0,48081,Xander Schauffele,1.094,0.423,0.662,0.009,25
15,0,52453,Nicolai Højgaard,1.080,0.256,0.712,0.113,27
16,0,36689,Brooks Koepka,1.075,0.111,0.913,0.051,19
17,0,32839,Hideki Matsuyama,0.926,-0.099,0.635,0.390,31
18,0,56630,Akshay Bhatia,0.916,-0.044,0.792,0.168,22
19,0,39546,Keith Mitchell,0.880,0.625,0.387,-0.132,35
20,0,55893,Sam Stevens,0.867,0.545,0.328,-0.006,31
21,0,49960,Sepp Straka,0.865,0.169,0.568,0.128,23
22,0,35450,Patrick Cantlay,0.831,0.437,0.146,0.247,21
23,0,39324,J.J. Spaun,0.755,0.156,0.587,0.013,23
24,0,46464,Jordan Smith,0.740,0.501,0.454,-0.216,27
25,0,59018,Ryan Gerard,0.735,0.300,0.712,-0.276,29
26,0,60386,Sudarshan Yellamaraju,0.724,0.438,0.474,-0.188,28
27,0,51950,Max McGreevy,0.718,0.312,0.424,-0.018,33
28,0,47420,Jake Knapp,0.717,0.264,0.342,0.111,25
29,0,58168,Davis Thompson,0.715,0.252,0.389,0.073,24
30,0,46442,Maverick McNealy,0.707,0.310,0.176,0.221,29
31,0,48117,Kurt Kitayama,0.701,0.212,0.728,-0.239,27
32,0,39997,Corey Conners,0.697,0.211,0.622,-0.136,26
33,0,25493,Nick Taylor,0.657,-0.253,0.408,0.503,32
34,0,46340,Alex Smalley,0.654,0.127,0.397,0.129,35
35,0,34098,Russell Henley,0.648,0.136,0.313,0.199,22
36,0,33204,Shane Lowry,0.596,0.206,0.474,-0.085,20
37,0,60004,Jacob Bridgeman,0.594,0.245,0.501,-0.152,30
38,0,50497,Adrien Dumont de Chassart,0.591,0.068,0.085,0.438,25
39,0,48887,Matt Wallace,0.578,0.228,0.159,0.190,18
40,0,33968,Thorbjørn Olesen,0.576,0.234,0.356,-0.014,19
