RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
1,0,50525,Collin Morikawa,1.066,19.181,18
2,0,36689,Brooks Koepka,0.913,17.340,19
3,0,37455,Si Woo Kim,0.912,30.112,33
3,0,24502,Adam Scott,0.912,22.791,25
5,0,50095,Austin Smotherman,0.874,20.105,23
6,0,40026,Daniel Berger,0.849,23.770,28
7,0,40098,Matt Fitzpatrick,0.810,21.048,26
8,0,56630,Akshay Bhatia,0.792,17.427,22
9,0,22405,Justin Rose,0.755,12.076,16
10,0,28237,Rory McIlroy,0.748,10.476,14
11,0,48117,Kurt Kitayama,0.728,19.664,27
12,0,59018,Ryan Gerard,0.712,20.645,29
12,0,52453,Nicolai Højgaard,0.712,19.219,27
14,0,48081,Xander Schauffele,0.662,16.544,25
15,0,32839,Hideki Matsuyama,0.635,19.700,31
16,0,39997,Corey Conners,0.622,16.162,26
17,0,39324,J.J. Spaun,0.587,13.492,23
18,0,51287,Ryo Hisatsune,0.576,20.159,35
19,0,46717,Viktor Hovland,0.575,12.649,22
20,0,49960,Sepp Straka,0.568,13.071,23
21,0,51766,Wyndham Clark,0.542,13.545,25
22,0,60004,Jacob Bridgeman,0.501,15.031,30
23,0,57366,Cameron Young,0.499,11.474,23
24,0,37275,Sam Ryder,0.497,9.435,19
25,0,37338,Zecheng Dou,0.480,12.952,27
26,0,33204,Shane Lowry,0.474,9.486,20
26,0,60386,Sudarshan Yellamaraju,0.474,13.262,28
28,0,30911,Tommy Fleetwood,0.459,9.172,20
29,0,46464,Jordan Smith,0.454,12.263,27
30,0,59095,Chris Gotterup,0.436,12.643,29
31,0,57362,Austin Eckroat,0.428,9.419,22
32,0,51950,Max McGreevy,0.424,13.992,33
33,0,34046,Jordan Spieth,0.412,12.351,30
34,0,25493,Nick Taylor,0.408,13.040,32
35,0,34076,Joel Dahmen,0.398,8.363,21
36,0,52955,Ludvig Åberg,0.397,8.330,21
36,0,46340,Alex Smalley,0.397,13.907,35
38,0,58168,Davis Thompson,0.389,9.347,24
39,0,39546,Keith Mitchell,0.387,13.537,35
40,1,33968,Thorbjørn Olesen,0.356,6.769,19
41,1,47420,Jake Knapp,0.342,8.541,25
42,1,52686,Rasmus Højgaard,0.333,7.658,23
43,1,63454,Johnny Keefer,0.331,8.274,25
44,1,55893,Sam Stevens,0.328,10.158,31
45,1,59836,Pierceson Coody,0.314,9.415,30
46,1,34098,Russell Henley,0.313,6.892,22
47,1,35296,Haotong Li,0.293,6.746,23
48,1,34021,Bud Cauley,0.287,8.909,31
49,1,37378,Min Woo Lee,0.266,6.922,26
50,1,51634,Sahith Theegala,0.258,9.045,35
51,1,39977,Max Homa,0.250,5.760,23
52,1,34256,Andrew Putnam,0.240,5.992,25
53,1,40115,Adam Svensson,0.227,3.634,16
54,1,28723,John Parry,0.218,6.333,29
54,1,37076,Marcelo Rozo,0.218,3.055,14
56,1,59866,Nick Dunlap,0.216,2.814,13
57,1,36326,David Lipsky,0.192,2.490,13
58,1,29725,Tony Finau,0.180,5.758,32
59,1,54628,Lee Hodges,0.176,4.223,24
59,1,46442,Maverick McNealy,0.176,5.117,29
61,1,36699,Patrick Rodgers,0.173,6.405,37
62,1,30926,Chris Kirk,0.166,4.484,27
63,1,59143,Mac Meissner,0.160,4.331,27
64,1,35532,Tom Hoge,0.159,4.287,27
64,1,48887,Matt Wallace,0.159,2.863,18
66,1,61522,Michael Brennan,0.150,3.310,22
67,1,32757,Patton Kizzire,0.149,3.125,21
68,1,55182,Tom Kim,0.147,4.551,31
68,1,54304,Karl Vilips,0.147,3.084,21
70,1,57259,Dan Brown,0.146,2.924,20
70,1,35450,Patrick Cantlay,0.146,3.074,21
72,1,54783,Dylan Wu,0.128,2.426,19
73,1,60019,Jackson Suber,0.117,1.873,16
74,1,32102,Rickie Fowler,0.111,2.884,26
75,1,29420,Billy Horschel,0.110,3.395,31
76,1,65256,David Ford,0.109,2.516,23
77,1,46414,Aaron Rai,0.094,1.878,20
78,1,50497,Adrien Dumont de Chassart,0.085,2.136,25
79,1,48001,Zach Bauchou,0.081,2.339,29
79,1,52689,Rasmus Neergaard-Petersen,0.081,1.374,17
81,1,46046,Scottie Scheffler,0.080,1.756,22
82,1,51349,Nico Echavarria,0.073,1.820,25
83,1,49766,Hank Lebioda,0.047,1.026,22
84,1,47591,Eric Cole,0.033,0.884,27
85,1,51696,Rico Hoey,0.004,0.162,36
86,1,47993,Denny McCarthy,-0.002,-0.074,31
87,1,47504,Sam Burns,-0.012,-0.237,20
88,1,63121,William Mouw,-0.013,-0.283,22
89,1,66743,Luke Clanton,-0.024,-0.367,15
90,1,45522,Christiaan Bezuidenhout,-0.027,-0.663,25
91,1,31323,Gary Woodland,-0.031,-0.645,21
92,1,51997,Andrew Novak,-0.051,-1.415,28
93,1,49771,J.T. Poston,-0.066,-1.592,24
94,1,27349,Alex Noren,-0.073,-1.611,22
95,1,57364,Michael Thorbjornsen,-0.078,-2.198,28
96,1,29936,Ryan Fox,-0.083,-1.489,18
97,1,52666,Sami Valimaki,-0.088,-1.927,22
98,1,54788,Chandler Blanchet,-0.097,-1.546,16
99,1,59141,Matt McCarty,-0.100,-3.106,31
100,1,27644,Brian Harman,-0.108,-2.925,27
101,1,60067,Joe Highsmith,-0.112,-3.350,30
102,1,39975,Michael Kim,-0.114,-3.304,29
103,1,54591,Ben Griffin,-0.115,-3.211,28
104,1,47393,Jeffrey Kang,-0.118,-2.128,18
105,1,54607,Danny Walker,-0.121,-3.383,28
106,1,55573,John VanDerLaan,-0.129,-2.583,20
107,1,28252,Seamus Power,-0.142,-3.548,25
108,1,45242,Kevin Yu,-0.147,-3.234,22
109,1,50286,A.J. Ewart,-0.152,-4.099,27
109,1,57975,Harry Hall,-0.152,-3.659,24
111,1,31646,Emiliano Grillo,-0.156,-4.378,28
112,1,27214,Kevin Streelman,-0.165,-2.307,14
113,1,36799,Stephan Jaeger,-0.166,-4.967,30
114,1,40250,Taylor Pendrith,-0.184,-4.775,26
115,2,57123,Steven Fisk,-0.207,-5.384,26
116,2,36801,Mark Hubbard,-0.208,-4.992,24
117,2,34099,Harris English,-0.214,-5.781,27
118,2,47983,Chad Ramey,-0.220,-7.269,33
119,2,56781,Isaiah Salinda,-0.230,-3.219,14
120,2,35506,Mackenzie Hughes,-0.237,-6.151,26
121,0,39971,Sungjae Im,-0.240,-2.885,12
122,1,52215,Robert MacIntyre,-0.247,-6.416,26
123,2,52375,Doug Ghim,-0.251,-5.018,20
124,3,51977,Max Greyserman,-0.273,-5.743,21
125,3,59440,Ricky Castillo,-0.301,-7.532,25
126,3,63343,Aldrich Potgieter,-0.304,-6.075,20
127,3,27649,Brandt Snedeker,-0.315,-3.776,12
128,3,57586,Jesper Svensson,-0.323,-3.873,12
129,3,32070,Rafael Campos,-0.328,-4.919,15
130,3,34371,Adrien Saddier,-0.332,-6.969,21
131,3,25900,Lucas Glover,-0.349,-5.937,17
132,3,28089,Jason Day,-0.352,-7.382,21
133,3,39335,Kevin Roy,-0.359,-10.779,30
134,3,63807,Neal Shipley,-0.364,-5.828,16
134,3,35658,Kris Ventura,-0.364,-4.366,12
136,3,51003,Marco Penge,-0.378,-8.690,23
137,3,35461,Beau Hossler,-0.382,-6.876,18
138,3,47347,Adam Schenk,-0.436,-11.337,26
139,3,55851,Pontus Nyholm,-0.443,-7.970,18
140,3,27064,Jhonattan Vegas,-0.455,-10.005,22
141,3,33141,Keegan Bradley,-0.469,-9.856,21
142,3,59006,Davis Chatfield,-0.503,-8.555,17
143,3,50188,S.H. Kim,-0.524,-14.160,27
144,3,47995,Davis Riley,-0.525,-9.969,19
145,3,49855,Kristoffer Reitan,-0.532,-13.309,25
146,3,29535,Brice Garnett,-0.539,-9.708,18
147,3,51894,Vince Whaley,-0.570,-13.682,24
148,3,48867,Matti Schmid,-0.603,-19.299,32
149,3,12716,Charley Hoffman,-0.612,-7.347,12
150,3,49120,Kensei Hirata,-0.684,-15.042,22
151,3,54576,Patrick Fishburn,-0.691,-9.674,14
152,3,48153,Matthieu Pavon,-0.718,-19.384,27
153,3,46443,Brian Campbell,-0.753,-15.063,20
154,3,49947,Taylor Moore,-0.804,-20.094,25
155,3,34466,Peter Malnati,-0.808,-14.551,18
156,3,23108,Matt Kuchar,-0.908,-11.805,13
157,3,47917,Takumi Kanaya,-0.919,-27.556,30
158,3,57900,Chandler Phillips,-0.937,-25.293,27
159,3,54421,Garrick Higgo,-0.967,-22.241,23
160,3,40006,Erik van Rooyen,-1.051,-21.028,20
161,3,45157,Cam Davis,-1.058,-16.925,16
