player,player_display,final_pos_str,final_pos_int,final_score,rank_model,tier,vts_final,neutral_skill_sg,neutral_skill_index,venue_fit_score,venue_fit_delta,venue_history_delta,venue_history_rounds,venue_history_sg,anti_pattern_flags,anti_pattern_penalty_total,primary_trait_driver
Viktor Hovland,"Hovland, Viktor",1,1,-21.0,8,3,58.10241369041174,1.33,55.55555555555556,69.46703822729837,13.911482671742817,0.1336,19.0,1.423,,0.0,APP_Wedge
Scottie Scheffler,"Scheffler, Scottie",2,2,-21.0,1,1,81.95162688160852,3.17,100.0,89.84675627202843,-10.15324372797157,-0.008000000000000007,22.0,2.321,,0.0,APP_Wedge
Collin Morikawa,"Morikawa, Collin",3,3,-20.0,14,3,52.07748271964837,1.32,55.31400966183575,68.26814728319083,12.95413762135508,-2.788,16.0,0.569,poor_birdie_conv,-2.3460826650215925,APP_Wedge
Matt Fitzpatrick,"Fitzpatrick, Matt",4,4,-19.0,4,2,65.18363973692426,2.02,72.22222222222223,71.83610282678455,-0.3861193954376745,-0.8535999999999999,14.0,0.727,,0.0,ARG_Rough
Akshay Bhatia,"Bhatia, Akshay",T5,5,-18.0,11,3,54.136030838942744,1.13,50.724637681159415,62.04378588826327,11.319148207103858,0.7767999999999999,8.0,1.186,,0.0,APP_100-150
Wyndham Clark,"Clark, Wyndham",T5,5,-18.0,23,4,48.869730087652805,1.21,52.65700483091788,54.680498729000945,2.0234938980830677,1.8304,26.0,0.347,bomb_and_spray,-2.0731707317073167,ARG_Rough
J.J. Spaun,"Spaun, J.J.",T7,7,-17.0,16,3,51.36527540586157,1.42,57.729468599033815,66.24327864710689,8.513810048073076,-0.5960000000000001,22.0,-0.081,poor_birdie_conv,-3.04194941394201,APP_Wedge
Corey Conners,"Conners, Corey",T7,7,-17.0,51,4,37.77795333046021,0.54,36.473429951690825,57.62074300235175,21.147313050660927,0.3152,12.0,1.203,poor_birdie_conv;rough_approach_liab,-4.596100775460825,APP_Wedge
Alex Fitzpatrick,"Fitzpatrick, Alex",T7,7,-17.0,57,5,34.40655505569913,0.45,34.29951690821256,50.83559995181239,16.53608304359983,0.0,0.0,nan,wedge_liability,-3.253697534976682,OTT_Accuracy
Ben Griffin,"Griffin, Ben",T10,10,-16.0,12,3,53.80090797186025,1.4,57.24637681159421,56.085835094075215,-1.1605417175189956,-1.86,10.0,-0.082,,0.0,ARG_Bunker
