rank_model,player_id,player_display,name_key,field_status,r1_tee_time,r1_wave,data_depth_class,baseline_confidence_band,neutral_skill_sg,neutral_skill_index,venue_fit_score,venue_fit_delta,venue_fit_conf_band,comp_course_adjustment,comp_course_trace,venue_history_rounds,venue_history_sg,venue_history_delta,venue_history_conf_band,pre_penalty_vts,blend_class,blend_weights_used,tier_eligibility_gate_status,debut_flag,debut_class,debut_penalty_applied,anti_pattern_flags,anti_pattern_penalty_total,ap_pen_bomb_spray,ap_pen_wedge_liab,ap_pen_poor_birdie,ap_pen_rough_approach,anti_pattern_trigger_trace,anti_pattern_modifier_trace,primary_risk_trait,risk_stressor_active,risk_secondary_discount_applied,risk_discount_trace,form_score_adjusted,recent_form_index,form_vs_baseline,recent_form_gate_applied,recent_form_gate_reason,form_delta_vts,injury_flag,health_gate_status,health_gate_reason,health_delta_vts,player_variance_band,volatility_index,venue_variance_class,variance_adjustment_trace,probability_compression_class,probability_compression_coefficients,probability_compression_trace,vts_final_raw,vts_final,tier,tier_reason,tier_gate_check,win_pct,top3_pct,top5_pct,top10_pct,top20_pct,make_cut_pct,miss_cut_pct,no_cut_note,primary_trait_driver,trait_summary_label,trace_notes
1,23,"Scheffler, Scottie",SCHEFFLER_SCOTTIE,confirmed,TBD,TBD,deep,high,3.17,100.0,89.84675627202843,-10.15324372797157,high,-0.4,"DataGolf course-fit tool; comp courses: Colonial CC, TPC Potomac, Harbour Town; cf_adj_total scaled ×20, capped ±7 VTS pts",22,2.321,-0.008000000000000007,medium,81.95162688160852,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Standard venue (non-major birdie-fest). AP_TO_VTS=2.0 (vs 3.0 for major). Mild weather — no setup amplification. Weather modifier ×1.0 all patterns.,ARG_Bunker,False,0.0,,3.04868833771,100.0,-0.266619038,False,,0.0,False,ok,,0.0,low,25.0,standard,Standard venue variance class. No compression multiplier applied.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59}","72-player no-cut field. Win exp=4.5, cap=0.14. No cut survival probability generated (not applicable).",81.95162688160852,81.95162688160852,1,Tier1: NeutralSG=3.17+VFD=-10.2; 22CH-rds → elite birdie-fest fit at TPC River Highlands,ok,0.14030784234986848,0.49377275649301505,0.5800939446216585,0.7004481775166498,0.7762413455869349,not_applicable,not_applicable,Signature event — all 72 players complete 4 rounds (barring WD). make_cut_pct and miss_cut_pct are not_applicable. No cut-survival probability is generated.,APP_Wedge,APP_Wedge+APP_100-150; weak ARG_Bunker,NeutralSG=3.17; VFD=-10.2; VHD=-0.0(22rds); →Tier1 VTS=82.0
2,32,"Fleetwood, Tommy",FLEETWOOD_TOMMY,confirmed,TBD,TBD,deep,high,2.09,73.91304347826086,77.26015603630896,3.347112558048096,high,2.4,"DataGolf course-fit tool; comp courses: Colonial CC, TPC Potomac, Harbour Town; cf_adj_total scaled ×20, capped ±7 VTS pts",18,1.76,1.0136,medium,68.04734420219702,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Standard venue (non-major birdie-fest). AP_TO_VTS=2.0 (vs 3.0 for major). Mild weather — no setup amplification. Weather modifier ×1.0 all patterns.,ARG_Bunker,False,0.0,,1.9078772282599998,71.08690592875838,-0.4002698279999999,False,,-0.4002698279999999,False,ok,,0.0,low,25.0,standard,Standard venue variance class. No compression multiplier applied.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59}","72-player no-cut field. Win exp=4.5, cap=0.14. No cut survival probability generated (not applicable).",67.64707437419702,67.64707437419702,2,"Tier2: NeutralSG=2.09, VFD=3.3; 18CH-rds",ok,0.060110011336926325,0.20273080152228753,0.27227443502220294,0.4428538568839124,0.5997236903111912,not_applicable,not_applicable,Signature event — all 72 players complete 4 rounds (barring WD). make_cut_pct and miss_cut_pct are not_applicable. No cut-survival probability is generated.,OTT_Accuracy,OTT_Accuracy+PUTT_BirdieConv; weak ARG_Bunker,NeutralSG=2.09; VFD=3.3; VHD=1.0(18rds); →Tier2 VTS=67.6
3,12,"Henley, Russell",HENLEY_RUSSELL,confirmed,TBD,TBD,deep,high,1.86,68.35748792270532,80.58500265820987,12.227514735504556,high,5.6,"DataGolf course-fit tool; comp courses: Colonial CC, TPC Potomac, Harbour Town; cf_adj_total scaled ×20, capped ±7 VTS pts",30,1.445,1.4056,medium,66.94017596654508,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Standard venue (non-major birdie-fest). AP_TO_VTS=2.0 (vs 3.0 for major). Mild weather — no setup amplification. Weather modifier ×1.0 all patterns.,ARG_Bunker,False,0.0,,1.746234257,68.01131574372292,-0.2500346,False,,0.0,False,ok,,0.0,low,25.0,standard,Standard venue variance class. No compression multiplier applied.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59}","72-player no-cut field. Win exp=4.5, cap=0.14. No cut survival probability generated (not applicable).",66.94017596654508,66.94017596654508,2,"Tier2: NeutralSG=1.86, VFD=12.2; 30CH-rds",ok,0.0573346345537376,0.1918439189832697,0.2590403983353511,0.42855482012573703,0.5883037168049191,not_applicable,not_applicable,Signature event — all 72 players complete 4 rounds (barring WD). make_cut_pct and miss_cut_pct are not_applicable. No cut-survival probability is generated.,OTT_Accuracy,OTT_Accuracy+APP_100-150; weak ARG_Bunker,NeutralSG=1.86; VFD=12.2; VHD=1.4(30rds); →Tier2 VTS=66.9
4,38,"Fitzpatrick, Matt",FITZPATRICK_MATT,confirmed,TBD,TBD,deep,high,2.02,72.22222222222223,71.83610282678455,-0.3861193954376745,high,-0.2,"DataGolf course-fit tool; comp courses: Colonial CC, TPC Potomac, Harbour Town; cf_adj_total scaled ×20, capped ±7 VTS pts",14,0.727,-0.8535999999999999,medium,65.18363973692426,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Standard venue (non-major birdie-fest). AP_TO_VTS=2.0 (vs 3.0 for major). Mild weather — no setup amplification. Weather modifier ×1.0 all patterns.,PUTT_Lag,False,0.0,,2.019976188485,76.2644636990783,-5.233300000018204e-05,False,,0.0,False,ok,,0.0,low,25.0,standard,Standard venue variance class. No compression multiplier applied.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59}","72-player no-cut field. Win exp=4.5, cap=0.14. No cut survival probability generated (not applicable).",65.18363973692426,65.18363973692426,2,"Tier2: NeutralSG=2.02, VFD=-0.4; 14CH-rds",ok,0.05086862010648589,0.1666623909162468,0.2278768848701337,0.39327210238024973,0.559089836888966,not_applicable,not_applicable,Signature event — all 72 players complete 4 rounds (barring WD). make_cut_pct and miss_cut_pct are not_applicable. No cut-survival probability is generated.,ARG_Rough,ARG_Rough+ARG_Bunker; weak PUTT_Lag,NeutralSG=2.02; VFD=-0.4; VHD=-0.9(14rds); →Tier2 VTS=65.2
5,42,"Young, Cameron",YOUNG_CAMERON,confirmed,TBD,TBD,deep,high,2.02,72.22222222222223,67.93683894283997,-4.285383279382259,high,-2.2,"DataGolf course-fit tool; comp courses: Colonial CC, TPC Potomac, Harbour Town; cf_adj_total scaled ×20, capped ±7 VTS pts",12,0.702,0.015200000000000005,medium,64.27450057174089,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Standard venue (non-major birdie-fest). AP_TO_VTS=2.0 (vs 3.0 for major). Mild weather — no setup amplification. Weather modifier ×1.0 all patterns.,ARG_Bunker,False,0.0,,2.050317962675,77.4145184905933,0.0666328850000002,False,,0.0,False,ok,,0.0,low,25.0,standard,Standard venue variance class. No compression multiplier applied.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59}","72-player no-cut field. Win exp=4.5, cap=0.14. No cut survival probability generated (not applicable).",64.27450057174089,64.27450057174089,3,"Tier3: NeutralSG=2.02, moderate fit VFD=-4.3; 12CH-rds",ok,0.0477529739462429,0.15466786290255935,0.2127549414946125,0.37525755700552366,0.5435569586985061,not_applicable,not_applicable,Signature event — all 72 players complete 4 rounds (barring WD). make_cut_pct and miss_cut_pct are not_applicable. No cut-survival probability is generated.,OTT_Distance,OTT_Distance+PAR5_Scoring; weak ARG_Bunker,NeutralSG=2.02; VFD=-4.3; VHD=0.0(12rds); →Tier3 VTS=64.3
6,39,"Aberg, Ludvig",ABERG_LUDVIG,confirmed,TBD,TBD,deep,high,1.84,67.8743961352657,69.19218313970148,1.317787004435786,high,-1.8,"DataGolf course-fit tool; comp courses: Colonial CC, TPC Potomac, Harbour Town; cf_adj_total scaled ×20, capped ±7 VTS pts",12,1.119,0.0456,medium,62.92109339601672,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Standard venue (non-major birdie-fest). AP_TO_VTS=2.0 (vs 3.0 for major). Mild weather — no setup amplification. Weather modifier ×1.0 all patterns.,ARG_Bunker,False,0.0,,1.8755791627100002,73.17924399763909,0.0781959619999999,False,,0.0,False,ok,,0.0,low,25.0,standard,Standard venue variance class. No compression multiplier applied.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59}","72-player no-cut field. Win exp=4.5, cap=0.14. No cut survival probability generated (not applicable).",62.92109339601672,62.92109339601672,3,"Tier3: NeutralSG=1.84, moderate fit VFD=1.3; 12CH-rds",ok,0.04339197314971771,0.13809375630027268,0.1915560243235259,0.34890626795412866,0.5200065675119155,not_applicable,not_applicable,Signature event — all 72 players complete 4 rounds (barring WD). make_cut_pct and miss_cut_pct are not_applicable. No cut-survival probability is generated.,OTT_Distance,OTT_Distance+APP_100-150; weak ARG_Bunker,NeutralSG=1.84; VFD=1.3; VHD=0.0(12rds); →Tier3 VTS=62.9
7,7,"Rose, Justin",ROSE_JUSTIN,confirmed,TBD,TBD,deep,high,1.57,61.352657004830924,69.04821797936378,7.69556097453286,high,0.4,"DataGolf course-fit tool; comp courses: Colonial CC, TPC Potomac, Harbour Town; cf_adj_total scaled ×20, capped ±7 VTS pts",38,0.811,-0.08560000000000001,medium,60.2298481957415,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Standard venue (non-major birdie-fest). AP_TO_VTS=2.0 (vs 3.0 for major). Mild weather — no setup amplification. Weather modifier ×1.0 all patterns.,ARG_Bunker,False,0.0,,1.5083845065150001,62.843203856619446,-0.13541866700000016,False,,0.0,False,ok,,0.0,low,25.0,standard,Standard venue variance class. No compression multiplier applied.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59}","72-player no-cut field. Win exp=4.5, cap=0.14. No cut survival probability generated (not applicable).",60.2298481957415,60.2298481957415,3,"Tier3: NeutralSG=1.57, moderate fit VFD=7.7; 38CH-rds",ok,0.035643404874391264,0.1094736430740204,0.1540967586558066,0.2987679737506134,0.47211942708332355,not_applicable,not_applicable,Signature event — all 72 players complete 4 rounds (barring WD). make_cut_pct and miss_cut_pct are not_applicable. No cut-survival probability is generated.,APP_Wedge,APP_Wedge+APP_100-150; weak ARG_Bunker,NeutralSG=1.57; VFD=7.7; VHD=-0.1(38rds); →Tier3 VTS=60.2
8,31,"Hovland, Viktor",HOVLAND_VIKTOR,confirmed,TBD,TBD,deep,high,1.33,55.55555555555556,69.46703822729837,13.911482671742817,high,1.4,"DataGolf course-fit tool; comp courses: Colonial CC, TPC Potomac, Harbour Town; cf_adj_total scaled ×20, capped ±7 VTS pts",19,1.423,0.1336,medium,58.10241369041174,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Standard venue (non-major birdie-fest). AP_TO_VTS=2.0 (vs 3.0 for major). Mild weather — no setup amplification. Weather modifier ×1.0 all patterns.,ARG_Bunker,False,0.0,,1.233006723165,55.58934535273128,-0.2131720370000001,False,,0.0,False,ok,,0.0,low,25.0,standard,Standard venue variance class. No compression multiplier applied.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59}","72-player no-cut field. Win exp=4.5, cap=0.14. No cut survival probability generated (not applicable).",58.10241369041174,58.10241369041174,3,"Tier3: NeutralSG=1.33, moderate fit VFD=13.9; 19CH-rds",ok,0.03031796234637013,0.09060655022771782,0.12879208672079487,0.26185348623821164,0.4338503850939985,not_applicable,not_applicable,Signature event — all 72 players complete 4 rounds (barring WD). make_cut_pct and miss_cut_pct are not_applicable. No cut-survival probability is generated.,APP_Wedge,APP_Wedge+APP_100-150; weak ARG_Bunker,NeutralSG=1.33; VFD=13.9; VHD=0.1(19rds); →Tier3 VTS=58.1
9,62,"Noren, Alex",NOREN_ALEX,confirmed,TBD,TBD,deep,high,1.27,54.10628019323672,66.02091753041493,11.914637337178213,high,2.0,"DataGolf course-fit tool; comp courses: Colonial CC, TPC Potomac, Harbour Town; cf_adj_total scaled ×20, capped ±7 VTS pts",4,1.006,-0.039999999999999994,low,57.654461232263586,Blended,"{""neutral"": 0.5, ""venuefit"": 0.35, ""venuehistory"": 0.15}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Standard venue (non-major birdie-fest). AP_TO_VTS=2.0 (vs 3.0 for major). Mild weather — no setup amplification. Weather modifier ×1.0 all patterns.,OTT_Distance,False,0.0,,1.1621254236449998,53.69867715512544,-0.23708698100000003,False,,0.0,False,ok,,0.0,low,25.0,standard,Standard venue variance class. No compression multiplier applied.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59}","72-player no-cut field. Win exp=4.5, cap=0.14. No cut survival probability generated (not applicable).",57.654461232263586,57.654461232263586,3,"Tier3: NeutralSG=1.27, moderate fit VFD=11.9; 4CH-rds",ok,0.0292802214302417,0.08702115197442285,0.12392700305413319,0.2544317172322658,0.4258036613265899,not_applicable,not_applicable,Signature event — all 72 players complete 4 rounds (barring WD). make_cut_pct and miss_cut_pct are not_applicable. No cut-survival probability is generated.,PUTT_BirdieConv,PUTT_BirdieConv+PUTT_Lag; weak OTT_Distance,NeutralSG=1.27; VFD=11.9; VHD=-0.0(4rds); →Tier3 VTS=57.7
10,17,"Schauffele, Xander",SCHAUFFELE_XANDER,confirmed,TBD,TBD,deep,high,1.86,68.35748792270532,64.37335428684368,-3.984133635861639,high,-2.4,"DataGolf course-fit tool; comp courses: Colonial CC, TPC Potomac, Harbour Town; cf_adj_total scaled ×20, capped ±7 VTS pts",26,1.684,0.7192000000000001,medium,61.87076145513524,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,bomb_and_spray,-3.028241335044929,-3.028241335044929,0.0,0.0,0.0,bomb_and_spray,Standard venue (non-major birdie-fest). AP_TO_VTS=2.0 (vs 3.0 for major). Mild weather — no setup amplification. Weather modifier ×1.0 all patterns.,ARG_Bunker,False,0.0,,1.881077511,73.12232637200988,0.04632419999999993,False,,0.0,False,ok,,0.0,low,25.0,standard,Standard venue variance class. No compression multiplier applied.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59}","72-player no-cut field. Win exp=4.5, cap=0.14. No cut survival probability generated (not applicable).",55.81427878504538,55.81427878504538,3,"Tier3: NeutralSG=1.86, moderate fit VFD=-4.0; 26CH-rds",ok,0.025303474117430294,0.07359065883576928,0.10554004556699009,0.22532033461358658,0.3929653958736407,not_applicable,not_applicable,Signature event — all 72 players complete 4 rounds (barring WD). make_cut_pct and miss_cut_pct are not_applicable. No cut-survival probability is generated.,OTT_Distance,OTT_Distance+APP_150-200; weak ARG_Bunker,NeutralSG=1.86; VFD=-4.0; VHD=0.7(26rds); AP=-3.0SG(bomb_and_spray); →Tier3 VTS=55.8
