pos-normal,Last Name,First Name,under-par,sg-putt,sg-arg,sg-app,sg-ott,sg-t2g,sg-total
1,BRADLEY,KEEGAN,-15,1.72,0.58,0.69,0,1.27,2.99
T2,FLEETWOOD,TOMMY,-14,0.07,1.27,0.78,0.62,2.67,2.74
T2,HENLEY,RUSSELL,-14,0.47,1.26,0.32,0.7,2.28,2.74
T4,DAY,JASON,-13,1.17,0.92,0.25,0.15,1.32,2.49
T4,ENGLISH,HARRIS,-13,1.25,0.36,0.74,0.14,1.25,2.49
T6,MCILROY,RORY,-12,1.75,0.1,0.34,0.06,0.49,2.24
T6,SCHEFFLER,SCOTTIE,-12,0.91,0.26,0.32,0.75,1.33,2.24
8,HARMAN,BRIAN,-10,1.25,0.05,-0.42,0.87,0.49,1.74
T9,THOMAS,JUSTIN,-9,0.98,0.27,0.12,0.12,0.51,1.49
T9,GLOVER,LUCAS,-9,-0.48,-0.39,1.43,0.94,1.97,1.49
T9,HALL,HARRY,-9,0.61,0.48,0.65,-0.25,0.88,1.49
T12,CANTLAY,PATRICK,-8,-0.35,0.63,0.3,0.66,1.59,1.24
T12,MCCARTHY,DENNY,-8,0.4,0.24,0.61,0,0.84,1.24
T14,AN,BYEONG HUN,-7,0,0.34,0.48,0.18,0.99,0.99
T14,SPAUN,J.J.,-7,0,0.39,0.13,0.48,0.99,0.99
T14,GRIFFIN,BEN,-7,0.19,-0.44,1.07,0.17,0.8,0.99
T17,FITZPATRICK,MATT,-6,-0.49,0.32,0.44,0.48,1.23,0.74
T17,RAI,AARON,-6,0.51,1.03,-1.29,0.48,0.23,0.74
T17,BURNS,SAM,-6,0.18,-0.38,0.14,0.8,0.56,0.74
T17,TAYLOR,NICK,-6,-0.22,-0.07,0.36,0.68,0.96,0.74
T17,CLARK,WYNDHAM,-6,-0.19,-0.06,0.35,0.64,0.93,0.74
T17,MCNEALY,MAVERICK,-6,0.06,0.63,-0.19,0.23,0.68,0.74
T17,MACINTYRE,ROBERT,-6,0.33,0.84,-0.54,0.11,0.41,0.74
T17,FOX,RYAN,-6,1.52,-0.09,-1.05,0.36,-0.78,0.74
T25,CAULEY,BUD,-5,-0.81,0.63,0.94,-0.27,1.3,0.49
T25,PENDRITH,TAYLOR,-5,1.5,0.46,-1.33,-0.14,-1.01,0.49
T25,ECKROAT,AUSTIN,-5,-0.82,0.1,1.33,-0.12,1.31,0.49
T25,THOMPSON,DAVIS,-5,-1.71,0.72,1.4,0.08,2.2,0.49
T25,YU,KEVIN,-5,0,-0.54,0.24,0.79,0.49,0.49
T30,NOREN,ALEX,-4,0.57,0.25,-0.11,-0.47,-0.33,0.24
T30,SCOTT,ADAM,-4,-1.02,-0.27,1.11,0.42,1.26,0.24
T30,MATSUYAMA,HIDEKI,-4,0.08,0.23,0.37,-0.44,0.17,0.24
T30,NOVAK,ANDREW,-4,-0.01,0.42,-0.3,0.13,0.26,0.24
T34,JAEGER,STEPHAN,-3,0.3,-0.65,0.51,-0.17,-0.31,-0.01
T34,CLANTON,LUKE,-3,0.59,-0.31,0.47,-0.76,-0.6,-0.01
T36,WOODLAND,GARY,-2,-0.96,-1.06,1.46,0.31,0.7,-0.26
T36,FOWLER,RICKIE,-2,-0.56,0.4,-0.09,0,0.3,-0.26
T36,VEGAS,JHONATTAN,-2,-0.55,0.35,0.11,-0.17,0.29,-0.26
T36,GREYSERMAN,MAX,-2,-0.54,-0.09,0.2,0.17,0.28,-0.26
T36,ABERG,LUDVIG,-2,-0.23,-1.07,0.77,0.27,-0.03,-0.26
T36,HIGHSMITH,JOE,-2,0.44,0.01,-0.59,-0.12,-0.7,-0.26
T42,BERGER,DANIEL,-1,-0.48,-1.37,0.6,0.74,-0.03,-0.51
T42,KIM,MICHAEL,-1,-0.22,-0.3,0.02,-0.01,-0.28,-0.51
T42,MORIKAWA,COLLIN,-1,-0.33,-0.31,-0.85,0.98,-0.17,-0.51
T45,HOGE,TOM,,-0.03,-0.06,-0.16,-0.51,-0.73,-0.76
T45,POSTON,J.T.,,-0.36,-0.83,0.01,0.43,-0.4,-0.76
T45,LOWRY,SHANE,,0.07,-1.08,-0.06,0.3,-0.83,-0.76
T45,STRAKA,SEPP,,-1.12,-0.03,0.09,0.29,0.36,-0.76
T45,KIM,TOM,,-0.37,0.51,-0.61,-0.29,-0.39,-0.76
T45,BEZUIDENHOUT,CHRISTIAAN,,1.77,-0.11,-1.63,-0.79,-2.53,-0.76
T45,STEVENS,SAM,,-1.17,0.31,-0.54,0.64,0.41,-0.76
T52,YOUNG,CAMERON,,0.86,-0.94,0,-0.94,-1.87,-1.01
T52,BRIDGEMAN,JACOB,,1.32,-0.33,-1.29,-0.71,-2.33,-1.01
T54,HOMA,MAX,,-0.04,-0.09,-0.09,-1.03,-1.22,-1.26
T54,BHATIA,AKSHAY,,-0.2,-1.16,0.47,-0.36,-1.05,-1.26
T54,GERARD,RYAN,,-2.01,0.14,-0.04,0.65,0.75,-1.26
T57,DAVIS,CAM,,0.38,-0.4,-0.22,-1.26,-1.89,-1.51
T57,RILEY,DAVIS,,0.1,0.1,-0.61,-1.09,-1.6,-1.51
T57,HADWIN,ADAM,,-0.66,-0.38,-0.23,-0.24,-0.85,-1.51
T57,PAVON,MATTHIEU,,-0.22,-0.99,-1.07,0.78,-1.28,-1.51
T61,SCHAUFFELE,XANDER,,-0.22,-0.47,-1.01,-0.06,-1.54,-1.76
T61,IM,SUNGJAE,,-0.62,0.26,-1.14,-0.26,-1.14,-1.76
