POS,PLAYER,TOTAL,RD1,RD2,RD3,RD4,Total Strokes
1,Keegan Bradley,-15,64,70,63,68,265
T2,Tommy Fleetwood,-14,66,65,63,72,266
T2,Russell Henley,-14,68,68,61,69,266
T4,Harris English,-13,67,68,67,65,267
T4,Jason Day,-13,66,66,67,68,267
T6,Scottie Scheffler,-12,62,69,72,65,268
T6,Rory McIlroy,-12,64,71,68,65,268
8,Brian Harman,-10,66,71,65,68,270
T9,Harry Hall,-9,69,68,69,65,271
T9,Justin Thomas,-9,67,64,73,67,271
T9,Lucas Glover,-9,69,67,67,68,271
T12,Patrick Cantlay,-8,67,68,68,69,272
T12,Denny McCarthy,-8,69,64,70,69,272
T14,Byeong Hun An,-7,69,68,69,67,273
T14,Ben Griffin,-7,67,70,69,67,273
T14,J.J. Spaun,-7,73,71,66,63,273
T17,Ryan Fox,-6,69,71,68,66,274
T17,Robert MacIntyre,-6,71,67,70,66,274
T17,Matt Fitzpatrick,-6,71,72,63,68,274
T17,Maverick McNealy,-6,70,70,66,68,274
T17,Sam Burns,-6,67,71,67,69,274
T17,Aaron Rai,-6,68,73,63,70,274
T17,Nick Taylor,-6,66,68,69,71,274
T17,Wyndham Clark,-6,64,72,66,72,274
T25,Bud Cauley,-5,70,70,68,67,275
T25,Kevin Yu,-5,68,73,64,70,275
T25,Davis Thompson,-5,68,70,67,70,275
T25,Austin Eckroat,-5,62,71,71,71,275
T25,Taylor Pendrith,-5,68,74,62,71,275
T30,Adam Scott,-4,72,72,62,70,276
T30,Andrew Novak,-4,70,71,69,66,276
T30,Alex Noren,-4,67,70,67,72,276
T30,Hideki Matsuyama,-4,69,69,73,65,276
T34,Luke Clanton,-3,67,72,68,70,277
T34,Stephan Jaeger,-3,68,70,68,71,277
T36,Gary Woodland,-2,67,75,67,69,278
T36,Ludvig Åberg,-2,71,69,69,69,278
T36,Rickie Fowler,-2,70,77,64,67,278
T36,Max Greyserman,-2,66,72,66,74,278
T36,Joe Highsmith,-2,68,69,74,67,278
T36,Jhonattan Vegas,-2,74,67,71,66,278
T42,Collin Morikawa,-1,67,71,69,72,279
T42,Daniel Berger,-1,71,71,65,72,279
T42,Michael Kim,-1,68,71,67,73,279
T45,Tom Kim,E,67,72,68,73,280
T45,Shane Lowry,E,72,73,66,69,280
T45,J.T. Poston,E,73,67,71,69,280
T45,Sepp Straka,E,74,71,67,68,280
T45,Sam Stevens,E,75,73,65,67,280
T45,Tom Hoge,E,70,72,71,67,280
T45,Christiaan Bezuidenhout,E,71,74,69,66,280
T52,Cameron Young,1,65,73,71,72,281
T52,Jacob Bridgeman,1,73,69,69,70,281
T54,Akshay Bhatia,2,70,70,68,74,282
T54,Ryan Gerard,2,70,71,69,72,282
T54,Max Homa,2,68,71,71,72,282
T57,Adam Hadwin,3,66,71,71,75,283
T57,Matthieu Pavon,3,71,71,68,73,283
T57,Cam Davis,3,71,73,68,71,283
T57,Davis Riley,3,66,77,73,67,283
T61,Xander Schauffele,4,69,72,68,75,284
T61,Sungjae Im,4,67,73,71,73,284
T63,Min Woo Lee,5,73,69,71,72,285
T63,Thomas Detry,5,70,74,74,67,285
65,Mackenzie Hughes,7,71,72,70,74,287
T66,Tony Finau,11,73,74,68,76,291
T66,Nick Dunlap,11,76,75,67,73,291
WD,Jordan Spieth,-,-,-,-,-,-
WD,Si Woo Kim,-,71,-,-,-,71
WD,Eric Cole,-,68,67,69,-,204
WD,Viktor Hovland,-,66,75,63,-,204
WD,Matti Schmid,-,72,73,74,-,219
