player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Scheffler, Scottie",13,1,1.971,0.172,52,50,0.5348516,0.6054998,0.8490134,0.8668026,2.3213158,2.903380962
"Rahm, Jon",12,2,1.1,0.007,46,46,0.311788478,0.371597391,0.771170435,0.804683043,1.94745087,2.25924
"McIlroy, Rory",12,1,0.708,0.337,46,42,0.340907143,0.268204524,0.641377857,1.033651905,1.943234286,2.160088696
"Young, Cameron",13,2,2.317,0.079,52,51,0.209457451,0.343322549,0.728577451,0.81458549,1.88648549,2.086632885
"Fitzpatrick, Matt",15,3,1.626,0,60,58,0.039643793,0.669688276,0.944807414,0.414358103,2.028853793,2.019947667
"Aberg, Ludvig",14,0,0.723,0.003,52,49,0.315337755,0.238465918,0.833381429,0.693773673,1.76562102,1.918195962
"Schauffele, Xander",13,0,0.688,0.015,50,49,0.356372653,0.091056735,0.72637,0.758943469,1.576370204,1.9063242
"Knapp, Jake",10,0,0.234,0.006,36,35,0.794492286,0.061331143,0.531780286,0.482726571,1.075838,1.902548889
"Morikawa, Collin",11,1,0.976,0.034,42,42,0.265520952,0.209677381,0.932781667,0.436751429,1.579210476,1.844732143
"Kim, Si Woo",18,0,1.354,0,70,63,-0.046498571,0.312083492,0.840210317,0.630444921,1.78273873,1.837843857
"Burns, Sam",15,0,0.886,0.034,54,52,0.846865769,0.019849615,0.508011154,0.343812115,0.871672885,1.713544074
"Reed, Patrick",9,2,0.386,0.002,34,26,0.439252308,0.523349231,0.876704231,0.248145385,1.648198846,1.697078824
"Fleetwood, Tommy",15,0,1.284,0,58,58,0.215804655,0.438126034,0.419488966,0.61631,1.473925,1.689730172
"Gotterup, Chris",15,2,0.621,0.001,58,57,0.356656842,0.125980877,0.496721053,0.670980526,1.293682456,1.639647586
"Henley, Russell",14,1,0.222,0.079,50,48,0.369876042,0.187657083,0.64909,0.383602917,1.22035,1.6099654
"Cantlay, Patrick",13,0,0.027,0.001,46,43,-0.021401163,0.448016279,0.68321814,0.519330698,1.650565116,1.60630087
"McNealy, Maverick",15,0,0.051,0,58,57,0.603900351,0.468665439,0.142968947,0.327426316,0.939060702,1.585845172
"Bridgeman, Jacob",16,1,1.093,0,62,60,0.763095667,-0.006777833,0.5109895,0.2131955,0.717407167,1.468615645
"Gerard, Ryan",19,0,1.813,0,70,63,0.404578095,-0.196482698,0.767135397,0.224140317,0.794793016,1.446140571
"Rose, Justin",13,1,1.02,0.08,45,42,0.114118095,0.120846667,0.882191667,0.248522619,1.251560952,1.434581333
"Scott, Adam",15,0,0.462,0,56,45,-0.011051778,0.088409111,0.876158,0.489916,1.454483111,1.4341325
"Clark, Wyndham",16,2,1.906,0,58,55,0.278896727,0.448254182,0.623941818,0.117243273,1.189439273,1.431252931
"Lee, Min Woo",16,0,0.719,0,58,48,0.11770125,0.340740417,0.265980625,0.706240833,1.312961875,1.413768621
"English, Harris",15,0,0.02,0,56,53,0.811929245,0.092579623,-0.048337547,0.481170189,0.525412264,1.351041071
"Koivun, Jackson",11,6,0.302,0,35,4,0.3965025,0.309155,0.51059,0.3904,1.210145,1.350533714
"Lowry, Shane",16,0,0.077,0,56,56,0.106625536,0.004939464,0.929714643,0.238535893,1.17319,1.27981625
"Bhatia, Akshay",16,1,1.171,0,53,48,0.749536458,0.220817708,0.608105833,-0.108321042,0.7206025,1.263108302
"Thomas, Justin",11,0,0.109,0.003,42,42,0.126945238,0.502515,0.333378095,0.240263333,1.076156429,1.203102857
"MacIntyre, Robert",15,0,0.535,0,54,52,0.624951731,0.130738846,-0.306674038,0.695966538,0.520031346,1.199316481
"Kitayama, Kurt",15,0,0.671,0.001,57,55,0.008639455,-0.159253455,0.806636727,0.523793455,1.171176727,1.164140351
"Matsuyama, Hideki",15,0,0.384,0.001,60,59,0.15011322,0.408826949,0.65788322,-0.122926441,0.943783729,1.159502833
"Hovland, Viktor",15,0,0.05,0,54,54,0.004041667,0.237471667,0.757605556,0.117708519,1.112785741,1.116827963
"Spieth, Jordan",16,0,0.011,0.001,60,60,0.2232975,0.2188405,0.344959833,0.3217885,0.885588833,1.108886833
"DeChambeau, Bryson",12,2,0.123,0,41,41,0.132896585,-0.075077073,0.182829024,0.865041463,0.972793415,1.105690732
"Smalley, Alex",17,0,0.048,0.007,62,59,0.330009153,0.072170169,0.615402542,0.177230339,0.864803051,1.091799032
