player_name,2021 (Travelers Championship),2022 (Travelers Championship),2023 (Travelers Championship),2024 (Travelers Championship),2025 (Travelers Championship),rounds_played,historical_true_sg,versus_expected,ch_adjustment,experience_adjustment
"Harman, Brian",T5,T8,T2,T9,8,56,1.614,1.224,0.256,0.159
"Bradley, Keegan",CUT,T19,1,T39,1,56,1.364,0.375,0.078,0.159
"Glover, Lucas",null,T70,CUT,T44,T9,44,-0.208,-0.747,-0.123,0.159
"English, Harris",1,T19,T60,T63,T4,43,0.686,0.204,0.033,0.159
"Cantlay, Patrick",T13,T13,T4,T5,T12,40,1.778,0.446,0.067,0.159
"Day, Jason",T10,CUT,T45,T44,T4,40,1.188,0.334,0.05,0.159
"Rose, Justin",T36,null,null,T68,null,38,0.811,-0.115,-0.016,0.159
"Hoge, Tom",T66,CUT,T60,T3,T45,37,-0.049,-0.2,-0.028,0.159
"Snedeker, Brandt",CUT,CUT,null,null,null,36,0.609,0.03,0.004,0.159
"Finau, Tony",CUT,T13,T45,T5,T66,34,0.543,-0.471,-0.06,0.153
"Thomas, Justin",null,null,T9,T5,T9,34,1.134,0.118,0.015,0.153
"Henley, Russell",T19,null,T19,T48,T2,30,1.445,0.42,0.047,0.131
"Vegas, Jhonattan",null,CUT,null,null,T36,28,0.04,-0.015,-0.002,0.119
"Cauley, Bud",null,null,null,null,T25,27,0.245,-0.182,-0.018,0.114
"Fowler, Rickie",CUT,CUT,T13,T20,T36,26,0.561,-0.124,-0.012,0.108
"Clark, Wyndham",CUT,T35,T29,T9,T17,26,0.347,0.594,0.058,0.108
"Schauffele, Xander",null,1,T19,T13,T61,26,1.684,0.196,0.019,0.108
"McCarthy, Denny",T73,CUT,T7,T31,T12,25,0.769,0.293,0.027,0.103
"Kim, Si Woo",CUT,CUT,CUT,T31,WD,25,0.426,-0.262,-0.024,0.103
"Taylor, Nick",CUT,null,null,T42,T17,25,-0.746,-0.889,-0.083,0.103
"Woodland, Gary",null,null,T33,null,T36,23,0.428,0.119,0.01,0.091
"Burns, Sam",T13,CUT,null,T55,T17,22,0.84,0.225,0.018,0.086
"Scheffler, Scottie",T47,T13,T4,1,T6,22,2.321,-0.054,-0.004,0.086
"Spaun, J.J.",T47,CUT,CUT,null,T14,22,-0.081,-0.269,-0.022,0.086
