player_id,player_display,name_key,field_status,r1_tee_time,r1_wave,venue_history_rounds,venue_history_sg,versus_expected,ch_adjustment,sg_total_12m,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_rounds_12m,wins_12m,win_rate_12m,dd_delta,da_delta,sg_total_2026,rounds_2026,cf_adj_total,cf_short_game,cf_approach,cf_distance,cf_accuracy,data_depth_class,baseline_confidence_band,debut_flag,debut_class,injury_flag
23,"Scheffler, Scottie",SCHEFFLER_SCOTTIE,confirmed,TBD,TBD,22,2.321,-0.054,-0.004,3.17,0.9,1.09,0.49,0.67,84,4,0.19,9.3,5.3,2.903380962,52,-0.02,-0.13,0.0,-0.04,0.14,deep,high,False,,False
32,"Fleetwood, Tommy",FLEETWOOD_TOMMY,confirmed,TBD,TBD,18,1.76,0.342,0.023,2.09,0.59,0.63,0.36,0.53,101,2,0.08,0.8,9.1,1.689730172,58,0.12,-0.09,0.0,0.0,0.21,deep,high,False,,False
12,"Henley, Russell",HENLEY_RUSSELL,confirmed,TBD,TBD,30,1.445,0.42,0.047,1.86,0.47,0.71,0.29,0.38,74,1,0.05,-9.3,12.5,1.6099654,50,0.28,-0.05,0.0,0.05,0.28,deep,high,False,,False
38,"Fitzpatrick, Matt",FITZPATRICK_MATT,confirmed,TBD,TBD,14,0.727,-0.353,-0.018,2.02,0.32,0.82,0.65,0.28,111,4,0.14,1.8,4.4,2.019947667,60,-0.01,-0.1,0.0,-0.0,0.09,deep,high,False,,False
42,"Young, Cameron",YOUNG_CAMERON,confirmed,TBD,TBD,12,0.702,-0.012,-0.001,2.02,0.71,0.63,0.25,0.43,86,3,0.14,9.8,0.9,2.086632885,52,-0.11,-0.06,0.0,-0.06,0.01,deep,high,False,,False
39,"Aberg, Ludvig",ABERG_LUDVIG,confirmed,TBD,TBD,12,1.119,-0.001,0.0,1.84,0.65,0.69,0.2,0.39,88,0,0.0,12.9,2.3,1.918195962,52,-0.09,-0.07,0.0,-0.07,0.04,deep,high,False,,False
7,"Rose, Justin",ROSE_JUSTIN,confirmed,TBD,TBD,38,0.811,-0.115,-0.016,1.57,0.31,0.87,0.13,0.22,77,2,0.1,4.1,1.6,1.434581333,45,0.02,-0.02,0.0,-0.01,0.05,deep,high,False,,False
31,"Hovland, Viktor",HOVLAND_VIKTOR,confirmed,TBD,TBD,19,1.423,0.008,0.001,1.33,0.15,0.91,0.13,0.15,85,0,0.0,-0.7,5.7,1.116827963,54,0.07,-0.04,0.0,-0.0,0.11,deep,high,False,,False
62,"Noren, Alex",NOREN_ALEX,confirmed,TBD,TBD,4,1.006,0.361,0.005,1.27,0.09,0.33,0.19,0.77,97,2,0.07,-7.9,5.1,1.032913019,53,0.1,-0.08,0.0,0.05,0.14,deep,high,False,,False
17,"Schauffele, Xander",SCHAUFFELE_XANDER,confirmed,TBD,TBD,26,1.684,0.196,0.019,1.86,0.72,0.71,0.09,0.25,74,1,0.05,12.6,0.2,1.9063242,50,-0.12,-0.06,0.0,-0.07,0.01,deep,high,False,,False
51,"Bhatia, Akshay",BHATIA_AKSHAY,confirmed,TBD,TBD,8,1.186,0.304,0.009,1.13,0.04,0.72,0.06,0.43,92,1,0.04,0.5,-1.8,1.263108302,53,-0.11,-0.08,0.0,-0.0,-0.03,deep,high,False,,False
48,"Griffin, Ben",GRIFFIN_BEN,confirmed,TBD,TBD,10,-0.082,-0.741,-0.028,1.4,0.09,0.29,0.41,0.51,104,1,0.03,0.1,0.2,1.034606719,64,-0.11,-0.12,0.0,-0.01,0.02,deep,high,False,,False
15,"Fowler, Rickie",FOWLER_RICKIE,confirmed,TBD,TBD,26,0.561,-0.124,-0.012,1.18,0.41,0.3,0.08,0.36,80,0,0.0,0.7,4.3,1.0501314,50,0.06,-0.03,0.0,-0.0,0.09,deep,high,False,,False
36,"Morikawa, Collin",MORIKAWA_COLLIN,confirmed,TBD,TBD,16,0.569,-1.088,-0.065,1.32,0.47,0.81,0.06,-0.03,74,1,0.05,0.8,7.5,1.844732143,42,0.15,-0.04,0.0,0.0,0.18,deep,high,False,,False
19,"Kim, Si Woo",KIM_SI WOO,confirmed,TBD,TBD,25,0.426,-0.262,-0.024,1.46,0.62,0.76,0.34,-0.32,113,0,0.0,-3.8,10.1,1.837843857,70,0.2,-0.05,0.0,0.02,0.23,deep,high,False,,False
