rank_model,player_id,player_display,name_key,data_depth_class,baseline_confidence_band,neutral_skill_sg,neutral_skill_index,sg_total_12m,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_rounds_12m,wins_12m,dd_delta,da_delta,trait_app_wedge,trait_app_100_150,trait_app_150_200,trait_ott_accuracy,trait_ott_distance,trait_putt_short_conv,trait_putt_lag,trait_arg_rough,trait_arg_bunker,trait_par5_scoring,cf_adj_total,cf_short_game,cf_approach,cf_distance,cf_accuracy,cf_putt_2_5ft,cf_putt_5_30ft,cf_rough,cf_bunker,shotdist_50_100,shotdist_100_150,shotdist_150_200,shotdist_200plus,venue_fit_score,venue_fit_delta,venue_fit_conf_band,venue_history_rounds,venue_history_sg,venue_history_delta,venue_history_conf_band,sg_total_2026,form_vs_baseline,recent_form_index,form_score_adjusted,recent_form_gate_applied,recent_form_gate_reason,debut_flag,debut_class,injury_flag,ap_bomb_and_spray,ap_wedge_liability,ap_poor_birdie_conv,ap_rough_approach_liab,primary_trait_driver,primary_risk_trait,trait_summary_label
1,23,"Scheffler, Scottie",SCHEFFLER_SCOTTIE,deep,high,3.17,100.0,3.17,0.9,1.09,0.49,0.67,84,4,9.3,5.3,100.0,100.0,100.0,85.15007898894156,97.6893453145058,86.3047501542258,76.7441860465117,80.13536379018615,66.97247706422019,100.0,-0.02,-0.13,0.0,-0.04,0.14,7.0,12.0,1.5,0.9,2.0,5.9,5.6,3.4,89.84675627202843,-10.15324372797157,high,22,2.321,-0.008000000000000007,medium,2.903380962,-0.266619038,100.0,3.04868833771,False,,False,,False,False,False,False,False,APP_Wedge,ARG_Bunker,APP_Wedge+APP_100-150; weak ARG_Bunker
2,32,"Fleetwood, Tommy",FLEETWOOD_TOMMY,deep,high,2.09,73.91304347826086,2.09,0.59,0.63,0.36,0.53,101,2,0.8,9.1,72.03197868087939,72.37907891691736,72.3868082727781,91.39020537124803,75.86649550706032,76.80444170265271,65.89147286821706,71.96277495769883,64.22018348623853,75.67359507313319,0.12,-0.09,0.0,0.0,0.21,7.0,12.0,1.6,1.0,1.8,5.7,6.0,3.4,77.26015603630896,3.347112558048096,high,18,1.76,1.0136,medium,1.689730172,-0.4002698279999999,71.08690592875838,1.9078772282599998,False,,False,,False,False,False,False,False,OTT_Accuracy,ARG_Bunker,OTT_Accuracy+PUTT_BirdieConv; weak ARG_Bunker
3,12,"Henley, Russell",HENLEY_RUSSELL,deep,high,1.86,68.35748792270532,1.86,0.47,0.71,0.29,0.38,74,1,-9.3,12.5,78.2811459027315,79.12520249942142,77.41755170486304,100.0,59.563543003851095,66.62553979025293,62.01550387596909,66.86971235194586,57.79816513761469,73.74903772132409,0.28,-0.05,0.0,0.05,0.28,7.0,12.1,1.6,1.0,1.6,5.6,6.5,3.4,80.58500265820987,12.227514735504556,high,30,1.445,1.4056,medium,1.6099654,-0.2500346,68.01131574372292,1.746234257,False,,False,,False,False,False,False,False,OTT_Accuracy,ARG_Bunker,OTT_Accuracy+APP_100-150; weak ARG_Bunker
4,38,"Fitzpatrick, Matt",FITZPATRICK_MATT,deep,high,2.02,72.22222222222223,2.02,0.32,0.82,0.65,0.28,111,4,1.8,4.4,84.13057961359091,84.13561675538068,83.56623812185579,62.796208530805686,66.75224646983312,54.28747686613205,38.759689922480646,96.07445008460239,90.82568807339449,81.98614318706696,-0.01,-0.1,0.0,-0.0,0.09,6.9,11.9,1.5,1.0,1.9,5.7,6.1,3.4,71.83610282678455,-0.3861193954376745,high,14,0.727,-0.8535999999999999,medium,2.019947667,-5.233300000018204e-05,76.2644636990783,2.019976188485,False,,False,,False,False,False,False,False,ARG_Rough,PUTT_Lag,ARG_Rough+ARG_Bunker; weak PUTT_Lag
5,42,"Young, Cameron",YOUNG_CAMERON,deep,high,2.02,72.22222222222223,2.02,0.71,0.63,0.25,0.43,86,3,9.8,0.9,73.2711525649567,73.10807683406617,73.50475125768587,64.53396524486571,90.50064184852376,70.01850709438617,65.89147286821706,64.26395939086295,54.128440366972484,75.90454195535025,-0.11,-0.06,0.0,-0.06,0.01,7.0,12.1,1.6,1.0,2.1,5.9,5.6,3.4,67.93683894283997,-4.285383279382259,high,12,0.702,0.015200000000000005,medium,2.086632885,0.0666328850000002,77.4145184905933,2.050317962675,False,,False,,False,False,False,False,False,OTT_Distance,ARG_Bunker,OTT_Distance+PAR5_Scoring; weak ARG_Bunker
6,39,"Aberg, Ludvig",ABERG_LUDVIG,deep,high,1.84,67.8743961352657,1.84,0.65,0.69,0.2,0.39,88,0,12.9,2.3,76.81545636242504,77.6903494561444,74.62269424259362,67.77251184834124,91.91270860077022,67.30413325107959,70.54263565891479,58.73096446700509,40.36697247706423,75.21170130869899,-0.09,-0.07,0.0,-0.07,0.04,7.0,12.2,1.6,0.9,2.1,5.9,5.4,3.4,69.19218313970148,1.317787004435786,high,12,1.119,0.0456,medium,1.918195962,0.0781959619999999,73.17924399763909,1.8755791627100002,False,,False,,False,False,False,False,False,OTT_Distance,ARG_Bunker,OTT_Distance+APP_100-150; weak ARG_Bunker
7,7,"Rose, Justin",ROSE_JUSTIN,deep,high,1.57,61.352657004830924,1.57,0.31,0.87,0.13,0.22,77,2,4.1,1.6,90.43304463690872,87.16732237907891,85.57853549468976,55.055292259083735,69.06290115532735,55.76804441702651,49.61240310077527,54.551607445008464,43.11926605504587,71.28560431100848,0.02,-0.02,0.0,-0.01,0.05,7.0,12.1,1.6,1.0,1.9,5.7,6.0,3.4,69.04821797936378,7.69556097453286,high,38,0.811,-0.08560000000000001,medium,1.434581333,-0.13541866700000016,62.843203856619446,1.5083845065150001,False,,False,,False,False,False,False,False,APP_Wedge,ARG_Bunker,APP_Wedge+APP_100-150; weak ARG_Bunker
8,31,"Hovland, Viktor",HOVLAND_VIKTOR,deep,high,1.33,55.55555555555556,1.33,0.15,0.91,0.13,0.15,85,0,-0.7,5.7,91.28580946035974,90.10645683869474,89.54723309111236,64.37598736176935,56.99614890885751,51.01789019123996,44.18604651162796,44.77157360406092,43.11926605504587,68.82217090069285,0.07,-0.04,0.0,-0.0,0.11,7.0,12.1,1.5,1.0,1.9,5.7,6.0,3.4,69.46703822729837,13.911482671742817,high,19,1.423,0.1336,medium,1.116827963,-0.2131720370000001,55.58934535273128,1.233006723165,False,,False,,False,False,False,False,False,APP_Wedge,ARG_Bunker,APP_Wedge+APP_100-150; weak ARG_Bunker
9,62,"Noren, Alex",NOREN_ALEX,deep,high,1.27,54.10628019323672,1.27,0.09,0.33,0.19,0.77,97,2,-7.9,5.1,49.340439706862085,55.19555658412404,53.88485187255449,63.665086887835685,46.72657252888319,93.09068476249233,84.4961240310078,61.387478849407785,57.79816513761469,50.962278675904535,0.1,-0.08,0.0,0.05,0.14,7.0,12.0,1.7,1.1,1.7,5.5,6.5,3.4,66.02091753041493,11.914637337178213,high,4,1.006,-0.039999999999999994,low,1.032913019,-0.23708698100000003,53.69867715512544,1.1621254236449998,False,,False,,False,False,False,False,False,PUTT_BirdieConv,OTT_Distance,PUTT_BirdieConv+PUTT_Lag; weak OTT_Distance
10,17,"Schauffele, Xander",SCHAUFFELE_XANDER,deep,high,1.86,68.35748792270532,1.86,0.72,0.71,0.09,0.25,74,1,12.6,0.2,76.98867421718853,77.66720666512381,78.25600894354388,62.638230647709314,94.22336328626444,57.803824799506486,59.68992248062016,48.02030456852792,30.275229357798167,74.90377213240954,-0.12,-0.06,0.0,-0.07,0.01,7.0,12.2,1.6,0.9,2.1,5.9,5.4,3.4,64.37335428684368,-3.984133635861639,high,26,1.684,0.7192000000000001,medium,1.9063242,0.04632419999999993,73.12232637200988,1.881077511,False,,False,,False,True,False,False,False,OTT_Distance,ARG_Bunker,OTT_Distance+APP_150-200; weak ARG_Bunker
