POS,First Name,Last Name,Score,SG-OTT,D. Distance,D. Accuracy,SG-APP,GIR,Fairway Prox,Rough Prox,SG-Putt,SG-ARG,Scrambling,Great Shots,Poor Shots,SG-Total,SG-T2G,SG-BS
1,Eric,Cole,-7,0.29,289.1,71.40%,2.82,83.30%,"23' 1""","19' 10""",0.39,1.45,80.00%,5,0,4.96,4.56,3.11
T2,Nico,Echavarria,-6,1.42,287.2,85.70%,1.84,83.30%,"17' 6""","36' 10""",0.26,0.44,60.00%,3,2,3.96,3.69,3.26
T2,Ben,Griffin,-6,-0.62,274.1,57.10%,-1.14,61.10%,"32' 7""","28' 10""",5.34,0.38,88.90%,4,1,3.96,-1.38,-1.76
T2,Matt,Fitzpatrick,-6,1.24,283.2,92.90%,1.24,88.90%,"22' 9""","85' 1""",0.96,0.51,83.30%,4,2,3.96,3,2.48
T2,Kristoffer,Reitan,-6,0.81,288.8,64.30%,-1.48,77.80%,"28' 1""","53' 2""",4.57,0.06,60.00%,7,1,3.96,-0.62,-0.67
T2,Bud,Cauley,-6,1.69,290.8,85.70%,0.58,88.90%,"20' 6""",,0.6,1.1,100.00%,4,0,3.96,3.36,2.27
T2,Scottie,Scheffler,-6,1.22,283.2,85.70%,0.97,88.90%,"21' 0""","16' 3""",0.93,0.84,100.00%,3,2,3.96,3.03,2.19
T8,Patrick,Cantlay,-5,1.19,285.8,71.40%,1,77.80%,"23' 0""","23' 4""",0.54,0.23,100.00%,5,3,2.96,2.42,2.19
T8,Brandt,Snedeker,-5,0.45,281.8,71.40%,0.04,72.20%,"27' 5""","88' 7""",2.76,-0.3,60.00%,4,1,2.96,0.19,0.49
T8,Aaron,Rai,-5,0.92,283.9,71.40%,0.94,83.30%,"27' 4""","34' 8""",0.42,0.68,80.00%,5,1,2.96,2.54,1.85
T8,Viktor,Hovland,-5,0.66,292.5,64.30%,2.12,66.70%,"16' 4""","78' 3""",0.38,-0.21,87.50%,3,3,2.96,2.58,2.79
T8,Justin,Rose,-5,-0.89,286.6,78.60%,1.12,77.80%,"25' 8""","30' 6""",2.37,0.35,60.00%,3,4,2.96,0.59,0.23
T8,Corey,Conners,-5,-0.3,283.8,71.40%,1.73,77.80%,"24' 1""","45' 7""",-0.32,1.85,100.00%,4,2,2.96,3.28,1.43
T14,Russell,Henley,-4,1.28,279,100.00%,-1.87,72.20%,"29' 0""","108' 6""",3.83,-1.28,57.10%,4,3,1.96,-1.87,-0.59
T14,Brian,Harman,-4,-1.77,288,64.30%,5.14,77.80%,"15' 0""","35' 4""",-0.45,-0.96,40.00%,5,4,1.96,2.41,3.37
T14,Akshay,Bhatia,-4,-0.84,283.6,50.00%,0.24,72.20%,"22' 1""","42' 0""",3.32,-0.76,50.00%,7,1,1.96,-1.36,-0.6
T14,J.J.,Spaun,-4,-0.39,284.3,71.40%,0.62,66.70%,"29' 8""","42' 4""",0.91,0.82,57.10%,3,2,1.96,1.05,0.23
T14,Harris,English,-4,1,286.1,85.70%,-0.15,72.20%,"25' 2""","47' 11""",0.29,0.82,62.50%,3,2,1.96,1.67,0.85
T14,Sam,Burns,-4,1.05,286.2,71.40%,0.84,83.30%,"25' 11""","59' 0""",-0.64,0.71,75.00%,1,0,1.96,2.6,1.89
T20,Tom,Hoge,-3,0.14,277.4,64.30%,0.2,72.20%,"23' 10""","88' 6""",0.99,-0.38,50.00%,4,3,0.96,-0.03,0.34
T20,Robert,MacIntyre,-3,0.08,285,64.30%,-0.07,77.80%,"25' 3""","45' 10""",0.85,0.11,42.90%,3,4,0.96,0.11,0
T20,Harry,Hall,-3,-0.72,282.3,57.10%,-2.58,66.70%,"37' 7""","71' 3""",2.23,2.04,77.80%,3,4,0.96,-1.27,-3.31
T20,Hideki,Matsuyama,-3,-0.08,285.1,64.30%,0.24,72.20%,"35' 3""","113' 3""",0.54,0.26,75.00%,2,4,0.96,0.42,0.16
T20,Maverick,McNealy,-3,0.36,294,64.30%,1.03,72.20%,"21' 11""","103' 10""",-1.1,0.67,75.00%,5,7,0.96,2.06,1.39
T20,Xander,Schauffele,-3,0.01,285.1,64.30%,-0.08,77.80%,"28' 6""","40' 2""",0.21,0.81,83.30%,1,1,0.96,0.75,-0.06
T20,Taylor,Pendrith,-3,-1.37,295,42.90%,-0.03,72.20%,"26' 0""","54' 4""",2.55,-0.19,60.00%,3,2,0.96,-1.59,-1.4
T20,J.T.,Poston,-3,1.56,282.4,100.00%,-0.18,83.30%,"24' 10""",,-1.17,0.75,80.00%,3,3,0.96,2.13,1.38
T20,Andrew,Novak,-3,0.81,291.1,57.10%,-0.75,72.20%,"25' 6""","82' 1""",0.28,0.63,71.40%,4,2,0.96,0.68,0.05
