POS,PLAYER,TOTAL,RD1,Total Strokes
1,Eric Cole,-7,63,63
T2,Nico Echavarria,-6,64,64
T2,Ben Griffin,-6,64,64
T2,Matt Fitzpatrick,-6,64,64
T2,Kristoffer Reitan,-6,64,64
T2,Bud Cauley,-6,64,64
T2,Scottie Scheffler,-6,64,64
T8,Patrick Cantlay,-5,65,65
T8,Brandt Snedeker,-5,65,65
T8,Aaron Rai,-5,65,65
T8,Viktor Hovland,-5,65,65
T8,Justin Rose,-5,65,65
T8,Corey Conners,-5,65,65
T14,Russell Henley,-4,66,66
T14,Brian Harman,-4,66,66
T14,Akshay Bhatia,-4,66,66
T14,J.J. Spaun,-4,66,66
T14,Harris English,-4,66,66
T14,Sam Burns,-4,66,66
T20,Tom Hoge,-3,67,67
T20,Robert MacIntyre,-3,67,67
T20,Harry Hall,-3,67,67
T20,Hideki Matsuyama,-3,67,67
T20,Maverick McNealy,-3,67,67
T20,Xander Schauffele,-3,67,67
T20,Taylor Pendrith,-3,67,67
T20,J.T. Poston,-3,67,67
T20,Andrew Novak,-3,67,67
T20,Keegan Bradley,-3,67,67
T20,Tommy Fleetwood,-3,67,67
T20,Denny McCarthy,-3,67,67
T32,Jackson Suber,-2,68,68
T32,Min Woo Lee,-2,68,68
T32,Ryan Gerard,-2,68,68
T32,Ben James,-2,68,68
T32,Shane Lowry,-2,68,68
T32,Nick Taylor,-2,68,68
T32,Justin Thomas,-2,68,68
T32,Michael Kim,-2,68,68
T32,Sam Stevens,-2,68,68
T32,Brian Campbell,-2,68,68
T32,Keith Mitchell,-2,68,68
T32,Ryo Hisatsune,-2,68,68
T32,Sungjae Im,-2,68,68
T32,Wyndham Clark,-2,68,68
T46,Matt McCarty,-1,69,69
T46,Gary Woodland,-1,69,69
T46,Alex Fitzpatrick,-1,69,69
T46,Collin Morikawa,-1,69,69
T46,Jhonattan Vegas,-1,69,69
T46,Mark Hubbard,-1,69,69
T46,Alex Noren,-1,69,69
T46,Rickie Fowler,-1,69,69
T46,Kurt Kitayama,-1,69,69
T46,Si Woo Kim,-1,69,69
T56,Tony Finau,E,70,70
T56,Ludvig Åberg,E,70,70
T56,Jason Day,E,70,70
T56,Daniel Berger,E,70,70
T56,Jacob Bridgeman,E,70,70
T56,Mac Meissner,E,70,70
T62,Ryan Fox,1,71,71
T62,Nicolai Højgaard,1,71,71
T62,Alex Smalley,1,71,71
T62,Adam Scott,1,71,71
T62,Chris Gotterup,1,71,71
T62,Jordan Spieth,1,71,71
68,Cameron Young,2,72,72
69,Sepp Straka,3,73,73
T70,Jake Knapp,4,74,74
T70,Sahith Theegala,4,74,74
72,Lucas Glover,5,75,75
