"POS","Player","Total","1","2","3","4","5","6","7","8","9","OUT","10","11","12","13","14","15","16","17","18","IN","TOT RD1"
"1","E. Cole","-7","4","4","4","4","3","4","4","2","4","33","4","2","4","3","3","4","3","3","4","30","63"
"T2","N. Echavarria","-6","4","4","4","3","3","5","4","3","4","34","4","2","4","4","3","4","2","3","4","30","64"
"T2","B. Griffin","-6","4","4","3","3","3","4","4","2","4","31","4","3","4","4","4","4","3","3","4","33","64"
"T2","M. Fitzpatrick","-6","4","3","3","5","3","4","3","3","4","32","4","3","3","4","4","3","3","4","4","32","64"
"T2","K. Reitan","-6","4","4","3","4","2","4","4","2","5","32","4","2","4","5","4","3","3","4","3","32","64"
"T2","B. Cauley","-6","4","3","4","4","3","4","4","3","4","33","3","3","4","4","3","3","3","4","4","31","64"
"T2","S. Scheffler","-6","3","4","4","4","2","4","4","3","3","31","4","3","4","4","4","3","3","4","4","33","64"
"T8","P. Cantlay","-5","4","4","3","4","3","5","3","4","4","34","4","2","4","4","4","3","3","3","4","31","65"
"T8","B. Snedeker","-5","4","3","4","5","3","4","4","3","3","33","4","3","4","3","3","4","3","4","4","32","65"
"T8","A. Rai","-5","4","3","4","4","3","5","3","3","3","32","4","3","4","4","4","3","3","4","4","33","65"
"T8","V. Hovland","-5","4","4","4","5","3","4","4","3","3","34","4","2","4","5","4","3","2","4","3","31","65"
"T8","J. Rose","-5","5","4","3","4","3","5","3","2","3","32","4","3","3","4","3","5","3","4","4","33","65"
"T8","C. Conners","-5","4","4","4","4","3","4","3","2","4","32","4","3","4","4","4","3","2","5","4","33","65"
"T14","R. Henley","-4","3","4","4","3","3","5","4","3","4","33","3","3","3","5","3","5","3","4","4","33","66"
"T14","B. Harman","-4","3","4","4","4","2","4","3","2","5","31","5","4","6","4","3","4","3","2","4","35","66"
"T14","A. Bhatia","-4","3","5","4","5","3","4","3","2","4","33","4","2","3","4","4","4","3","4","5","33","66"
"T14","J.J. Spaun","-4","4","3","4","5","4","5","4","2","4","35","4","3","3","4","3","4","3","3","4","31","66"
"T14","H. English","-4","5","4","3","4","2","4","4","3","4","33","4","3","3","4","3","4","3","5","4","33","66"
"T14","S. Burns","-4","4","3","4","4","3","4","3","3","4","32","4","3","4","5","4","3","3","4","4","34","66"
"T20","T. Hoge","-3","4","3","4","3","2","4","4","4","4","32","4","3","4","5","4","4","3","4","4","35","67"
"T20","R. MacIntyre","-3","4","3","4","4","2","5","4","3","4","33","3","3","3","5","5","4","2","4","5","34","67"
"T20","H. Hall","-3","5","4","3","4","3","3","4","3","4","33","4","3","4","5","3","3","4","4","4","34","67"
"T20","H. Matsuyama","-3","3","4","4","4","4","5","4","3","4","35","3","3","3","5","3","4","3","4","4","32","67"
"T20","M. McNealy","-3","4","3","4","5","4","3","5","3","3","34","4","3","4","5","4","3","3","4","3","33","67"
"T20","X. Schauffele","-3","4","3","4","4","4","4","4","2","4","33","4","3","4","5","4","3","3","4","4","34","67"
"T20","T. Pendrith","-3","4","4","4","5","3","3","5","2","4","34","4","3","3","6","4","3","3","3","4","33","67"
"T20","J.T. Poston","-3","4","4","5","4","3","5","5","2","3","35","4","3","4","3","4","3","3","4","4","32","67"
"T20","A. Novak","-3","5","3","4","4","3","5","4","3","4","35","4","3","5","4","4","3","2","3","4","32","67"
"T20","K. Bradley","-3","4","4","3","4","3","4","4","3","3","32","4","3","4","4","4","4","4","4","4","35","67"
"T20","T. Fleetwood","-3","4","4","5","5","3","5","4","3","4","37","3","2","4","4","4","3","2","4","4","30","67"
"T20","D. McCarthy","-3","4","4","4","4","3","5","4","2","4","34","4","2","4","5","4","4","2","4","4","33","67"
"T32","J. Suber","-2","5","3","4","4","3","4","4","3","4","34","4","3","4","5","5","2","4","4","3","34","68"
"T32","M. Lee","-2","4","3","4","4","3","5","4","2","4","33","4","3","6","5","4","3","3","4","3","35","68"
"T32","R. Gerard","-2","4","4","4","4","3","4","5","3","4","35","4","3","4","4","4","3","3","4","4","33","68"
"T32","B. James","-2","4","3","4","4","3","4","4","3","3","32","4","4","4","4","4","4","2","5","5","36","68"
"T32","S. Lowry","-2","4","5","4","4","3","4","4","3","4","35","4","3","4","4","4","3","3","4","4","33","68"
"T32","N. Taylor","-2","3","3","4","4","3","5","4","2","4","32","4","3","4","5","3","5","3","4","5","36","68"
"T32","J. Thomas","-2","4","4","3","4","3","4","4","4","4","34","4","3","5","4","4","3","3","4","4","34","68"
"T32","M. Kim","-2","4","4","4","4","3","4","4","3","4","34","5","2","4","5","4","3","3","4","4","34","68"
"T32","S. Stevens","-2","4","4","4","4","3","4","4","2","4","33","4","3","4","6","3","4","3","3","5","35","68"
"T32","B. Campbell","-2","4","4","4","4","3","4","4","2","4","33","4","3","4","4","4","4","4","4","4","35","68"
"T32","K. Mitchell","-2","4","4","4","4","3","4","4","3","3","33","5","3","4","4","3","5","3","3","5","35","68"
"T32","R. Hisatsune","-2","5","3","4","4","3","5","4","3","3","34","5","2","3","5","4","4","3","4","4","34","68"
"T32","S. Im","-2","3","4","5","3","3","5","4","2","3","32","5","3","4","4","4","4","4","4","4","36","68"
"T32","W. Clark","-2","4","4","4","4","3","4","4","3","4","34","4","2","7","4","4","3","3","3","4","34","68"
"T46","M. McCarty","-1","4","4","4","4","3","5","4","3","4","35","4","3","5","4","3","4","3","4","4","34","69"
"T46","G. Woodland","-1","5","4","4","4","3","4","4","3","4","35","4","3","4","4","4","4","3","4","4","34","69"
"T46","A. Fitzpatrick","-1","4","4","4","4","3","4","6","3","4","36","4","3","4","5","4","3","3","4","3","33","69"
"T46","C. Morikawa","-1","5","3","4","4","3","5","4","3","5","36","5","2","3","4","4","4","3","4","4","33","69"
"T46","J. Vegas","-1","3","4","4","4","3","6","5","3","4","36","4","3","4","4","4","4","3","4","3","33","69"
"T46","M. Hubbard","-1","3","4","5","3","4","4","3","3","4","33","4","3","3","6","4","3","4","4","5","36","69"
"T46","A. Noren","-1","4","4","4","5","3","4","4","3","3","34","4","2","5","4","4","4","4","4","4","35","69"
"T46","R. Fowler","-1","4","4","4","4","3","4","4","2","4","33","4","3","3","7","4","3","4","4","4","36","69"
"T46","K. Kitayama","-1","5","3","4","5","3","5","4","3","4","36","4","3","3","4","4","3","4","4","4","33","69"
"T46","S.W. Kim","-1","4","4","4","4","2","4","4","3","4","33","4","4","4","5","5","3","3","4","4","36","69"
"T56","T. Finau","E","5","4","4","5","4","5","3","3","4","37","3","3","4","4","4","3","2","5","5","33","70"
"T56","L. Åberg","E","5","3","5","4","3","5","4","3","3","35","4","3","5","4","5","3","3","4","4","35","70"
"T56","J. Day","E","4","4","4","4","4","4","4","2","4","34","4","3","4","4","4","3","5","5","4","36","70"
"T56","D. Berger","E","4","4","4","4","2","4","4","3","4","33","4","4","3","4","4","5","3","6","4","37","70"
"T56","J. Bridgeman","E","4","4","4","5","3","5","5","3","3","36","4","3","4","5","4","3","3","4","4","34","70"
"T56","M. Meissner","E","4","4","3","4","3","4","4","3","4","33","4","3","4","6","4","4","3","5","4","37","70"
"T62","R. Fox","+1","4","4","5","5","3","4","5","2","3","35","4","4","4","8","3","3","3","4","3","36","71"
"T62","N. Højgaard","+1","4","4","4","4","3","5","4","3","4","35","5","3","4","5","4","4","3","4","4","36","71"
"T62","A. Smalley","+1","4","4","4","4","3","5","6","4","4","38","4","3","4","5","4","4","3","3","3","33","71"
"T62","A. Scott","+1","3","4","5","4","3","4","4","3","4","34","4","3","5","4","5","4","4","4","4","37","71"
"T62","C. Gotterup","+1","4","4","5","5","3","5","5","3","4","38","5","2","3","5","4","4","3","3","4","33","71"
"T62","J. Spieth","+1","4","4","4","4","3","4","5","3","4","35","4","4","4","4","4","4","3","5","4","36","71"
"68","Cam. Young","+2","4","4","4","5","3","5","5","3","4","37","3","4","4","6","4","4","3","3","4","35","72"
"69","S. Straka","+3","3","5","4","3","3","5","5","3","4","35","5","3","4","5","4","4","4","4","5","38","73"
"T70","J. Knapp","+4","4","4","5","5","3","5","3","3","4","36","5","3","4","6","4","6","3","3","4","38","74"
"T70","S. Theegala","+4","4","4","5","5","3","5","4","3","4","37","4","5","4","4","4","3","3","6","4","37","74"
"72","L. Glover","+5","4","4","5","5","3","5","4","3","4","37","4","3","4","5","5","5","3","4","5","38","75"
