POS,Player,Total,RD1,SG-Off the Tee,SG-Off the Tee (Rank),SG-Approach to Green,SG-Approach to Green (Rank),SG- Around the Green,SG- Around the Green (Rank),SG-Putting,SG-Putting (Rank),SG-Total,SG-Total (Rank)
1,Eric Cole,-7,63,0.228,(30th),2.876,(2nd),1.443,(4th),0.412,(28th),4.958,(1st)
T2,Nico Echavarria,-6,64,1.328,(5th),1.963,(4th),0.39,(27th),0.278,(35th),3.958,(T2)
T2,Ben Griffin,-6,64,-0.685,(57th),-1.436,(58th),0.732,(16th),5.348,(1st),3.958,(T2)
T2,Matt Fitzpatrick,-6,64,1.081,(12th),1.409,(8th),0.525,(23rd),0.944,(14th),3.958,(T2)
T2,Kristoffer Reitan,-6,64,0.659,(18th),-1.315,(57th),0.037,(41st),4.578,(2nd),3.958,(T2)
T2,Bud Cauley,-6,64,1.653,(1st),0.715,(24th),0.991,(8th),0.6,(23rd),3.958,(T2)
T2,Scottie Scheffler,-6,64,1.214,(9th),1.018,(14th),0.81,(12th),0.917,(T15),3.958,(T2)
T8,Patrick Cantlay,-5,65,1.238,(8th),1.016,(15th),0.171,(34th),0.534,(25th),2.958,(T8)
T8,Brandt Snedeker,-5,65,0.428,(21st),0.061,(38th),-0.279,(47th),2.749,(6th),2.958,(T8)
T8,Aaron Rai,-5,65,0.979,(14th),0.911,(18th),0.681,(21st),0.388,(29th),2.958,(T8)
T8,Viktor Hovland,-5,65,0.567,(19th),2.206,(3rd),-0.173,(43rd),0.359,(32nd),2.958,(T8)
T8,Justin Rose,-5,65,-0.995,(63rd),1.208,(10th),0.374,(29th),2.372,(9th),2.958,(T8)
T8,Corey Conners,-5,65,0.281,(27th),1.184,(11th),1.847,(2nd),-0.353,(39th),2.958,(T8)
T14,Russell Henley,-4,66,1.156,(10th),-1.732,(63rd),-1.284,(66th),3.819,(3rd),1.958,(T14)
T14,Brian Harman,-4,66,-1.886,(70th),5.286,(1st),-0.996,(62nd),-0.445,(44th),1.958,(T14)
T14,Akshay Bhatia,-4,66,-0.769,(59th),0.187,(33rd),-0.763,(57th),3.304,(5th),1.958,(T14)
T14,J.J. Spaun,-4,66,-0.463,(52nd),0.749,(22nd),0.756,(15th),0.917,(T15),1.958,(T14)
