POS,Player,Total,1,2,3,4,5,6,7,8,9,OUT,10,11,12,13,14,15,16,17,18,IN,TOT,RD2
1,S. Scheffler,-16,3,5,3,4,2,4,3,2,4,30,3,3,4,4,3,3,2,4,4,30,60,-10
2,V. Hovland,-14,3,3,3,3,3,4,4,3,4,30,4,3,4,3,4,3,2,4,4,31,61,-9
T3,A. Bhatia,-12,4,3,3,4,3,4,4,2,4,31,3,3,4,4,4,3,3,3,4,31,62,-8
T3,E. Cole,-12,3,4,4,3,3,4,3,3,4,31,3,3,4,5,4,4,3,4,4,34,65,-5
T5,B. Cauley,-10,5,3,3,4,3,5,3,2,4,32,3,3,4,5,4,4,3,4,4,34,66,-4
T5,B. Griffin,-10,4,4,4,4,3,5,4,3,4,35,3,2,4,4,4,3,3,4,4,31,66,-4
T5,M. Fitzpatrick,-10,4,3,3,3,4,5,4,3,4,33,3,3,3,5,3,3,4,4,5,33,66,-4
T8,B. Campbell,-9,4,3,3,4,3,4,3,2,3,29,4,3,4,4,4,4,3,4,4,34,63,-7
T8,J.J. Spaun,-9,3,3,3,4,3,5,4,3,4,32,4,2,4,4,5,4,2,4,4,33,65,-5
T8,J. Rose,-9,4,3,4,4,3,5,4,3,4,34,4,3,4,5,3,4,2,4,3,32,66,-4
T8,T. Fleetwood,-9,4,4,4,4,3,4,3,3,4,33,3,2,3,4,4,4,3,3,5,31,64,-6
T8,P. Cantlay,-9,3,3,4,4,3,5,4,3,4,33,4,2,3,5,4,4,3,4,4,33,66,-4
T8,M. McNealy,-9,4,4,4,3,3,4,4,3,4,33,4,3,4,4,3,3,3,3,4,31,64,-6
T14,K. Kitayama,-8,3,3,5,5,3,4,3,3,3,32,2,2,4,5,4,4,2,5,3,31,63,-7
T14,H. English,-8,4,4,4,4,3,4,4,2,3,32,4,3,4,5,4,3,3,4,4,34,66,-4
T14,K. Bradley,-8,4,4,4,3,2,4,4,3,4,32,6,3,4,3,4,3,2,4,4,33,65,-5
T14,S. Burns,-8,4,3,3,4,4,5,5,3,3,34,3,3,3,5,4,3,3,4,4,32,66,-4
T14,W. Clark,-8,3,4,3,4,3,4,4,3,3,31,3,3,3,4,5,5,3,4,3,33,64,-6
T14,B. James,-8,4,4,4,4,3,5,3,3,3,33,4,2,4,4,4,3,3,4,3,31,64,-6
T14,R. MacIntyre,-8,3,4,3,4,3,4,4,2,3,30,4,3,5,3,5,4,2,4,5,35,65,-5
T14,K. Reitan,-8,4,5,4,3,3,4,4,3,3,33,4,3,6,4,4,3,3,4,4,35,68,-2
T22,C. Conners,-7,4,4,5,4,4,5,4,3,4,37,4,2,5,4,3,3,3,3,4,31,68,-2
T22,S.W. Kim,-7,3,3,4,3,4,5,3,2,4,31,3,3,4,6,3,3,3,4,4,33,64,-6
T22,S. Lowry,-7,3,4,4,3,3,5,4,4,4,34,4,3,4,5,3,3,2,3,4,31,65,-5
T22,N. Echavarria,-7,3,4,4,4,3,5,4,3,4,34,4,3,4,6,3,4,3,4,4,35,69,-1
T22,A. Rai,-7,4,4,4,4,3,5,4,3,4,35,4,3,4,4,4,4,3,4,3,33,68,-2
T27,T. Pendrith,-6,3,4,4,5,2,5,4,3,4,34,4,2,4,4,4,4,3,5,3,33,67,-3
T27,S. Im,-6,5,5,3,3,3,4,4,2,4,33,3,3,5,4,4,3,3,4,4,33,66,-4
T27,J.T. Poston,-6,3,4,5,3,3,5,4,3,4,34,4,4,3,4,3,4,3,4,4,33,67,-3
T27,B. Snedeker,-6,4,4,4,3,3,5,4,3,4,34,4,3,4,5,4,5,3,3,4,35,69,-1
T27,H. Matsuyama,-6,4,3,4,3,3,6,4,3,4,34,4,4,5,4,4,3,2,3,4,33,67,-3
T27,J. Thomas,-6,5,4,4,4,2,4,3,3,4,33,4,4,4,5,3,3,2,3,5,33,66,-4
T27,J. Vegas,-6,4,3,3,4,3,5,4,3,4,33,3,4,4,4,3,4,2,4,4,32,65,-5
