POS,First Name,Last Name,Score,R3,SG-OTT,D. Distance,D. Accuracy,SG-APP,GIR,Fairway Prox,Rough Prox,SG-Putt,SG-ARG,Scrambling,Great Shots,Poor Shots,SG-Total,SG-T2G,SG-BS
1,Viktor,Hovland,-20,-6,1.13,286.1,78.60%,0.35,77.80%,"21' 8""","44' 4""",1.8,0.2,66.70%,3,0,3.49,1.68,1.48
2,Scottie,Scheffler,-19,-3,-0.31,280.4,71.40%,2.09,77.80%,"18' 8""","56' 0""",-1.29,0,60.00%,3,3,0.49,1.78,1.78
T3,Patrick,Cantlay,-15,-6,-1.38,276.4,64.30%,3.12,88.90%,"18' 8""","22' 7""",2.54,-0.79,33.30%,4,3,3.49,0.95,1.74
T3,Akshay,Bhatia,-15,-3,0.7,288,78.60%,0.4,72.20%,"21' 7""","44' 7""",-0.6,-0.02,71.40%,2,3,0.49,1.09,1.1
T5,Shane,Lowry,-13,-6,1.43,284.7,92.90%,1.32,88.90%,"24' 7""","74' 2""",-0.09,0.82,100.00%,3,0,3.49,3.57,2.75
T5,Wyndham,Clark,-13,-5,-0.46,287.6,64.30%,-0.51,66.70%,"25' 8""","59' 11""",2.83,0.63,85.70%,2,3,2.49,-0.34,-0.98
T5,Matt,Fitzpatrick,-13,-3,-0.19,281.3,78.60%,-0.11,72.20%,"25' 6""","49' 7""",0.32,0.47,85.70%,2,3,0.49,0.17,-0.3
T5,Ben,Griffin,-13,-3,0.44,273.6,85.70%,0.63,88.90%,"22' 7""",NA,-0.84,0.26,20.00%,3,3,0.49,1.32,1.07
T5,Eric,Cole,-13,-1,-0.98,281.8,57.10%,-1.41,61.10%,"27' 0""","51' 0""",0.28,0.6,75.00%,3,2,-1.51,-1.8,-2.39
T10,Keith,Mitchell,-12,-7,1,295.1,57.10%,0.36,88.90%,"30' 9""","20' 11""",2.66,0.46,66.70%,4,1,4.49,1.82,1.36
T10,Si Woo,Kim,-12,-5,0.3,280.5,71.40%,1.88,83.30%,"19' 0""","24' 9""",1.07,-0.77,66.70%,3,2,2.49,1.41,2.18
T10,Sam,Burns,-12,-4,0.28,283.3,71.40%,0.56,77.80%,"17' 3""","102' 4""",1.11,-0.47,57.10%,3,3,1.49,0.38,0.85
T10,Justin,Rose,-12,-3,-0.21,285.7,57.10%,0.02,61.10%,"31' 3""","46' 1""",0.55,0.13,54.50%,5,6,0.49,-0.06,-0.19
T14,Brian,Harman,-11,-7,1.32,286.7,85.70%,2.33,88.90%,"21' 0""","5' 0""",-0.16,0.99,100.00%,4,1,4.49,4.64,3.66
T14,Collin,Morikawa,-11,-6,1.63,282.6,92.90%,2.29,94.40%,"19' 1""","61' 1""",-0.61,0.17,100.00%,5,3,3.49,4.09,3.93
T14,Chris,Gotterup,-11,-7,1.38,297.7,71.40%,0.33,100.00%,"26' 2""","37' 9""",1.89,0.89,100.00%,6,1,4.49,2.6,1.71
T14,Jackson,Suber,-11,-6,0.56,292.7,57.10%,2.82,94.40%,"22' 11""","29' 2""",-1.06,1.18,50.00%,7,3,3.49,4.55,3.37
T14,Alex,Fitzpatrick,-11,-6,1.41,289.2,92.90%,1.24,77.80%,"22' 7""",NA,0.6,0.23,66.70%,2,4,3.49,2.88,2.65
T14,Justin,Thomas,-11,-5,0.01,283.9,85.70%,2.02,83.30%,"18' 0""","28' 2""",-0.7,1.16,60.00%,4,3,2.49,3.18,2.02
T14,Robert,MacIntyre,-11,-3,0.1,288.7,57.10%,1.32,83.30%,"24' 8""","33' 4""",-0.43,-0.51,33.30%,3,3,0.49,0.92,1.43
T14,J.J.,Spaun,-11,-2,-0.07,277.5,85.70%,-0.91,66.70%,"24' 2""","43' 10""",0.46,0,60.00%,4,8,-0.51,-0.97,-0.97
T22,Hideki,Matsuyama,-10,-4,1.18,284.6,85.70%,-1.05,66.70%,"31' 7""","38' 1""",1.9,-0.54,87.50%,2,3,1.49,-0.41,0.13
T22,Sungjae,Im,-10,-4,-0.24,284.8,50.00%,-2.18,61.10%,"32' 5""","62' 6""",4.52,-0.62,77.80%,4,2,1.49,-3.03,-2.41
T22,Aaron,Rai,-10,-3,0.13,284.4,78.60%,-0.01,72.20%,"24' 8""",NA,0.23,0.13,85.70%,1,1,0.49,0.25,0.12
T22,Kristoffer,Reitan,-10,-2,-1.31,284.5,50.00%,-0.89,55.60%,"19' 6""","72' 10""",2.01,-0.32,70.00%,1,5,-0.51,-2.52,-2.2
T22,Corey,Conners,-10,-3,1.02,285.9,85.70%,1.32,94.40%,"17' 7""","50' 4""",-1.95,0.09,50.00%,3,2,0.49,2.43,2.34
T22,Bud,Cauley,-10,E,-0.24,277.7,57.10%,-1.32,61.10%,"26' 5""","87' 9""",-1.68,0.73,44.40%,2,2,-2.51,-0.84,-1.56
T28,Russell,Henley,-9,-5,1.14,279.4,92.90%,1.13,94.40%,"22' 3""",NA,-0.2,0.42,100.00%,2,0,2.49,2.69,2.27
T28,Denny,McCarthy,-9,-4,-0.94,283,64.30%,0.02,72.20%,"25' 7""","142' 5""",2.13,0.27,100.00%,2,2,1.49,-0.64,-0.91
T28,Nico,Echavarria,-9,-2,-1.22,280.7,64.30%,1,72.20%,"20' 2""","26' 4""",-0.4,0.11,66.70%,2,3,-0.51,-0.12,-0.22
T28,Kurt,Kitayama,-9,-1,-0.32,284.4,64.30%,0.56,83.30%,"20' 4""","127' 3""",-0.24,-1.52,25.00%,4,3,-1.51,-1.28,0.24
T28,Tommy,Fleetwood,-9,E,-0.1,282.6,64.30%,-1.15,66.70%,"23' 0""","24' 5""",-1.51,0.25,42.90%,3,5,-2.51,-1,-1.25
T33,Matt,McCarty,-8,-7,-0.73,288.1,64.30%,4.54,83.30%,"18' 6""","20' 0""",0.19,0.49,75.00%,5,5,4.49,4.3,3.81
T33,Ryo,Hisatsune,-8,-6,0.97,286.4,85.70%,-0.39,83.30%,"26' 0""","35' 10""",2.21,0.7,83.30%,5,1,3.49,1.28,0.58
T33,Tom,Hoge,-8,-5,0.26,289.7,71.40%,-1.56,61.10%,"27' 3""","37' 0""",2.32,1.46,70.00%,5,5,2.49,0.16,-1.3
T33,Daniel,Berger,-8,-5,-0.1,283.3,57.10%,1.89,88.90%,"24' 5""","39' 8""",0.28,0.42,75.00%,3,1,2.49,2.21,1.79
T33,Harris,English,-8,E,-0.14,284.9,57.10%,-0.17,77.80%,"30' 1""","37' 1""",-2.17,-0.04,20.00%,2,2,-2.51,-0.34,-0.31
