POS,PLAYER,THRU,R3,SG-Off the Tee,SG-Off the Tee (Rank),SG-Approach to Green,SG-Approach to Green (Rank),SG- Around the Green,SG- Around the Green (Rank),SG-Putting,SG-Putting (Rank),SG-Total,SG-Total (Rank)
1,Viktor Hovland,-21,69,0.984,(14th),-3.046,(71st),2.035,(2nd),-1.445,(57th),-1.472,(T47)
2,Scottie Scheffler,-21,68,0.167,(35th),0.576,(28th),-0.887,(62nd),-0.328,(44th),-0.472,(T37)
3,Collin Morikawa,-20,61,0.761,(17th),2.115,(6th),-0.145,(45th),3.797,(1st),6.528,(1st)
4,Matt Fitzpatrick,-19,64,1.204,(8th),0.67,(27th),1.374,(8th),0.28,(32nd),3.528,(T6)
T5,Wyndham Clark,-18,65,0.076,(36th),-1.737,(61st),0.407,(28th),3.782,(2nd),2.528,(T12)
T5,Akshay Bhatia,-18,67,0.249,(33rd),-0.648,(45th),1.03,(12th),-0.103,(39th),0.528,(T26)
T7,Corey Conners,-17,63,-0.647,(55th),1.542,(13th),0.72,(18th),2.913,(3rd),4.528,(T3)
T7,J.J. Spaun,-17,64,0.479,(25th),1.399,(17th),-0.589,(56th),2.239,(7th),3.528,(T6)
T7,Alex Fitzpatrick,-17,64,-0.597,(54th),1.684,(10th),0.937,(16th),1.504,(13th),3.528,(T6)
T10,Robert MacIntyre,-16,65,-0.926,(64th),1.45,(16th),-0.564,(55th),2.568,(5th),2.528,(T12)
T10,Ben Griffin,-16,67,-0.848,(61st),2.427,(4th),-0.822,(60th),-0.229,(41st),0.528,(T26)
T12,Russell Henley,-15,64,1.149,(9th),1.975,(7th),0.368,(29th),0.036,(36th),3.528,(T6)
T12,Sam Burns,-15,67,0.611,(20th),1.364,(18th),-2.503,(71st),1.056,(15th),0.528,(T26)
T14,Nicolai Højgaard,-14,62,-0.139,(42nd),3.692,(1st),1.173,(10th),0.802,(21st),5.528,(2nd)
T14,Keegan Bradley,-14,64,0.96,(15th),2.968,(3rd),0.289,(31st),-0.689,(50th),3.528,(T6)
T14,Tommy Fleetwood,-14,65,1.005,(13th),-0.655,(46th),0.263,(34th),1.915,(9th),2.528,(T12)
T14,Denny McCarthy,-14,65,0.797,(16th),0.13,(34th),0.159,(38th),1.442,(14th),2.528,(T12)
T14,Bud Cauley,-14,66,0.516,(22nd),1.342,(19th),1.444,(7th),-1.774,(61st),1.528,(T19)
T14,Hideki Matsuyama,-14,66,1.329,(5th),0.064,(36th),0.426,(27th),-0.291,(43rd),1.528,(T19)
T14,Justin Thomas,-14,67,-0.017,(39th),-2.521,(70th),3.519,(1st),-0.453,(46th),0.528,(T26)
T14,Patrick Cantlay,-14,71,-0.47,(50th),-1.482,(T59),0.247,(36th),-1.767,(60th),-3.472,(T64)
T22,Kristoffer Reitan,-13,67,1.091,(10th),-1.482,(T59),0.069,(41st),0.85,(19th),0.528,(T26)
T22,Keith Mitchell,-13,69,0.054,(37th),0.021,(37th),0.3,(30th),-1.847,(63rd),-1.472,(T47)
T22,Shane Lowry,-13,70,-0.458,(49th),0.758,(24th),-0.663,(57th),-2.109,(65th),-2.472,(T58)
T25,Nick Taylor,-12,65,0.538,(21st),-0.2,(T40),1.168,(11th),1.022,(17th),2.528,(T12)
T25,Daniel Berger,-12,66,0.192,(34th),-1.252,(53rd),1.675,(3rd),0.913,(18th),1.528,(T19)
T25,Kurt Kitayama,-12,67,1.249,(6th),0.266,(32nd),-0.18,(47th),-0.807,(51st),0.528,(T26)
T25,Justin Rose,-12,70,0.649,(19th),-0.44,(43rd),-0.772,(58th),-1.909,(64th),-2.472,(T58)
T25,Brian Harman,-12,69,-2.82,(72nd),0.233,(33rd),0.521,(21st),0.594,(29th),-1.472,(T47)
T30,Andrew Novak,-11,63,1.383,(4th),1.953,(8th),0.453,(25th),0.739,(24th),4.528,(T3)
T30,Michael Kim,-11,66,-0.892,(62nd),1.791,(9th),-0.212,(48th),0.841,(20th),1.528,(T19)
T30,Matt McCarty,-11,67,-1.655,(68th),1.601,(12th),0.005,(42nd),0.577,(30th),0.528,(T26)
T30,Nico Echavarria,-11,68,-0.555,(53rd),-1.305,(54th),1.307,(9th),0.081,(34th),-0.472,(T37)
T30,Sungjae Im,-11,69,0.44,(26th),-2.124,(65th),0.229,(37th),-0.017,(38th),-1.472,(T47)
T30,Aaron Rai,-11,69,0.292,(30th),-1.335,(56th),-0.255,(50th),-0.174,(40th),-1.472,(T47)
T30,Jackson Suber,-11,70,-1.057,(67th),-0.824,(48th),-2.374,(69th),1.783,(11th),-2.472,(T58)
T30,Chris Gotterup,-11,70,0.679,(18th),1.649,(11th),-2.45,(70th),-2.35,(66th),-2.472,(T58)
T38,Brandt Snedeker,-10,66,-0.219,(43rd),2.4,(5th),-0.39,(52nd),-0.263,(42nd),1.528,(T19)
T38,Rickie Fowler,-10,67,1.4,(3rd),-1.442,(58th),0.265,(33rd),0.305,(31st),0.528,(T26)
T38,Harris English,-10,68,-0.479,(51st),-0.864,(49th),0.095,(39th),0.776,(22nd),-0.472,(T37)
T38,Tom Hoge,-10,68,-2.763,(71st),1.12,(21st),0.497,(24th),0.674,(27th),-0.472,(T37)
T38,Ryo Hisatsune,-10,68,1.436,(2nd),-0.2,(T40),0.757,(17th),-2.465,(67th),-0.472,(T37)
T38,Eric Cole,-10,73,-0.422,(48th),-2.04,(64th),0.255,(35th),-3.265,(71st),-5.472,(T69)
T44,Ryan Gerard,-9,65,-0.095,(41st),0.379,(31st),1.518,(6th),0.726,(26th),2.528,(T12)
T44,Mac Meissner,-9,68,0.366,(28th),-0.663,(47th),-2.303,(68th),2.128,(8th),-0.472,(T37)
T44,Si Woo Kim,-9,73,-0.512,(52nd),-0.174,(39th),-1.25,(65th),-3.536,(72nd),-5.472,(T69)
T47,Cameron Young,-8,63,1.027,(11th),0.93,(22nd),0.69,(19th),1.881,(10th),4.528,(T3)
T47,Alex Smalley,-8,64,0.508,(23rd),1.506,(15th),-0.155,(46th),1.669,(12th),3.528,(T6)
T47,Jacob Bridgeman,-8,66,1.21,(7th),1.227,(20th),-0.893,(63rd),-0.016,(37th),1.528,(T19)
T47,Brian Campbell,-8,69,-1.023,(66th),0.701,(26th),-0.512,(54th),-0.638,(49th),-1.472,(T47)
T51,Sahith Theegala,-7,65,-0.902,(63rd),2.986,(2nd),1.02,(13th),-0.576,(48th),2.528,(T12)
T51,Jhonattan Vegas,-7,67,0.313,(29th),-1.029,(51st),0.511,(22nd),0.733,(25th),0.528,(T26)
T51,Harry Hall,-7,68,-2.029,(70th),-1.894,(63rd),0.653,(20th),2.798,(4th),-0.472,(T37)
T51,Xander Schauffele,-7,69,1.523,(1st),-1.342,(57th),-0.807,(59th),-0.846,(52nd),-1.472,(T47)
T55,Ludvig Åberg,-6,68,-0.68,(59th),0.456,(30th),-0.292,(51st),0.044,(35th),-0.472,(T37)
T55,Alex Noren,-6,69,-0.251,(44th),-2.131,(66th),0.273,(32nd),0.637,(28th),-1.472,(T47)
T55,Jason Day,-6,69,-0.977,(65th),0.832,(23rd),1.59,(4th),-2.917,(69th),-1.472,(T47)
T55,Jake Knapp,-6,69,0.5,(24th),-0.092,(38th),-0.065,(44th),-1.815,(62nd),-1.472,(T47)
T55,Tony Finau,-6,70,-0.303,(T45),-0.876,(50th),0.449,(26th),-1.742,(59th),-2.472,(T58)
T55,Maverick McNealy,-6,72,-0.725,(60th),-1.892,(62nd),-0.985,(64th),-0.87,(53rd),-4.472,(T66)
61,Taylor Pendrith,-5,69,0.258,(32nd),-2.266,(T67),1.554,(5th),-1.018,(55th),-1.472,(T47)
T62,Min Woo Lee,-4,66,0.404,(27th),-0.429,(42nd),0.5,(23rd),1.053,(16th),1.528,(T19)
T62,Sam Stevens,-4,68,1.012,(12th),-1.087,(52nd),-0.051,(43rd),-0.346,(45th),-0.472,(T37)
T62,Ben James,-4,73,-0.39,(47th),-3.175,(72nd),-0.45,(53rd),-1.457,(58th),-5.472,(T69)
65,Adam Scott,-3,71,-0.679,(58th),0.101,(35th),-0.225,(49th),-2.669,(68th),-3.472,(T64)
T66,Ryan Fox,E,67,-1.91,(69th),0.716,(25th),0.982,(15th),0.74,(23rd),0.528,(T26)
T66,Jordan Spieth,E,67,-0.303,(T45),0.522,(29th),0.092,(40th),0.217,(33rd),0.528,(T26)
T66,Lucas Glover,E,68,-0.025,(40th),1.517,(14th),-0.872,(61st),-1.092,(56th),-0.472,(T37)
69,J.T. Poston,1,76,-0.669,(57th),-2.266,(T67),-7.857,(72nd),2.32,(6th),-8.472,(72nd)
70,Mark Hubbard,2,70,0.277,(31st),-0.533,(44th),1.018,(14th),-3.234,(70th),-2.472,(T58)
71,Gary Woodland,5,72,0.026,(38th),-2.283,(69th),-1.289,(66th),-0.926,(54th),-4.472,(T66)
72,Sepp Straka,10,72,-0.656,(56th),-1.309,(55th),-2.025,(67th),-0.482,(47th),-4.472,(T66)
