POS,First Name,Last Name,Score,SG-APP,SG-OTT,D. Distance,D. Accuracy,SG-APP,GIR,Fairway Prox,Rough Prox,SG-Putt,SG-ARG,Scrambling,Great Shots,Poor Shots,SG-Total,SG-T2G,SG-BS
T1,Viktor,Hovland,-21,-1,1.13,282.5,85.70%,-3.14,61.10%,"29' 7""","73' 3""",-1.45,1.99,66.70%,3,3,-1.47,-0.02,-2.01
T1,Scottie,Scheffler,-21,-2,0.08,281.9,57.10%,0.73,77.80%,"23' 9""","34' 7""",-0.31,-0.98,50.00%,1,3,-0.47,-0.16,0.82
3,Collin,Morikawa,-20,-9,0.89,283.1,85.70%,2.03,88.90%,"22' 2""","11' 10""",3.81,-0.21,75.00%,5,0,6.53,2.71,2.92
4,Matt,Fitzpatrick,-19,-6,1.39,281,100.00%,0.56,72.20%,"26' 7""",NA,0.26,1.31,62.50%,5,2,3.53,3.26,1.95
T5,Wyndham,Clark,-18,-5,-0.02,291.5,71.40%,-1.71,44.40%,"26' 11""","38' 8""",3.78,0.48,80.00%,5,4,2.53,-1.25,-1.74
T5,Akshay,Bhatia,-18,-3,0.12,280.3,64.30%,-0.53,66.70%,"33' 0""","32' 3""",-0.09,1.03,75.00%,2,3,0.53,0.62,-0.41
T7,Corey,Conners,-17,-7,-0.68,282.4,57.10%,1.59,83.30%,"22' 9""","52' 10""",2.93,0.68,66.70%,6,4,4.53,1.59,0.91
T7,J.J.,Spaun,-17,-6,0.16,287.1,57.10%,1.75,88.90%,"24' 0""","29' 0""",2.22,-0.61,33.30%,5,1,3.53,1.3,1.91
T7,Alex,Fitzpatrick,-17,-6,-0.65,285.9,64.30%,1.82,77.80%,"21' 0""","52' 4""",1.52,0.84,83.30%,2,1,3.53,2.01,1.17
T10,Robert,MacIntyre,-16,-5,-0.79,286.1,78.60%,1.35,83.30%,"23' 0""","30' 5""",2.59,-0.62,0.00%,3,6,2.53,-0.06,0.56
T10,Ben,Griffin,-16,-3,-0.75,275.5,71.40%,2.38,77.80%,"24' 8""","39' 7""",-0.22,-0.89,20.00%,2,1,0.53,0.75,1.63
T12,Russell,Henley,-15,-6,1.17,285.2,78.60%,2.05,94.40%,"23' 9""","16' 3""",0.01,0.3,50.00%,8,3,3.53,3.52,3.22
T12,Sam,Burns,-15,-3,0.1,288,57.10%,1.86,61.10%,"22' 5""","49' 1""",1.07,-2.51,37.50%,7,6,0.53,-0.55,1.97
T14,Nicolai,Hojgaard,-14,-8,-0.14,284.7,71.40%,3.74,77.80%,"15' 2""","39' 11""",0.75,1.18,100.00%,7,3,5.53,4.77,3.6
T14,Keegan,Bradley,-14,-6,0.53,294.7,64.30%,3.44,83.30%,"13' 10""","50' 11""",-0.65,0.21,50.00%,5,4,3.53,4.18,3.97
T14,Tommy,Fleetwood,-14,-5,0.9,286.8,71.40%,-0.49,88.90%,"19' 8""","37' 9""",1.94,0.18,75.00%,4,1,2.53,0.59,0.42
T14,Denny,McCarthy,-14,-5,0.88,274.7,92.90%,0.11,83.30%,"23' 0""","15' 3""",1.45,0.09,66.70%,6,2,2.53,1.08,0.99
T14,Bud,Cauley,-14,-4,0.65,275.3,85.70%,1.29,88.90%,"27' 7""","42' 6""",-1.76,1.35,80.00%,5,3,1.53,3.29,1.94
T14,Hideki,Matsuyama,-14,-4,1.39,289.5,78.60%,0,77.80%,"27' 0""","59' 1""",-0.28,0.42,50.00%,4,3,1.53,1.81,1.39
