Last Name,First Name,Events,Rounds,Wins,WIN%,SG-PUTT,SG-ARG,SG-APP,SG-OTT,SG-OTT,SG-TOTAL,Driving-Distance,Driving-Accuracy
SCHEFFLER,SCOTTIE,21,84,4,19%,0.68,0.52,1.13,0.85,2.5,3.2,9.5,4.60%
MCILROY,RORY,22,86,2,9%,0.58,0.23,0.59,0.97,1.78,2.3,21.8,-3.00%
RAHM,JON,21,76,2,10%,0.32,0.31,0.81,0.85,1.97,2.28,13.6,0.30%
YOUNG,CAMERON,22,86,3,14%,0.56,0.27,0.6,0.74,1.6,2.15,10.4,0.70%
KOIVUN,JACKSON,19,60,0,0%,1.25,-0.12,0.6,0.39,0.86,1.29,5.4,8.70%
HENLEY,RUSSELL,20,74,1,5%,0.45,0.39,0.78,0.45,1.61,2.06,-8.8,12.10%
FLEETWOOD,TOMMY,26,99,2,8%,0.54,0.32,0.64,0.57,1.54,2.06,0.8,8.80%
FITZPATRICK,MATT,28,111,4,14%,0.38,0.56,0.75,0.37,1.68,2.01,2,4.90%
SCHAUFFELE,XANDER,19,74,1,5%,0.23,0.09,0.73,0.74,1.57,1.89,11.9,0.50%
ABERG,LUDVIG,23,86,0,0%,0.39,0.15,0.71,0.66,1.52,1.82,13,1.70%
KNAPP,JAKE,15,56,0,0%,0.78,-0.03,0.21,0.78,0.96,1.76,17.3,0.80%
SPAUN,J.J.,25,86,2,8%,-0.14,0.3,0.96,0.52,1.78,1.64,0.6,4.90%
BURNS,SAM,24,90,0,0%,0.78,-0.03,0.48,0.37,0.82,1.6,8.6,-0.50%
CANTLAY,PATRICK,20,72,0,0%,0.09,0.39,0.7,0.43,1.52,1.59,2.9,-0.50%
GOTTERUP,CHRIS,25,98,3,12%,0.4,0.1,0.35,0.75,1.21,1.54,17.1,-5.20%
MCNEALY,MAVERICK,24,90,0,0%,0.63,0.3,0.22,0.35,0.87,1.53,6.5,-1.30%
MACINTYRE,ROBERT,27,100,1,4%,0.69,0.23,-0.05,0.53,0.71,1.51,2.2,1.10%
KIM,SI WOO,31,115,0,0%,-0.32,0.37,0.77,0.63,1.76,1.5,-3.7,10.20%
HOVLAND,VIKTOR,23,87,0,0%,0.16,0.2,0.96,0.17,1.32,1.48,-0.7,5.40%
GRIFFIN,BEN,29,104,1,3%,0.56,0.39,0.31,0.1,0.79,1.45,0.7,0.10%
ROSE,JUSTIN,21,75,2,10%,0.18,0.13,0.81,0.28,1.22,1.44,3.3,1.20%
ENGLISH,HARRIS,24,94,0,0%,0.74,0.15,0.14,0.43,0.71,1.43,1.8,3.60%
MORIKAWA,COLLIN,20,74,1,5%,-0.22,0.12,0.96,0.46,1.54,1.33,0.6,7.70%
NOREN,ALEX,27,95,2,7%,0.77,0.19,0.4,0.07,0.67,1.32,-7.9,4.90%
MATSUYAMA,HIDEKI,27,108,1,4%,0.16,0.5,0.78,-0.12,1.15,1.32,-1.5,-0.40%
KITAYAMA,KURT,23,89,1,4%,0.09,-0.12,0.85,0.57,1.31,1.29,11.5,-0.30%
FOWLER,RICKIE,22,78,0,0%,0.38,0.08,0.31,0.41,0.81,1.22,0.7,4.20%
HALL,HARRY,27,93,0,0%,0.66,0.46,0.23,-0.12,0.57,1.18,-1.4,-2.80%
SCOTT,ADAM,24,92,0,0%,-0.12,0.02,0.88,0.42,1.32,1.18,9.2,-1.30%
DECHAMBEAU,BRYSON,19,61,2,11%,0.12,-0.28,0.3,0.95,0.97,1.15,18.5,-1.50%
HOJGAARD,NICOLAI,28,100,0,0%,0.09,0.02,0.57,0.43,1.02,1.14,17.9,-4.20%
LEE,MIN WOO,24,86,0,0%,0.22,0.41,-0.07,0.49,0.83,1.12,12.8,0.80%
CLARK,WYNDHAM,26,90,1,4%,0.27,0.46,0.48,0.04,0.98,1.09,6.2,-3.90%
BHATIA,AKSHAY,27,90,1,4%,0.4,0.09,0.68,0.01,0.78,1.07,0.8,-2.20%
BRADLEY,KEEGAN,23,82,1,4%,0.23,0.46,0.08,0.3,0.84,1.06,5.5,-0.10%
LOWRY,SHANE,27,98,0,0%,0.14,-0.09,0.82,0.17,0.9,1.04,-0.6,1.50%
THOMAS,JUSTIN,18,68,0,0%,0.16,0.47,0.23,0.18,0.88,1.04,3.2,-3.80%
SPIETH,JORDAN,20,76,0,0%,0.22,0.17,0.36,0.29,0.81,1.03,6.9,-1.60%
REED,PATRICK,26,91,3,12%,0.17,0.24,0.64,0.24,1.13,0.97,-2.9,0.30%
RAI,AARON,24,88,2,8%,-0.24,0.21,0.72,0.28,1.21,0.97,-11.7,12.70%
