Last Name,First Name,main-tour,L5-1 Place,L5 Tournament-1,L5 Tournament-Tour1,L5-2 Place,L5 Tournament-2,L5 Tournament-Tour2,L5-3 Place,L5 Tournament-3,L5 Tournament-Tour3,L5-4 Place,L5 Tournament-4,L5 Tournament-Tour4,L5-5 Place,L5 Tournament-5,L5 Tournament-Tour5,Last 20 Rds True-SG,Last 20 VERSUS BASELINE
SCHEFFLER,SCOTTIE,PGA Tour,2,RBC Heritage,PGA Tour,2,Cadillac Championship,PGA Tour,T14,PGA Championship,Major,3,THE CJ CUP Byron Nelson,PGA Tour,T12,the Memorial Tournament presented by Workday,PGA Tour,2.99,-0.21
RAHM,JON,LIV Golf,T8,Mexico City,LIV Golf,T2,Virginia,LIV Golf,T16,PGA Championship,Major,2,Korea,LIV Golf,,Andalucia,LIV Golf,2.48,0.2
MCILROY,RORY,PGA Tour,T46,THE PLAYERS Championship,PGA Tour,,Masters Tournament,Major,T19,Truist Championship,PGA Tour,T7,PGA Championship,Major,T12,the Memorial Tournament presented by Workday,PGA Tour,2.43,0.13
CLARK,WYNDHAM,PGA Tour,T20,Zurich Classic of New Orleans,PGA Tour,CUT,PGA Championship,Major,,THE CJ CUP Byron Nelson,PGA Tour,3,the Memorial Tournament presented by Workday,PGA Tour,T11,RBC Canadian Open,PGA Tour,2.33,1.24
FLEETWOOD,TOMMY,PGA Tour,T23,Cadillac Championship,PGA Tour,T5,Truist Championship,PGA Tour,CUT,PGA Championship,Major,T4,the Memorial Tournament presented by Workday,PGA Tour,T11,RBC Canadian Open,PGA Tour,2.24,0.18
CANTLAY,PATRICK,PGA Tour,T12,Masters Tournament,Major,T8,RBC Heritage,PGA Tour,T10,Truist Championship,PGA Tour,T35,PGA Championship,Major,T17,the Memorial Tournament presented by Workday,PGA Tour,2.16,0.57
THOMAS,JUSTIN,PGA Tour,T23,Cadillac Championship,PGA Tour,13,Truist Championship,PGA Tour,T4,PGA Championship,Major,T13,Charles Schwab Challenge,PGA Tour,T19,the Memorial Tournament presented by Workday,PGA Tour,2.09,1.06
HATTON,TYRRELL,LIV Golf,T3,Masters Tournament,Major,T5,Mexico City,LIV Golf,CUT,Virginia,LIV Golf,17,PGA Championship,Major,,Andalucia,LIV Golf,2.03,1.07
SPAUN,J.J.,PGA Tour,T14,Cadillac Championship,PGA Tour,T5,Truist Championship,PGA Tour,CUT,PGA Championship,Major,T6,Charles Schwab Challenge,PGA Tour,T12,the Memorial Tournament presented by Workday,PGA Tour,2.03,0.39
ABERG,LUDVIG,PGA Tour,T4,RBC Heritage,PGA Tour,T8,Truist Championship,PGA Tour,T4,PGA Championship,Major,T17,Charles Schwab Challenge,PGA Tour,39,the Memorial Tournament presented by Workday,PGA Tour,2.02,0.2
COLE,ERIC,PGA Tour,T6,ONEflight Myrtle Beach Classic,PGA Tour,T31,THE CJ CUP Byron Nelson,PGA Tour,2,Charles Schwab Challenge,PGA Tour,8,the Memorial Tournament presented by Workday,PGA Tour,CUT,RBC Canadian Open,PGA Tour,1.99,1.37
KIM,SI WOO,PGA Tour,T4,Cadillac Championship,PGA Tour,T65,Truist Championship,PGA Tour,T35,PGA Championship,Major,2,THE CJ CUP Byron Nelson,PGA Tour,T10,the Memorial Tournament presented by Workday,PGA Tour,1.97,0.47
REITAN,KRISTOFFER,PGA Tour,T14,Cadillac Championship,PGA Tour,,Truist Championship,PGA Tour,T44,PGA Championship,Major,T6,the Memorial Tournament presented by Workday,PGA Tour,T60,RBC Canadian Open,PGA Tour,1.95,1.03
FITZPATRICK,ALEX,PGA Tour,T9,Cadillac Championship,PGA Tour,4,Truist Championship,PGA Tour,T75,PGA Championship,Major,T6,the Memorial Tournament presented by Workday,PGA Tour,T20,RBC Canadian Open,PGA Tour,1.95,1.52
KITAYAMA,KURT,PGA Tour,T8,RBC Heritage,PGA Tour,T9,Cadillac Championship,PGA Tour,T19,Truist Championship,PGA Tour,T10,PGA Championship,Major,T22,the Memorial Tournament presented by Workday,PGA Tour,1.93,0.64
YOUNG,CAMERON,PGA Tour,T25,RBC Heritage,PGA Tour,,Cadillac Championship,PGA Tour,T10,Truist Championship,PGA Tour,T26,PGA Championship,Major,T46,the Memorial Tournament presented by Workday,PGA Tour,1.88,-0.28
HENLEY,RUSSELL,PGA Tour,T25,RBC Heritage,PGA Tour,T49,Cadillac Championship,PGA Tour,CUT,PGA Championship,Major,,Charles Schwab Challenge,PGA Tour,T22,the Memorial Tournament presented by Workday,PGA Tour,1.86,-0.2
SCHAUFFELE,XANDER,PGA Tour,T9,Masters Tournament,Major,T12,RBC Heritage,PGA Tour,T60,Truist Championship,PGA Tour,T7,PGA Championship,Major,T29,the Memorial Tournament presented by Workday,PGA Tour,1.76,-0.13
REED,PATRICK,DP World Tour,T29,Qatar Masters,DP World Tour,T10,Investec South African Open Championship,DP World Tour,T12,Joburg Open,DP World Tour,T10,Masters Tournament,Major,,PGA Championship,Major,1.75,0.77
BURNS,SAM,PGA Tour,T38,Cadillac Championship,PGA Tour,T37,Truist Championship,PGA Tour,T26,PGA Championship,Major,T4,the Memorial Tournament presented by Workday,PGA Tour,T20,RBC Canadian Open,PGA Tour,1.7,0.11
