playerid,firstname,lastname,playername,worldrank,main_tour,datadepthclass,baselineconfidenceband,truesg_total_12m,truesg_ott_12m,truesg_app_12m,truesg_arg_12m,truesg_putt_12m,truesg_sample_events,truesg_sample_rounds,wins_12m,win_rate_12m,driving_distance_delta,driving_accuracy_delta,neutralskillsg,neutralskillindex,trait_ott_distance,trait_ott_accuracy,trait_ott_total,trait_app_total,trait_app_150_200,trait_app_200_plus,trait_app_short,trait_app_flight_control,trait_arg_total,trait_arg_tight_runoff,trait_arg_bunker,trait_putt_total,trait_putt_distance_control,trait_putt_short_conversion,trait_wind_tolerance,trait_major_grind,coursefit_adj_total,coursefit_adj_ott,coursefit_adj_app,coursefit_adj_arg,coursefit_adj_putt,shotdist_approach_100_150,shotdist_approach_150_175,shotdist_approach_175_200,shotdist_approach_200_225,shotdist_approach_225_plus,shotdist_par3_175_200,shotdist_par3_200_plus,venuefitscore,venuefitdelta,venuefitconfidenceband,venue_history_rounds,venue_history_sg_total,venue_history_sg_ott,venue_history_sg_app,venue_history_sg_arg,venue_history_sg_putt,venuehistorydelta,venuehistoryconfidenceband,last20rds_sg,last20_vs_baseline,formscore_raw,recentformindex,form_vs_neutralskill,formscore_adjusted,recentformgateapplied,recentformgate_reason,debutflag,debutclass,injuryflag,healthgatestatus,healthgatereason,antipattern_bomb_and_spray_flag,antipattern_short_and_wild_flag,antipattern_long_iron_liability_flag,antipattern_weak_tight_runoff_flag,antipattern_poor_lag_putting_flag,primary_trait_driver,primary_risk_trait,trait_summary_label
1,Scottie,Scheffler,"SCHEFFLER, SCOTTIE",1.0,PGA Tour,deep,high,3.2,2.5,1.13,0.52,0.68,21,84,4.0,0.19,9.5,4.6,3.2,100.0,100.0,100.0,100.0,64.98740554156171,67.7497969130788,65.15837104072398,61.49870801033591,66.1957618567104,96.77419354838709,85.99167822468794,76.25,83.23529411764706,70.6060606060606,80.29411764705883,96.8944099378882,100.0,0.14,0.02,0.05,0.06,0.66,1.2,5.1,8.0,3.6,3.6,8.0,3.6,97.21721316447916,-2.782786835520838,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,2.99,-0.21,3.053,100.0,-0.21,3.10445,False,,False,,False,ok,,False,False,False,False,False,OTT_Distance,APP_200+,OTT_Distance + OTT_Accuracy; weak APP_200+
2,Rory,McIlroy,"MCILROY, RORY",2.0,PGA Tour,deep,high,2.3,1.78,0.59,0.23,0.58,22,86,2.0,0.09,21.8,-3.0,2.3,88.86138613861387,93.98934821202131,86.98338596732114,89.5500725689405,51.385390428211586,62.71324126726239,32.579185520361975,47.5452196382429,48.73864783047427,85.08064516129032,76.69902912621359,64.16666666666667,80.29411764705883,73.63636363636367,77.35294117647055,79.89836250705817,61.769759450171826,-0.01,-0.08,0.04,0.04,0.67,1.2,5.6,8.0,3.0,3.0,8.0,3.0,79.82530879661202,-9.036077342001846,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,2.43,0.13,2.391,91.6551115593092,0.13,2.35915,False,,False,,False,ok,,True,False,True,False,False,OTT_Distance,APP_200+,OTT_Distance + OTT_Accuracy; weak APP_200+
3,Jon,Rahm,"RAHM, JON",8.0,LIV Golf,deep,high,2.28,1.97,0.81,0.31,0.32,21,76,2.0,0.1,13.6,0.3,2.28,88.61386138613861,94.31904641136192,90.95153096251545,92.3076923076923,56.92695214105793,63.20064987814784,47.73755656108597,53.22997416020671,55.953582240161445,88.30645161290323,80.02773925104022,67.5,72.6470588235294,62.727272727272776,66.76470588235293,85.98249576510446,65.12027491408936,0.05,-0.019999999999999997,0.04,0.04,0.665,1.2,5.3,8.0,3.3,3.3,8.0,3.3,84.05004296072774,-4.563818425410872,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,2.48,0.2,2.42,92.02067313752679,0.2,2.371,False,,False,,False,ok,,False,False,False,False,False,OTT_Distance,APP_200+,OTT_Distance + OTT_Accuracy; weak APP_200+
4,Cameron,Young,"YOUNG, CAMERON",3.0,PGA Tour,deep,high,2.15,1.6,0.6,0.27,0.56,22,86,3.0,0.14,10.4,0.7,2.15,87.0049504950495,88.81562262236876,86.03597418646163,86.93759071117563,51.63727959697732,56.45816409423233,46.38009049773758,50.3875968992248,50.8577194752775,86.69354838709677,78.36338418862691,70.0,79.70588235294119,73.03030303030307,76.76470588235291,80.47713156408808,78.30756013745706,0.05,-0.019999999999999997,0.03,0.04,0.67,1.3,5.2,8.0,3.4,3.4,8.0,3.4,82.83418764027562,-4.1707628547738835,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,1.88,-0.28,1.9609999999999999,86.23471574435901,-0.28,2.02715,False,,False,,False,ok,,False,False,False,False,False,OTT_Distance,APP_200+,OTT_Distance + OTT_Accuracy; weak APP_200+
5,Matt,Fitzpatrick,"FITZPATRICK, MATT",4.0,PGA Tour,deep,high,2.01,1.68,0.75,0.56,0.38,28,111,4.0,0.14,2.0,4.9,2.01,85.27227722772277,87.69972102460056,88.86447892352052,88.09869375907111,55.41561712846348,55.239642567018684,63.348416289592755,54.26356589147285,56.76084762865792,98.38709677419355,87.65603328710125,82.08333333333334,74.41176470588235,61.51515151515154,68.52941176470586,85.37549407114625,77.70618556701032,0.12,0.04,0.04,0.05,0.66,1.3,4.9,8.0,3.8,3.8,8.0,3.8,87.9133697177323,2.6410924900095267,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,1.63,-0.38,1.7439999999999998,83.49930669355855,-0.38,1.8371,False,,False,,False,ok,,False,False,False,False,False,OTT_Accuracy,APP_150-200,OTT_Accuracy + OTT_Distance; weak APP_150-200
6,Tommy,Fleetwood,"FLEETWOOD, TOMMY",6.0,PGA Tour,deep,high,2.06,1.54,0.64,0.32,0.54,26,99,2.0,0.08,0.8,8.8,2.06,85.89108910891089,85.62008622875983,88.54867499656736,86.066763425254,52.64483627204031,52.55889520714867,64.25339366515837,48.837209302325576,55.953582240161445,88.70967741935483,80.44382801664356,72.08333333333333,79.11764705882352,69.3939393939394,76.17647058823528,85.1072840203275,57.30240549828179,0.14,0.07,0.03,0.05,0.665,1.2,4.9,8.0,3.9,3.9,8.0,3.9,85.81488684279427,-0.07620226611662417,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,2.24,0.18,2.186,89.07096936846087,0.18,2.1419,False,,False,,False,ok,,False,False,False,False,False,OTT_Accuracy,APP_150-200,OTT_Accuracy + OTT_Distance; weak APP_150-200
7,Xander,Schauffele,"SCHAUFFELE, XANDER",12.0,PGA Tour,deep,high,1.89,1.57,0.73,0.09,0.23,19,74,1.0,0.05,11.9,0.5,1.89,83.78712871287128,88.81562262236876,85.5416723877523,86.5021770682148,54.91183879093199,61.251015434606025,49.32126696832578,51.162790697674424,54.03632694248235,79.43548387096774,70.87378640776699,58.333333333333336,70.0,66.06060606060609,67.05882352941175,81.35234330886504,46.26288659793815,0.04,-0.03,0.04,0.03,0.675,1.2,5.3,8.0,3.4,3.4,8.0,3.4,79.21396170818727,-4.573167004684009,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,1.76,-0.13,1.799,84.19261313500567,-0.13,1.8308499999999999,False,,False,,False,ok,,False,False,False,False,False,OTT_Distance,MajorGrind,OTT_Distance + OTT_Accuracy; weak MajorGrind
8,Ludvig,Aberg,"ABERG, LUDVIG",13.0,PGA Tour,deep,high,1.82,1.52,0.71,0.15,0.39,23,86,0.0,0.0,13.0,1.7,1.82,82.92079207920791,88.46056302307889,85.34944391047645,85.77648766328012,54.40806045340051,60.763606823720565,45.47511312217193,50.64599483204134,54.1372351160444,81.85483870967741,73.37031900138695,60.83333333333334,74.70588235294117,70.90909090909095,74.70588235294115,81.3382269904009,28.78006872852234,0.04,-0.019999999999999997,0.03,0.03,0.675,1.2,5.3,8.0,3.3,3.3,8.0,3.3,78.97175805236897,-3.9490340268389446,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,2.02,0.2,1.96,86.22211017269633,0.2,1.911,False,,False,,False,ok,,False,False,False,False,False,OTT_Distance,MajorGrind,OTT_Distance + OTT_Accuracy; weak MajorGrind
9,Russell,Henley,"HENLEY, RUSSELL",5.0,PGA Tour,deep,high,2.06,1.61,0.78,0.39,0.45,20,74,1.0,0.05,-8.8,12.1,2.06,85.89108910891089,84.07304083185393,90.86914732939722,87.08272859216257,56.17128463476071,51.09666937449228,77.60180995475112,52.454780361757116,61.150353178607475,91.53225806451613,83.35644937586684,75.00000000000001,76.47058823529413,66.66666666666669,73.52941176470587,89.21513269339357,46.99312714776633,0.18,0.11,0.03,0.04,0.665,1.2,4.6,8.0,4.2,4.2,8.0,4.2,88.78472094367515,2.893631834764264,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,1.86,-0.2,1.92,85.71788730618934,-0.2,1.9689999999999999,False,,False,,False,ok,,False,False,False,False,False,OTT_Accuracy,MajorGrind,OTT_Accuracy + WindTolerance; weak MajorGrind
10,Si Woo,Kim,"KIM, SI WOO",18.0,PGA Tour,deep,high,1.5,1.76,0.77,0.37,-0.32,31,115,0.0,0.0,-3.7,10.2,1.5,78.96039603960396,87.26857722546285,92.14609364272964,89.25979680696662,55.91939546599496,54.10235580828594,70.58823529411765,52.19638242894057,59.93945509586277,90.7258064516129,82.52427184466019,70.0,53.8235294117647,43.33333333333337,47.9411764705882,89.44099378881987,27.405498281786944,0.15,0.09,0.03,0.03,0.665,1.2,4.8,8.0,4.0,4.0,8.0,4.0,83.16881696009058,4.208420920486617,high,0,0.0,0.0,0.0,0.0,0.0,0.0,low,1.97,0.47,1.829,84.57078028488591,0.47,1.7138499999999999,False,,False,,False,ok,,False,False,False,False,True,OTT_Accuracy,MajorGrind,OTT_Accuracy + WindTolerance; weak MajorGrind
