Golfer,Top10,Odds
Scottie Scheffler,Yes,-163
Robbie Higgins,Yes,1329
Rory McIlroy,Yes,127
Jon Rahm,Yes,150
Tommy Fleetwood,Yes,156
Ludvig Aberg,Yes,213
Cameron Young,Yes,223
Russell Henley,Yes,223
Sam Burns,Yes,257
Bryan Lee,Yes,257
Brandon Wu,Yes,257
Giuseppe Puebla,Yes,257
Greyson Leach,Yes,257
J.B. Holmes,Yes,257
Jackson Van Paris,Yes,257
Jake Peacock,Yes,257
Logan Reilly,Yes,257
Marcelo Rozo,Yes,257
Patrick Reed,Yes,270
Patrick Cantlay,Yes,285
Chris Gotterup,Yes,317
Justin Thomas,Yes,317
Tyrrell Hatton,Yes,317
Collin Morikawa,Yes,335
J.J. Spaun,Yes,355
Wyndham Clark,Yes,376
Brooks Koepka,Yes,376
Justin Rose,Yes,376
Shane Lowry,Yes,400
Viktor Hovland,Yes,456
Robert MacIntyre,Yes,456
Cameron Smith,Yes,456
Jordan Spieth,Yes,488
Ryan Gerard,Yes,488
Hideki Matsuyama,Yes,525
Kurt Kitayama,Yes,525
Keegan Bradley,Yes,525
Min Woo Lee,Yes,567
Ben Griffin,Yes,567
Aaron Rai,Yes,567
JT Poston,Yes,567
Gary Woodland,Yes,567
Adam Scott,Yes,614
Harris English,Yes,614
Maverick McNealy,Yes,614
Jackson Koivun,Yes,614
Keith Mitchell,Yes,614
Rickie Fowler,Yes,614
Kristoffer Reitan,Yes,669
Joaquin Niemann,Yes,733
Jacob Bridgeman,Yes,733
Jackson Suber,Yes,733
Jayden Schaper,Yes,733
Lucas Herbert,Yes,733
Matt McCarty,Yes,733
Max Greyserman,Yes,733
Sam Stevens,Yes,733
Arni Sveinsson,Yes,733
Alexander Noren,Yes,809
David Puig,Yes,809
Sepp Straka,Yes,809
Andrew Putnam,Yes,809
Michael Brennan,Yes,809
Ben Kohles,Yes,809
Davis Thompson,Yes,809
Nicolai Hojgaard,Yes,900
Alex Smalley,Yes,900
Harry Hall,Yes,900
Brian Harman,Yes,900
Ryan Fox,Yes,900
Chris Kirk,Yes,900
Johnny Keefer,Yes,900
Max McGreevy,Yes,900
William Mouw,Yes,900
Matthias Schmid,Yes,900
Hamilton Coleman,Yes,900
Benjamin James,Yes,900
Matthew Robles,Yes,900
Taeksoo Kim,Yes,900
Akshay Bhatia,Yes,1011
Jason Day,Yes,1011
Sahith Theegala,Yes,1011
Dustin Johnson,Yes,1011
Pierceson Coody,Yes,1011
Billy Horschel,Yes,1011
Carlos Ortiz,Yes,1011
Emiliano Grillo,Yes,1011
John Parry,Yes,1011
Nicolas Echavarria,Yes,1011
Patrick Rodgers,Yes,1011
Manav Shah,Yes,1011
Nathan Kimsey,Yes,1011
Chase Kyes,Yes,1011
Jackson Ormond,Yes,1011
Jake Sollon,Yes,1011
Ryuichi Oiwa,Yes,1011
Vaughn Harber,Yes,1011
Marek Fleming,Yes,1011
Andrew Novak,Yes,1150
Ryo Hisatsune,Yes,1150
Sudarshan Yellamaraju,Yes,1150
Sung-Jae Im,Yes,1150
Tom Kim,Yes,1150
Cooper Dossey,Yes,1150
Kevin Roy,Yes,1150
Laurie Canter,Yes,1150
Matthew Jordan,Yes,1150
Neal Shipley,Yes,1150
Ugo Coussaud,Yes,1150
Adrien Saddier,Yes,1150
Preston Stout,Yes,1150
Daniel Berger,Yes,1329
Corey Conners,Yes,1329
Michael Kim,Yes,1329
Cole Hammer,Yes,1329
James Nicholas,Yes,1329
Jimmy Stanger,Yes,1329
Miles Russell,Yes,1329
Niklas Norgaard Moller,Yes,1329
Taylor Montgomery,Yes,1329
Ethan Fang,Yes,1329
Filippo Celli,Yes,1329
Jackson Herrington,Yes,1329
Mason Howell,Yes,1329
Taihei Sato,Yes,1329
Caleb Surratt,Yes,1329
Kaito Onishi,Yes,1329
Rocco Paolo Repetto Taylor,Yes,1329
Yechun Yuan,Yes,1329
Brandon Holtz,Yes,1567
Mateo Pulcini,Yes,1567
Nick Hardy,Yes,1567
Ryder Cowan,Yes,1567
Adrien Dumont De Chassart,Yes,1900
Alejandro Tosti,Yes,2400
Benjamin Silverman,Yes,2400
Chandler Phillips,Yes,2400
Dylan Wu,Yes,2400
Harry Higgs,Yes,2400
Padraig Harrington,Yes,2400
Zac Blair,Yes,2400
Graeme McDowell,Yes,2400
Peter Uihlein,Yes,2400
Xander Schauffele,,
Matt Fitzpatrick,,
Si Woo Kim,,
Bryson DeChambeau,,
Alex Fitzpatrick,,
Bud Cauley,,
Jake Knapp,,
Nick Taylor,,
Angel Hidalgo,,
