Golfer,Top 5,Odds
Harry Higgs,Yes,-317
Ludvig Aberg,Yes,355
Cameron Young,Yes,376
Alejandro Tosti,Yes,376
Benjamin Silverman,Yes,376
Dylan Wu,Yes,376
Nick Hardy,Yes,376
Marcelo Rozo,Yes,376
Greyson Leach,Yes,376
Ryder Cowan,Yes,376
Miles Russell,Yes,400
Taylor Montgomery,Yes,400
Cole Hammer,Yes,400
Jackson Van Paris,Yes,400
James Nicholas,Yes,400
Yechun Yuan,Yes,400
Sam Burns,Yes,456
Bryson DeChambeau,Yes,525
Patrick Cantlay,Yes,525
Collin Morikawa,Yes,614
Hideki Matsuyama,Yes,669
Kurt Kitayama,Yes,1150
Maverick McNealy,Yes,669
Min Woo Lee,Yes,669
Justin Rose,Yes,733
Adam Scott,Yes,733
Harris English,Yes,733
Aaron Rai,Yes,733
Kristoffer Reitan,Yes,733
Viktor Hovland,Yes,809
Jacob Bridgeman,Yes,809
Nicolai Hojgaard,Yes,809
Alexander Noren,Yes,809
Keegan Bradley,Yes,809
Sepp Straka,Yes,809
David Puig,Yes,809
Brandon Wu,Yes,809
Niklas Norgaard Moller,Yes,809
Rocco Paolo Repetto Taylor,Yes,809
Jordan Spieth,Yes,900
Alex Smalley,Yes,900
Keith Mitchell,Yes,900
Harry Hall,Yes,900
Jackson Koivun,Yes,900
Rickie Fowler,Yes,900
Ryan Fox,Yes,900
Jake Knapp,Yes,900
Hamilton Coleman,Yes,900
Sahith Theegala,Yes,1011
Andrew Novak,Yes,1011
Corey Conners,Yes,1011
Sung-Jae Im,Yes,1011
Akshay Bhatia,Yes,1011
Sudarshan Yellamaraju,Yes,1011
Bryan Lee,Yes,1011
Giuseppe Puebla,Yes,1011
J.B. Holmes,Yes,1011
Jackson Ormond,Yes,1011
Logan Reilly,Yes,1011
Robbie Higgins,Yes,1011
Vaughn Harber,Yes,1011
Chase Kyes,Yes,1011
Jake Sollon,Yes,1011
Marek Fleming,Yes,1011
Davis Thompson,Yes,1150
Jackson Suber,Yes,1150
Lucas Herbert,Yes,1150
Max Greyserman,Yes,1150
Michael Kim,Yes,1150
Nick Taylor,Yes,1150
Ryo Hisatsune,Yes,1150
Sam Stevens,Yes,1150
Ethan Fang,Yes,1150
Filippo Celli,Yes,1150
Graeme McDowell,Yes,1150
Peter Uihlein,Yes,1150
Padraig Harrington,Yes,1150
Angel Hidalgo,Yes,1150
Arni Sveinsson,Yes,1150
Kaito Onishi,Yes,1150
Matthew Robles,Yes,1150
Ryuichi Oiwa,Yes,1150
Taihei Sato,Yes,1150
Jayden Schaper,Yes,1150
Matt McCarty,Yes,1150
Bud Cauley,Yes,1329
Gary Woodland,Yes,1329
Adrien Dumont De Chassart,Yes,1329
Carlos Ortiz,Yes,1329
Cooper Dossey,Yes,1329
Matthew Jordan,Yes,1329
Matthias Schmid,Yes,1329
Michael Brennan,Yes,1329
Nathan Kimsey,Yes,1329
Nicolas Echavarria,Yes,1329
Brandon Holtz,Yes,1329
Jackson Herrington,Yes,1329
Manav Shah,Yes,1329
Mason Howell,Yes,1329
Mateo Pulcini,Yes,1329
Preston Stout,Yes,1329
Benjamin James,Yes,1329
Johnny Keefer,Yes,1329
Patrick Rodgers,Yes,1329
Taeksoo Kim,Yes,1329
Max McGreevy,Yes,1567
Adrien Saddier,Yes,1567
Chandler Phillips,Yes,1567
Jimmy Stanger,Yes,1567
Kevin Roy,Yes,1567
Neal Shipley,Yes,1567
Ugo Coussaud,Yes,1567
Zac Blair,Yes,1567
Caleb Surratt,Yes,1567
Laurie Canter,Yes,1567
Dustin Johnson,Yes,1900
Andrew Putnam,Yes,1900
Tom Kim,Yes,1900
Billy Horschel,Yes,2400
Chris Kirk,Yes,2400
Daniel Berger,Yes,2400
Emiliano Grillo,Yes,2400
John Parry,Yes,2400
Pierceson Coody,Yes,2400
William Mouw,Yes,2400
Scottie Scheffler,,
Rory McIlroy,,
Jon Rahm,,
Tommy Fleetwood,,
Xander Schauffele,,
Matt Fitzpatrick,,
Si Woo Kim,,
Russell Henley,,
J.J. Spaun,,
Justin Thomas,,
Chris Gotterup,,
Patrick Reed,,
Tyrrell Hatton,,
Wyndham Clark,,
Robert MacIntyre,,
Shane Lowry,,
Brooks Koepka,,
Ben Griffin,Yes,1150
Joaquin Niemann,,
Ryan Gerard,,
Alex Fitzpatrick,,
Cameron Smith,,
Jason Day,,
JT Poston,,
Brian Harman,,
Ben Kohles,,
Jake Peacock,,
