Golfer,Winner,Odds
Scottie Scheffler,Yes,614
Rory McIlroy,Yes,1150
Jon Rahm,Yes,1329
Tommy Fleetwood,Yes,1567
Xander Schauffele,Yes,1567
Matt Fitzpatrick,Yes,1567
Cameron Young,Yes,1900
Ludvig Aberg,Yes,1900
Russell Henley,Yes,2400
Si Woo Kim,Yes,2400
Chris Gotterup,Yes,2400
Sam Burns,Yes,2400
Brooks Koepka,Yes,3233
Bryson DeChambeau,Yes,3233
Collin Morikawa,Yes,3233
J.J. Spaun,Yes,3233
Justin Thomas,Yes,3233
Patrick Cantlay,Yes,3233
Patrick Reed,Yes,3233
Tyrrell Hatton,Yes,3233
Viktor Hovland,Yes,3233
Wyndham Clark,Yes,3233
Aaron Rai,Yes,4900
Akshay Bhatia,Yes,4900
Ben Kohles,Yes,4900
Brian Harman,Yes,4900
Cameron Smith,Yes,4900
Daniel Berger,Yes,4900
Harry Hall,Yes,4900
Hideki Matsuyama,Yes,4900
Alex Fitzpatrick,Yes,9900
Jason Day,Yes,4900
Jordan Spieth,Yes,4900
Justin Rose,Yes,4900
Kurt Kitayama,Yes,4900
Min Woo Lee,Yes,4900
Rickie Fowler,Yes,4900
Robert MacIntyre,Yes,4900
Sahith Theegala,Yes,4900
Sepp Straka,Yes,4900
Shane Lowry,Yes,4900
Adam Scott,Yes,9900
Adrien Dumont De Chassart,Yes,9900
Adrien Saddier,Yes,9900
Alejandro Tosti,Yes,9900
Alex Smalley,Yes,9900
Alexander Noren,Yes,9900
Andrew Novak,Yes,9900
Andrew Putnam,Yes,9900
Angel Hidalgo,Yes,9900
Arni Sveinsson,Yes,9900
Ben Griffin,Yes,9900
Benjamin James,Yes,9900
Benjamin Silverman,Yes,9900
Billy Horschel,Yes,9900
Brandon Holtz,Yes,9900
Brandon Wu,Yes,9900
Bryan Lee,Yes,9900
Bud Cauley,Yes,9900
Caleb Surratt,Yes,9900
Carlos Ortiz,Yes,9900
Chandler Phillips,Yes,9900
Chase Kyes,Yes,9900
Chris Kirk,Yes,9900
Cole Hammer,Yes,9900
Cooper Dossey,Yes,9900
Corey Conners,Yes,9900
David Puig,Yes,9900
Davis Thompson,Yes,9900
Dustin Johnson,Yes,9900
Dylan Wu,Yes,9900
Emiliano Grillo,Yes,9900
Eric Lee,Yes,9900
Ethan Fang,Yes,9900
Filippo Celli,Yes,9900
Gary Woodland,Yes,9900
Giuseppe Puebla,Yes,9900
Graeme McDowell,Yes,9900
Greyson Leach,Yes,9900
Hamilton Coleman,Yes,9900
Harris English,Yes,9900
Harry Higgs,Yes,9900
Hendrik Du Plessis,Yes,9900
J.B. Holmes,Yes,9900
Jack Schoenberger,Yes,9900
Jackson Herrington,Yes,9900
Jackson Koivun,Yes,9900
Jackson Ormond,Yes,9900
Jackson Suber,Yes,9900
Jackson Van Paris,Yes,9900
Jacob Bridgeman,Yes,9900
Jake Knapp,Yes,9900
Jake Peacock,Yes,9900
Jake Sollon,Yes,9900
James Nicholas,Yes,9900
Jayden Schaper,Yes,9900
Jimmy Stanger,Yes,9900
Joaquin Niemann,Yes,9900
John Parry,Yes,9900
Johnny Keefer,Yes,9900
JT Poston,Yes,9900
Kaito Onishi,Yes,9900
Keegan Bradley,Yes,9900
Keith Mitchell,Yes,9900
Kevin Roy,Yes,9900
Kristoffer Reitan,Yes,9900
Laurie Canter,Yes,9900
Logan Reilly,Yes,9900
Lucas Herbert,Yes,9900
Manav Shah,Yes,9900
Marcelo Rozo,Yes,9900
Marek Fleming,Yes,9900
Mason Howell,Yes,9900
Mateo Pulcini,Yes,9900
Matt McCarty,Yes,9900
Matthew Jordan,Yes,9900
Matthew Robles,Yes,9900
Matthias Schmid,Yes,9900
Maverick McNealy,Yes,9900
Max Greyserman,Yes,9900
Max McGreevy,Yes,9900
Michael Brennan,Yes,9900
Michael Kim,Yes,9900
Miles Russell,Yes,9900
Nathan Kimsey,Yes,9900
Neal Shipley,Yes,9900
Nick Hardy,Yes,9900
Nick Taylor,Yes,9900
Nicolai Hojgaard,Yes,9900
Nicolas Echavarria,Yes,9900
Niklas Norgaard Moller,Yes,9900
Patrick Rodgers,Yes,9900
Peter Uihlein,Yes,9900
Pierceson Coody,Yes,9900
Preston Stout,Yes,9900
Padraig Harrington,Yes,9900
Robbie Higgins,Yes,9900
Rocco Paolo Repetto Taylor,Yes,9900
Ryan Fox,Yes,9900
Ryan Gerard,Yes,9900
Ryder Cowan,Yes,9900
Ryo Hisatsune,Yes,9900
Ryuichi Oiwa,Yes,9900
Sam Stevens,Yes,9900
Spencer Tibbits,Yes,9900
Sudarshan Yellamaraju,Yes,9900
Sung-Jae Im,Yes,9900
Taihei Sato,Yes,9900
Taylor Montgomery,Yes,9900
Tom Kim,Yes,9900
Ugo Coussaud,Yes,9900
Vaughn Harber,Yes,9900
William Mouw,Yes,9900
Yechun Yuan,Yes,9900
Zac Blair,Yes,9900
T.K. Kim,,
Taeksoo Kim,,
