First Name,Last Name,Rd1 Tee Time,World Rank
Scottie,Scheffler,8:14 AM,1
Rory,McIlroy,7:52 AM*,2
Jon,Rahm,2:09 PM*,8
Cameron,Young,7:30 AM,3
Matt,Fitzpatrick,1:25 PM*,4
Tommy,Fleetwood,7:52 AM*,6
Xander,Schauffele,1:47 PM,12
Ludvig,Aberg,7:52 AM*,13
Russell,Henley,1:36 PM,5
Si Woo,Kim,7:41 AM*,18
Patrick,Cantlay,2:09 PM,36
Sam,Burns,7:41 AM*,30
J.J.,Spaun,8:14 AM,9
Maverick,McNealy,8:03 AM*,37
Collin,Morikawa,1:14 PM*,10
Chris,Gotterup,7:30 AM,11
Harris,English,8:03 AM,22
Wyndham,Clark,1:36 PM*,34
Bryson,DeChambeau,1:25 PM*,32
Adam,Scott,8:03 AM,49
Justin,Thomas,1:47 PM,16
Jake,Knapp,12:52 PM,43
Viktor,Hovland,1:25 PM*,28
Ben,Griffin,1:36 PM,15
Kurt,Kitayama,7:52 AM,31
Shane,Lowry,1:47 PM*,44
Ryan,Gerard,1:36 PM,23
Alex,Noren,8:03 AM*,20
Robert,MacIntyre,1:58 PM,17
Min Woo,Lee,1:58 PM*,35
Justin,Rose,2:09 PM*,7
Patrick,Reed,7:52 AM,27
Hideki,Matsuyama,1:47 PM,24
Alex,Fitzpatrick,8:25 AM*,69
Alex,Smalley,1:47 PM*,42
Kristoffer,Reitan,7:30 AM*,26
Tyrrell,Hatton,7:41 AM*,21
Bud,Cauley,12:52 PM*,40
Keegan,Bradley,7:41 AM,39
Jordan,Spieth,2:09 PM*,51
Nicolai,Hojgaard,1:58 PM,33
David,Puig,1:14 PM,57
Aaron,Rai,1:14 PM*,14
Akshay,Bhatia,1:58 PM*,29
Jacob,Bridgeman,8:14 AM*,25
J.T.,Poston,2:09 PM,38
Jackson,Koivun,8:25 AM,260
Gary,Woodland,1:36 PM*,45
Harry,Hall,1:03 PM,66
Rickie,Fowler,7:41 AM,41
Sepp,Straka,8:03 AM*,19
Ryan,Fox,1:25 PM,55
Joaquin,Niemann,1:47 PM*,80
Keith,Mitchell,7:19 AM*,100
