Golfer,Top20,Odds
Scottie Scheffler,Yes,-270
Rory McIlroy,Yes,-144
Jon Rahm,Yes,-127
Tommy Fleetwood,Yes,-127
Matt Fitzpatrick,Yes,-122
Cameron Young,Yes,113
Russell Henley,Yes,122
Ludvig Aberg,Yes,127
Sam Burns,Yes,127
Si Woo Kim,Yes,138
Patrick Reed,Yes,163
Patrick Cantlay,Yes,170
Collin Morikawa,Yes,178
Chris Gotterup,Yes,178
Bryson DeChambeau,Yes,194
Justin Thomas,Yes,194
J.J. Spaun,Yes,194
Wyndham Clark,Yes,194
Viktor Hovland,Yes,203
Tyrrell Hatton,Yes,203
Brooks Koepka,Yes,213
Robert MacIntyre,Yes,223
Justin Rose,Yes,233
Hideki Matsuyama,Yes,257
Ben Griffin,Yes,257
Kurt Kitayama,Yes,257
Harris English,Yes,257
Jordan Spieth,Yes,257
Bryan Lee,Yes,257
Jackson Ormond,Yes,257
Maverick McNealy,Yes,270
Min Woo Lee,Yes,270
Adam Scott,Yes,270
Shane Lowry,Yes,270
Aaron Rai,Yes,270
Alex Fitzpatrick,Yes,285
Joaquin Niemann,Yes,285
Kristoffer Reitan,Yes,300
Alexander Noren,Yes,300
Bud Cauley,Yes,335
Jacob Bridgeman,Yes,335
Ryan Gerard,Yes,335
Jackson Koivun,Yes,335
Keegan Bradley,Yes,355
Cameron Smith,Yes,355
David Puig,Yes,376
Nicolai Hojgaard,Yes,376
Sepp Straka,Yes,376
Harry Hall,Yes,376
Jake Knapp,Yes,376
Gary Woodland,Yes,376
Daniel Berger,Yes,376
Alex Smalley,Yes,400
JT Poston,Yes,400
Keith Mitchell,Yes,400
Ryan Fox,Yes,400
Rickie Fowler,Yes,426
Jason Day,Yes,456
Sahith Theegala,Yes,456
Brian Harman,Yes,488
Sung-Jae Im,Yes,488
Akshay Bhatia,Yes,525
Dustin Johnson,Yes,525
Nick Taylor,Yes,525
Tom Kim,Yes,525
Andrew Novak,Yes,567
Ryo Hisatsune,Yes,567
Corey Conners,Yes,567
Max Greyserman,Yes,567
Michael Kim,Yes,567
Johnny Keefer,Yes,567
Andrew Putnam,Yes,614
Jayden Schaper,Yes,614
Lucas Herbert,Yes,614
Matt McCarty,Yes,614
Sam Stevens,Yes,614
Jackson Suber,Yes,614
Sudarshan Yellamaraju,Yes,614
John Parry,Yes,614
Davis Thompson,Yes,669
Max McGreevy,Yes,733
Pierceson Coody,Yes,733
Chris Kirk,Yes,809
Michael Brennan,Yes,809
William Mouw,Yes,809
Adrien Saddier,Yes,809
Kevin Roy,Yes,809
Laurie Canter,Yes,809
Preston Stout,Yes,809
Zac Blair,Yes,809
Jimmy Stanger,Yes,809
Emiliano Grillo,Yes,900
Matthias Schmid,Yes,900
Benjamin James,Yes,900
Caleb Surratt,Yes,900
Dylan Wu,Yes,900
Billy Horschel,Yes,1011
Carlos Ortiz,Yes,1011
Ben Kohles,Yes,1011
Nathan Kimsey,Yes,1011
Patrick Rodgers,Yes,1011
Alejandro Tosti,Yes,1011
Benjamin Silverman,Yes,1011
James Nicholas,Yes,1011
Niklas Norgaard Moller,Yes,1011
Harry Higgs,Yes,1011
Jackson Herrington,Yes,1011
Yechun Yuan,Yes,1011
Adrien Dumont De Chassart,Yes,1150
Nicolas Echavarria,Yes,1150
Cooper Dossey,Yes,1150
Matthew Jordan,Yes,1150
Graeme McDowell,Yes,1150
Mason Howell,Yes,1150
Peter Uihlein,Yes,1150
Taihei Sato,Yes,1150
Taylor Montgomery,Yes,1150
Taeksoo Kim,Yes,1150
Ugo Coussaud,Yes,1329
Angel Hidalgo,Yes,1329
Brandon Wu,Yes,1329
Ethan Fang,Yes,1329
Filippo Celli,Yes,1329
Jackson Van Paris,Yes,1329
Marcelo Rozo,Yes,1329
Rocco Paolo Repetto Taylor,Yes,1329
Nick Hardy,Yes,1567
Kaito Onishi,Yes,1567
Ryuichi Oiwa,Yes,1567
Giuseppe Puebla,Yes,1567
Xander Schauffele,,
Neal Shipley,,
Chandler Phillips,,
Cole Hammer,,
Miles Russell,,
Padraig Harrington,,
