time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,good shot (over +0.5 sg) rate,"Duncan, Tyler",15,0.267,68,0.132,61,0.098,44,0,14,0.143,null,null
l12_months,good shot (over +0.5 sg) rate,"Bramlett, Joseph",15,0.133,53,0.132,73,0.055,null,null,29,0,null,null
l12_months,good shot (over +0.5 sg) rate,"Merritt, Troy",38,0.026,104,0.125,148,0.041,73,0.096,66,0.076,39,0.026
l12_months,good shot (over +0.5 sg) rate,"Henley, Russell",89,0.124,287,0.115,459,0.065,210,0.057,87,0.092,89,0.034
l12_months,good shot (over +0.5 sg) rate,"Meronk, Adrian",52,0.019,177,0.113,239,0.033,112,0.054,102,0.059,92,0.022
l12_months,good shot (over +0.5 sg) rate,"Burns, Sam",133,0.105,346,0.113,450,0.051,223,0.067,139,0.072,138,0.051
l12_months,good shot (over +0.5 sg) rate,"Rai, Aaron",62,0.097,267,0.112,405,0.069,202,0.05,57,0.07,73,0.027
l12_months,good shot (over +0.5 sg) rate,"Fitzpatrick, Alex",40,0.1,98,0.112,172,0.052,92,0.033,42,0.048,40,0.075
l12_months,good shot (over +0.5 sg) rate,"Highsmith, Joe",58,0.121,286,0.112,348,0.063,147,0.061,127,0.047,137,0.036
l12_months,good shot (over +0.5 sg) rate,"Piercy, Scott",14,0,45,0.111,55,0.036,29,0.103,20,0.2,null,null
l12_months,good shot (over +0.5 sg) rate,"Capan III, Frankie",20,0.1,72,0.111,93,0.032,33,0.03,57,0.053,53,0.057
l12_months,good shot (over +0.5 sg) rate,"Reed, Patrick",40,0.125,100,0.11,126,0.071,57,0.07,38,0.079,49,0.041
