player_name,events_played,rounds_played,rounds_played_w_shotlink,win,top_5,top_10,top_25,putt_mean,putt_rank,putt_perc_05,putt_perc_25,putt_median,putt_perc_75,putt_perc_95,putt_std_dev,arg_mean,arg_rank,arg_perc_05,arg_perc_25,arg_median,arg_perc_75,arg_perc_95,arg_std_dev,app_mean,app_rank,app_perc_05,app_perc_25,app_median,app_perc_75,app_perc_95,app_std_dev,ott_mean,ott_rank,ott_perc_05,ott_perc_25,ott_median,ott_perc_75,ott_perc_95,ott_std_dev,bs_mean,bs_rank,bs_perc_05,bs_perc_25,bs_median,bs_perc_75,bs_perc_95,bs_std_dev,t2g_mean,t2g_rank,t2g_perc_05,t2g_perc_25,t2g_median,t2g_perc_75,t2g_perc_95,t2g_std_dev,total_mean,total_rank,total_perc_05,total_perc_25,total_median,total_perc_75,total_perc_95,total_std_dev,total_no_am_mean,total_no_am_rank,total_no_am_perc_05,total_no_am_perc_25,total_no_am_median,total_no_am_perc_75,total_no_am_perc_95,total_no_am_std_dev,dist_mean,dist_rank,dist_perc_05,dist_perc_25,dist_median,dist_perc_75,dist_perc_95,dist_std_dev,acc_mean,acc_rank,acc_perc_05,acc_perc_25,acc_median,acc_perc_75,acc_perc_95,acc_std_dev
"Lee, Min Woo",1,4,4,0,1,1,1,1.228,5,0.636,1.004,1.181,1.405,1.887,0.600,0.345,25,-0.832,-0.247,0.154,0.746,1.792,1.264,0.958,18,-1.022,0.793,1.572,1.737,2.080,1.647,1.136,4,0.571,0.930,1.175,1.382,1.647,0.511,2.094,5,0.506,1.582,2.448,2.960,3.187,1.338,2.440,4,1.947,2.189,2.315,2.566,3.106,0.572,3.668,1,3.462,3.521,3.665,3.812,3.877,0.207,3.668,1,3.462,3.521,3.665,3.812,3.877,0.207,7.092,32,-6.094,3.605,10.001,13.488,16.204,11.069,0.050,27,0.004,0.009,0.044,0.085,0.105,0.052
"Gotterup, Chris",2,8,8,1,1,1,2,1.180,6,-0.667,0.254,0.869,1.775,3.749,1.678,0.402,21,-0.979,0.117,0.686,1.060,1.124,0.862,0.507,34,-0.676,-0.358,0.512,1.250,1.779,0.991,1.138,3,0.150,0.475,1.089,1.540,2.437,0.919,1.645,9,0.117,0.612,1.658,2.419,3.376,1.280,2.047,9,-0.325,1.230,2.428,2.862,3.922,1.625,3.227,2,-0.005,1.652,2.720,4.539,7.403,2.880,3.227,2,-0.005,1.652,2.720,4.539,7.403,2.880,7.876,30,-7.350,4.518,9.764,13.859,18.167,10.286,-0.039,86,-0.166,-0.088,-0.071,0.012,0.125,0.110
"Keefer, Johnny",1,4,4,0,1,1,1,0.856,17,-0.354,0.337,1.025,1.544,1.830,1.062,0.294,29,-0.951,-0.237,0.175,0.707,1.707,1.271,1.367,6,1.004,1.152,1.266,1.480,1.871,0.428,0.651,23,-0.215,0.303,0.682,1.030,1.471,0.798,2.017,6,0.963,1.332,1.824,2.510,3.342,1.150,2.312,5,1.218,1.449,1.983,2.845,3.865,1.316,3.168,3,1.801,1.867,2.670,3.972,5.231,1.758,3.168,3,1.801,1.867,2.670,3.972,5.231,1.758,5.967,38,-12.296,-9.012,3.001,17.980,28.381,20.282,0.069,18,-0.051,0.008,0.056,0.117,0.208,0.124
"McIlroy, Rory",3,12,12,0,2,3,3,1.175,7,-0.489,0.879,1.718,2.383,2.760,1.373,0.433,13,-0.405,0.199,0.666,0.911,1.577,0.696,0.424,40,-1.967,-0.432,0.615,1.102,2.421,1.457,1.035,5,-0.655,0.252,0.704,1.284,2.450,1.064,1.459,13,-2.121,0.055,1.566,2.915,3.485,1.957,1.891,11,-1.622,0.987,1.742,3.901,4.000,2.047,3.066,4,-1.208,1.757,3.121,4.924,6.529,2.834,3.066,4,-1.208,1.757,3.121,4.924,6.529,2.834,21.969,3,13.241,17.918,23.522,24.388,31.882,5.778,0.024,44,-0.132,-0.007,0.005,0.082,0.152,0.087
"Rose, Justin",1,4,4,0,0,1,1,0.568,30,-0.916,0.320,0.986,1.233,1.465,1.228,0.124,43,-0.773,-0.385,0.077,0.586,1.088,0.887,1.620,3,-0.497,0.401,1.577,2.796,3.797,2.055,0.725,13,0.121,0.511,0.847,1.061,1.159,0.514,2.345,2,0.547,1.544,2.181,2.982,4.373,1.824,2.469,3,0.738,0.986,1.634,3.117,5.370,2.395,3.037,5,0.156,1.325,2.413,4.124,6.790,3.220,3.037,5,0.156,1.325,2.413,4.124,6.790,3.220,0.760,57,-13.084,-11.147,1.270,13.177,13.889,14.747,0.083,12,-0.029,-0.002,0.081,0.166,0.198,0.115
"Kim, Tom",2,8,8,1,1,1,2,0.372,39,-0.881,-0.373,-0.116,0.913,2.368,1.296,0.271,31,-0.186,0.089,0.162,0.442,0.879,0.408,1.948,2,-0.093,0.639,2.309,3.086,3.703,1.539,0.386,43,-0.502,0.052,0.147,0.614,1.634,0.810,2.334,3,0.051,0.335,2.562,3.944,4.701,1.978,2.605,1,0.040,1.209,2.920,4.066,4.758,1.904,2.977,6,-0.419,1.112,3.825,4.234,5.903,2.469,2.977,6,-0.419,1.112,3.825,4.234,5.903,2.469,-6.012,88,-16.495,-11.408,-4.831,-1.185,3.677,7.759,0.076,15,-0.043,0.002,0.025,0.154,0.252,0.119
"Thorbjornsen, Michael",1,4,4,0,0,1,1,0.317,40,-0.307,-0.231,0.023,0.571,1.351,0.856,1.378,1,-0.067,0.423,1.075,2.029,3.247,1.609,0.507,35,-0.946,-0.033,0.478,1.017,1.999,1.400,0.717,14,0.018,0.165,0.585,1.137,1.601,0.782,1.224,19,0.547,0.566,0.581,1.239,2.799,1.310,2.601,2,1.338,1.883,2.555,3.273,3.929,1.236,2.918,7,1.498,1.700,2.839,4.057,4.448,1.533,2.918,7,1.498,1.700,2.839,4.057,4.448,1.533,9.217,20,1.923,8.080,11.314,12.451,13.576,6.035,0.069,19,-0.062,-0.010,0.083,0.162,0.182,0.123
"Hojgaard, Nicolai",3,12,12,0,2,2,2,0.217,50,-2.321,-0.585,0.020,1.122,3.227,1.762,0.263,32,-0.995,-0.025,0.426,0.822,1.136,0.696,1.162,11,-0.949,-0.385,0.840,1.452,3.770,1.552,0.841,9,-0.282,-0.193,0.611,1.770,2.353,0.932,2.003,7,-0.703,0.238,2.058,3.053,4.219,1.610,2.266,6,0.331,0.638,1.541,3.232,4.691,1.558,2.483,8,0.041,1.425,2.164,3.668,5.113,1.878,2.483,8,0.041,1.425,2.164,3.668,5.113,1.878,22.853,1,13.464,17.949,20.620,26.020,35.744,6.766,-0.001,66,-0.177,-0.147,-0.034,0.098,0.211,0.125
"Fitzpatrick, Matt",4,14,12,0,2,2,3,1.108,10,0.020,0.313,1.383,2.190,3.488,1.417,0.274,30,-0.838,-0.591,0.074,0.898,1.825,0.952,0.819,22,-0.640,-0.509,0.941,2.152,4.347,1.758,0.032,69,-0.570,0.098,0.235,0.692,0.704,0.550,0.851,31,-0.828,0.135,1.154,2.156,4.760,1.965,1.125,25,-0.184,1.010,1.426,2.392,4.162,1.655,2.239,9,-0.439,1.010,2.051,3.316,5.495,2.010,2.239,9,-0.439,1.010,2.051,3.316,5.495,2.010,0.819,56,-11.031,-1.623,3.214,5.431,17.765,8.986,-0.006,68,-0.082,-0.038,-0.000,0.029,0.132,0.068
"Hovland, Viktor",2,8,8,0,0,0,2,0.009,60,-1.763,-1.399,-0.287,1.073,2.449,1.688,0.067,53,-2.912,-0.729,0.388,1.423,2.140,1.959,1.438,4,-0.672,-0.515,2.048,2.662,3.410,1.763,0.713,16,0.042,0.492,0.846,1.059,1.128,0.446,2.152,4,0.018,0.410,2.623,3.564,3.994,1.725,2.218,7,-0.520,1.754,2.382,3.695,3.803,1.794,2.227,10,-1.497,0.355,2.675,3.902,5.595,2.767,2.227,10,-1.497,0.355,2.675,3.902,5.595,2.767,9.851,17,0.648,4.470,8.962,13.449,22.053,8.356,0.076,16,-0.102,0.052,0.098,0.126,0.205,0.115
