Course,Country,Notes
St. Andrews Links (Old Course),Scotland,The original links
Carnoustie GC,Scotland,"True links, brutal"
Muirfield,Scotland,East Lothian links
Royal Troon,Scotland,Ayrshire coast
Turnberry (Ailsa),Scotland,Ayrshire cliff-top links
Royal Portrush GC,N. Ireland,Causeway Coast links
Royal County Down GC,N. Ireland,"Dunes links, world-class"
Castlerock GC,N. Ireland,Bann Estuary links
Portstewart GC,N. Ireland,Strand Course links
Ballyliffin GC,Ireland,Donegal links
Lahinch GC,Ireland,Clare coast links
Royal Birkdale GC,England,Lancashire links
Royal Liverpool,England,Hoylake links
Royal Lytham & St. Anne's,England,Lancashire links
Royal St. George's GC,England,Kent coast links
Hillside Golf Club,England,Lancashire links
Gullane GC,Scotland,East Lothian links
Royal Aberdeen,Scotland,Aberdeenshire links
Kingsbarns Golf Links,Scotland,Fife coast links
Castle Stuart Golf Links,Scotland,Highland links
The Renaissance Club,Scotland,East Lothian links
Trump International Golf Links,Scotland,Aberdeenshire links
Dundonald Links,Scotland,Ayrshire links
Kennemer G&CC,Netherlands,Coastal dunes links
Aa Saint-Omer GC,France,Links-style (partial)
Yas Links,UAE,Links-style coastal design
St. Francis Links,South Africa,Links-style coastal
