player_name,dg_id,tour_l20,field_this_week,l5_starts,true_sg_l20,vs_baseline_l20
"Clark, Wyndham",23604,pga,pga,pga-the memorial tournament presented by workday-3_pga-rbc canadian open-T11_major-u.s. open-1_pga-travelers championship-T5_pga-genesis scottish open-T13,3.03,1.69
"Scheffler, Scottie",18417,pga,pga,pga-the cj cup byron nelson-3_pga-the memorial tournament presented by workday-T12_major-u.s. open-T4_pga-travelers championship-2_pga-genesis scottish open-CUT,2.58,-0.53
"Burns, Sam",19483,pga,pga,major-pga championship-T26_pga-the memorial tournament presented by workday-T4_pga-rbc canadian open-T20_major-u.s. open-2_pga-travelers championship-T12,2.57,0.95
"Fleetwood, Tommy",12294,pga,pga,pga-the memorial tournament presented by workday-T4_pga-rbc canadian open-T11_major-u.s. open-T11_pga-travelers championship-T14_pga-genesis scottish open-T13,2.48,0.47
"Fitzpatrick, Matt",17646,pga,pga,pga-the memorial tournament presented by workday-T36_pga-rbc canadian open-2_major-u.s. open-22_pga-travelers championship-4_pga-genesis scottish open-T3,2.33,0.24
"McIlroy, Rory",10091,pga,pga,pga-truist championship-T19_major-pga championship-T7_pga-the memorial tournament presented by workday-T12_major-u.s. open-T32_pga-genesis scottish open-T7,2.16,-0.05
"Kim, Si Woo",14609,pga,pga,pga-the cj cup byron nelson-2_pga-the memorial tournament presented by workday-T10_major-u.s. open-CUT_pga-travelers championship-T44_pga-genesis scottish open-T9,1.93,0.35
"Griffin, Ben",24968,pga,pga,pga-charles schwab challenge-T3_pga-the memorial tournament presented by workday-CUT_major-u.s. open-T17_pga-travelers championship-T10_pga-john deere classic-T21,1.85,0.43
"Kim, Tom",24766,pga,pga,pga-charles schwab challenge-T54_pga-rbc canadian open-T15_major-u.s. open-3_pga-john deere classic-T46_pga-genesis scottish open-1,1.84,1.3
"Hovland, Viktor",18841,pga,pga,major-pga championship-CUT_pga-rbc canadian open-3_major-u.s. open-CUT_pga-travelers championship-1_pga-genesis scottish open-T13,1.83,0.39
"Gotterup, Chris",27774,pga,pga,pga-the memorial tournament presented by workday-T27_major-u.s. open-T43_pga-travelers championship-T30_pga-john deere classic-1_pga-genesis scottish open-T11,1.79,0.23
"Rai, Aaron",18554,pga,pga,pga-the memorial tournament presented by workday-T19_pga-rbc canadian open-CUT_major-u.s. open-T11_pga-travelers championship-T30_pga-genesis scottish open-CUT,1.77,0.86
"Thomas, Justin",14139,pga,pga,pga-charles schwab challenge-T13_pga-the memorial tournament presented by workday-T19_major-u.s. open-T17_pga-travelers championship-T14_pga-genesis scottish open-T50,1.71,0.63
"Hatton, Tyrrell",14796,pga,pga,liv-virginia-17_major-pga championship-CUT_liv-andalucia-1_major-u.s. open-T7_pga-genesis scottish open-T17,1.69,0.81
"Niemann, Joaquin",18079,euro,pga,liv-korea-1_liv-andalucia-T24_major-u.s. open-T7_euro-ds automobiles 83° open d’italia-3_euro-bmw international open-T7,1.68,0.96
"Rahm, Jon",19195,pga,pga,major-pga championship-T2_liv-korea-T16_liv-andalucia-2_major-u.s. open-CUT_pga-genesis scottish open-T36,1.6,-0.49
"Gerard, Ryan",29767,pga,pga,pga-charles schwab challenge-T10_pga-the memorial tournament presented by workday-2_major-u.s. open-CUT_pga-travelers championship-T44_pga-genesis scottish open-T26,1.6,0.67
"Cantlay, Patrick",15466,pga,pga,major-pga championship-T35_pga-the memorial tournament presented by workday-T17_major-u.s. open-CUT_pga-travelers championship-T14_pga-genesis scottish open-CUT,1.6,0.07
"Fitzpatrick, Alex",25362,pga,pga,pga-the memorial tournament presented by workday-T6_pga-rbc canadian open-T20_major-u.s. open-T23_pga-travelers championship-T7_pga-genesis scottish open-CUT,1.57,1
"MacIntyre, Robert",23323,pga,pga,pga-the memorial tournament presented by workday-CUT_pga-rbc canadian open-T15_major-u.s. open-T39_pga-travelers championship-T10_pga-genesis scottish open-T3,1.53,0.06
"Rose, Justin",6093,pga,pga,major-pga championship-T10_pga-the memorial tournament presented by workday-T12_pga-rbc canadian open-CUT_major-u.s. open-T11_pga-travelers championship-T25,1.52,-0.02
"Chacarra, Eugenio",26745,euro,pga,euro-austrian alpine open presented by kitzbühel tirol-T12_euro-klm open-1_euro-ds automobiles 83° open d’italia-1_euro-bmw international open-CUT_pga-genesis scottish open-T52,1.51,1.3
"Spaun, J.J.",17536,pga,pga,pga-charles schwab challenge-T6_pga-the memorial tournament presented by workday-T12_major-u.s. open-CUT_pga-travelers championship-T7_pga-genesis scottish open-T44,1.49,0.08
"Morikawa, Collin",22085,pga,pga,pga-cadillac championship-T62_major-pga championship-T55_pga-rbc canadian open-T29_major-u.s. open-T17_pga-travelers championship-3,1.38,-0.04
"Kitayama, Kurt",21891,pga,pga,major-pga championship-T10_pga-the memorial tournament presented by workday-T22_major-u.s. open-T53_pga-travelers championship-T25_pga-genesis scottish open-T44,1.37,0.15
"Bradley, Keegan",13872,pga,pga,pga-charles schwab challenge-T35_pga-the memorial tournament presented by workday-T19_major-u.s. open-T32_pga-travelers championship-T14_pga-john deere classic-T26,1.37,0.43
"Vincent, Scott",14559,liv,pga,liv-mexico city-4_liv-virginia-T8_liv-korea-5_liv-andalucia-15_asa-international series morocco presented by visit morocco-T10,1.33,1.14
"McNealy, Maverick",18634,pga,pga,pga-truist championship-T37_major-pga championship-T18_pga-the memorial tournament presented by workday-T10_major-u.s. open-T32_pga-travelers championship-T55,1.32,-0.09
"English, Harris",14577,pga,pga,major-pga championship-T18_pga-the memorial tournament presented by workday-T17_major-u.s. open-CUT_pga-travelers championship-T38_pga-genesis scottish open-CUT,1.3,-0.03
"Suber, Jackson",29279,pga,pga,pga-charles schwab challenge-T67_pga-rbc canadian open-T4_major-u.s. open-CUT_pga-travelers championship-T30_pga-john deere classic-T6,1.28,1.27
