player_name,events_played,rounds_played,rounds_played_w_shotlink,win,top_5,top_10,top_25,putt_mean,putt_rank,putt_perc_05,putt_perc_25,putt_median,putt_perc_75,putt_perc_95,putt_std_dev,arg_mean,arg_rank,arg_perc_05,arg_perc_25,arg_median,arg_perc_75,arg_perc_95,arg_std_dev,app_mean,app_rank,app_perc_05,app_perc_25,app_median,app_perc_75,app_perc_95,app_std_dev,ott_mean,ott_rank,ott_perc_05,ott_perc_25,ott_median,ott_perc_75,ott_perc_95,ott_std_dev,bs_mean,bs_rank,bs_perc_05,bs_perc_25,bs_median,bs_perc_75,bs_perc_95,bs_std_dev,t2g_mean,t2g_rank,t2g_perc_05,t2g_perc_25,t2g_median,t2g_perc_75,t2g_perc_95,t2g_std_dev,total_mean,total_rank,total_perc_05,total_perc_25,total_median,total_perc_75,total_perc_95,total_std_dev,total_no_am_mean,total_no_am_rank,total_no_am_perc_05,total_no_am_perc_25,total_no_am_median,total_no_am_perc_75,total_no_am_perc_95,total_no_am_std_dev,dist_mean,dist_rank,dist_perc_05,dist_perc_25,dist_median,dist_perc_75,dist_perc_95,dist_std_dev,acc_mean,acc_rank,acc_perc_05,acc_perc_25,acc_median,acc_perc_75,acc_perc_95,acc_std_dev
"Scheffler, Scottie",15,58,56,1,9,9,14,0.571,15,-1.648,-0.331,0.578,1.269,2.884,1.469,0.549,6,-0.771,-0.060,0.560,0.980,2.628,0.990,0.846,7,-1.682,0.172,0.771,1.504,3.091,1.481,0.828,5,-0.352,0.389,0.846,1.366,1.884,0.721,1.674,1,-1.098,0.839,1.668,2.792,4.637,1.672,2.223,1,-0.802,1.072,2.189,3.428,5.284,1.769,2.838,1,-2.001,1.404,3.194,4.740,6.250,2.449,2.838,1,-2.001,1.404,3.194,4.740,6.250,2.449,6.893,43,-9.350,0.434,7.076,12.470,23.006,9.613,0.043,24,-0.121,-0.037,0.040,0.140,0.218,0.127
"McIlroy, Rory",12,46,46,1,3,5,8,0.414,28,-1.824,-1.034,0.245,2.163,2.660,1.613,0.285,28,-1.467,-0.339,0.461,0.877,2.384,1.199,0.555,34,-2.598,-0.310,1.087,1.507,3.163,1.692,1.066,1,-0.087,0.594,1.190,1.774,2.503,0.984,1.621,2,-0.970,0.667,1.798,2.919,3.985,1.781,1.906,3,-1.517,0.656,2.501,3.765,4.799,2.190,2.320,2,-1.749,0.400,2.257,4.470,6.517,2.854,2.320,2,-1.749,0.400,2.257,4.470,6.517,2.854,22.520,3,8.492,17.918,23.638,27.564,36.650,10.160,-0.034,110,-0.226,-0.128,-0.005,0.061,0.128,0.112
"Fitzpatrick, Matt",17,68,66,3,7,8,13,0.112,69,-2.343,-0.896,0.089,0.920,3.001,1.668,0.642,2,-0.641,-0.095,0.591,1.401,2.684,1.052,1.011,2,-1.280,0.256,1.001,1.658,3.340,1.415,0.424,37,-1.373,0.005,0.579,0.993,1.705,0.909,1.435,8,-1.360,0.213,1.664,2.507,4.086,1.704,2.077,2,-0.596,1.180,2.162,3.093,4.699,1.632,2.143,3,-1.927,0.643,2.141,3.652,5.847,2.398,2.143,3,-1.927,0.643,2.141,3.652,5.847,2.398,0.808,74,-16.347,-6.207,1.374,7.549,16.941,10.730,0.073,9,-0.110,-0.000,0.063,0.151,0.293,0.121
"Rahm, Jon",13,50,50,2,8,9,10,0.317,40,-2.695,-0.609,0.647,1.589,2.695,1.748,0.327,24,-1.160,-0.238,0.319,0.858,2.033,0.976,0.649,18,-1.882,-0.131,0.605,1.549,3.332,1.599,0.841,3,-0.521,0.190,0.854,1.552,2.250,0.961,1.490,5,-1.143,0.291,1.481,2.481,4.257,1.641,1.810,5,-1.920,0.760,2.024,3.168,4.732,1.931,2.126,4,-2.315,1.191,2.561,3.536,5.295,2.467,2.126,4,-2.315,1.191,2.561,3.536,5.295,2.467,11.457,21,-6.207,3.942,9.846,20.024,31.030,12.801,0.009,65,-0.176,-0.072,0.017,0.087,0.175,0.116
"Morikawa, Collin",12,46,46,1,4,6,7,0.320,39,-2.051,-0.695,0.260,1.255,3.079,1.570,0.129,48,-1.494,-0.611,0.122,0.651,1.654,1.035,1.034,1,-1.162,-0.083,1.076,2.170,3.309,1.661,0.486,30,-0.587,0.010,0.544,1.013,1.643,0.788,1.520,3,-1.392,0.323,1.238,2.787,4.392,1.975,1.649,9,-1.248,0.351,1.740,2.725,4.667,2.051,1.969,5,-2.471,0.259,1.923,3.635,7.020,2.703,1.969,5,-2.471,0.259,1.923,3.635,7.020,2.703,-0.846,91,-19.621,-9.373,0.839,6.578,15.312,11.611,0.081,7,-0.113,-0.018,0.069,0.187,0.252,0.123
"Young, Cameron",14,56,55,2,4,6,8,0.133,65,-2.782,-0.805,0.268,1.071,2.751,1.663,0.326,25,-1.124,-0.514,0.309,0.834,2.399,1.083,0.689,17,-1.517,-0.054,0.475,1.826,3.015,1.461,0.812,6,-0.555,0.206,0.889,1.385,2.214,0.846,1.500,4,-0.924,0.468,1.685,2.340,4.518,1.695,1.827,4,-1.375,0.242,1.876,3.272,5.091,2.056,1.953,6,-2.729,0.061,1.576,3.338,6.358,2.749,1.953,6,-2.729,0.061,1.576,3.338,6.358,2.749,8.678,31,-5.022,3.140,9.646,13.844,23.095,11.659,0.017,50,-0.152,-0.066,0.020,0.089,0.207,0.116
"Kim, Si Woo",19,74,71,0,5,9,11,-0.007,86,-2.670,-1.311,0.055,1.039,2.492,1.583,0.283,29,-1.094,-0.370,0.256,0.995,1.615,0.952,0.849,6,-1.958,-0.043,0.663,1.953,3.589,1.729,0.590,19,-0.287,0.144,0.578,1.000,1.603,0.625,1.439,7,-1.425,-0.027,1.419,2.652,4.469,1.857,1.722,6,-1.118,0.195,1.740,3.047,4.805,1.932,1.778,7,-2.604,0.105,1.958,3.722,5.516,2.623,1.778,7,-2.604,0.105,1.958,3.722,5.516,2.623,-4.141,109,-17.123,-8.548,-4.472,1.372,9.821,8.127,0.104,3,-0.098,0.020,0.084,0.192,0.325,0.132
"Burns, Sam",16,58,56,0,2,4,9,0.825,5,-1.501,-0.354,0.853,1.675,2.993,1.558,-0.031,84,-2.063,-0.526,-0.029,0.491,1.630,1.034,0.575,30,-1.966,-0.579,0.736,1.658,3.425,1.673,0.368,42,-1.454,-0.222,0.433,1.087,1.467,0.881,0.943,29,-2.484,-0.328,1.207,2.421,3.860,1.934,0.913,35,-3.097,-0.255,1.132,2.417,4.140,2.306,1.732,8,-3.280,0.159,2.216,3.560,5.987,2.861,1.732,8,-3.280,0.159,2.216,3.560,5.987,2.861,9.040,27,-7.046,3.310,9.121,15.410,22.635,9.564,-0.029,105,-0.204,-0.111,-0.015,0.062,0.189,0.129
"Gotterup, Chris",18,70,69,3,3,5,11,0.434,24,-2.014,-0.616,0.130,1.144,3.159,1.603,0.096,57,-1.522,-0.707,0.225,0.794,1.852,1.087,0.494,39,-1.611,-0.723,0.395,1.819,3.256,1.624,0.704,11,-0.674,0.102,0.765,1.325,2.058,0.862,1.198,15,-1.450,-0.300,1.153,2.326,4.180,1.781,1.295,16,-1.855,-0.055,1.300,2.749,4.486,2.095,1.718,9,-2.040,-0.091,1.363,3.399,6.061,2.665,1.718,9,-2.040,-0.091,1.363,3.399,6.061,2.665,16.494,7,-0.930,9.615,15.938,23.406,36.908,11.460,-0.058,121,-0.292,-0.142,-0.073,0.035,0.163,0.136
"Fleetwood, Tommy",17,66,66,0,3,6,12,0.217,50,-1.830,-0.631,0.219,1.327,2.625,1.533,0.446,11,-0.925,-0.099,0.413,1.017,2.127,1.045,0.464,43,-1.918,-0.235,0.706,1.259,2.326,1.322,0.590,20,-0.661,0.205,0.640,1.087,1.735,0.758,1.054,19,-1.780,0.550,1.271,1.848,3.468,1.584,1.500,11,-2.511,0.968,1.700,2.802,4.302,1.897,1.718,10,-3.249,-0.166,2.411,3.669,4.748,2.639,1.718,10,-3.249,-0.166,2.411,3.669,4.748,2.639,-0.191,82,-15.822,-8.704,-0.286,6.291,14.622,9.899,0.083,6,-0.057,-0.000,0.071,0.180,0.273,0.105
