pos,player_name,score,r1_score,r1_sg,r2_score,r2_sg,r3_score,r3_sg,r4_score,r4_sg,total_score,total_sg,dg_points,dg_rank,owgr_rank,opening_odds,closing_odds
1,"Spieth, Jordan",-12,65,6.92,69,5.03,65,4.03,69,1.13,268,17.11,28,2,3,null,null
2,"Kuchar, Matt",-9,65,6.92,71,3.03,66,3.03,69,1.13,271,14.11,14.7472,10,18,null,null
3,"Li, Haotong",-6,69,2.92,73,1.03,69,0.03,63,7.13,274,11.11,10.1056,139,107,null,null
T4,"Cabrera Bello, Rafa",-5,67,4.92,73,1.03,67,2.03,68,2.13,275,10.11,6.9946,32,17,null,null
T4,"McIlroy, Rory",-5,71,0.92,68,6.03,69,0.03,67,3.13,275,10.11,6.9946,6,4,null,null
T6,"Leishman, Marc",-4,69,2.92,76,-1.97,66,3.03,65,5.13,276,9.11,4.0972,21,34,null,null
T6,"Noren, Alex",-4,68,3.92,72,2.03,69,0.03,67,3.13,276,9.11,4.0972,29,9,null,null
T6,"Grace, Branden",-4,70,1.92,74,0.03,62,7.03,70,0.13,276,9.11,4.0972,42,35,null,null
T6,"Southgate, Matthew",-4,72,-0.08,72,2.03,67,2.03,65,5.13,276,9.11,4.0972,410,172,null,null
T6,"Koepka, Brooks",-4,65,6.92,72,2.03,68,1.03,71,-0.87,276,9.11,4.0972,12,11,null,null
T11,"Stenson, Henrik",-3,69,2.92,73,1.03,65,4.03,70,0.13,277,8.11,2.6851,9,8,null,null
T11,"Casey, Paul",-3,66,5.92,77,-2.97,67,2.03,67,3.13,277,8.11,2.6851,7,16,null,null
T11,"Kim, Chan",-3,72,-0.08,68,6.03,67,2.03,70,0.13,277,8.11,2.6851,387,170,null,null
T14,"Poulter, Ian",-2,67,4.92,70,4.03,71,-1.97,70,0.13,278,7.1,1.9603,69,78,null,null
T14,"Johnson, Zach",-2,75,-3.08,66,8.03,71,-1.97,66,4.13,278,7.1,1.9603,52,71,null,null
T14,"Dufner, Jason",-2,73,-1.08,71,3.03,66,3.03,68,2.13,278,7.1,1.9603,30,31,null,null
T14,"Wood, Chris",-2,71,0.92,72,2.03,68,1.03,67,3.13,278,7.1,1.9603,79,63,null,null
T14,"Matsuyama, Hideki",-2,68,3.92,72,2.03,66,3.03,72,-1.87,278,7.1,1.9603,5,2,null,null
T14,"Connelly, Austin",-2,67,4.92,72,2.03,66,3.03,73,-2.87,278,7.1,1.9603,null,null,null,null
T20,"Hoffman, Charley",-1,67,4.92,73,1.03,72,-2.97,67,3.13,279,6.1,1.5368,31,39,null,null
T20,"Schauffele, Xander",-1,69,2.92,75,-0.97,70,-0.97,65,5.13,279,6.11,1.5368,54,84,null,null
T22,"Scott, Adam",0,69,2.92,74,0.03,70,-0.97,67,3.13,280,5.1,1.2968,18,15,null,null
T22,"Bland, Richard",0,67,4.92,72,2.03,70,-0.97,71,-0.87,280,5.1,1.2968,186,145,null,null
