rank,player,tier,vts,vfs_base,links_delta,vfs_final,links_signal,links_confidence,ev_6m,sg_6m,ev_12m,sg_12m,ev_24m,sg_24m,ev_alltime,sg_alltime,trace
1,Scottie Scheffler,1,83.26,93.84,3.72,97.57,0.931,1.0,1,-0.161,2,1.638,3,2.198,8,1.939,"raw_sig=+0.931; delta_vfs=+3.72; windows=[6m:-0.161(ev=1,conf=0.40→adj=-0.064) | 12m:+1.638(ev=2,conf=0.75→adj=+1.228) | 24m:+2.198(ev=3,conf=0.75→adj=+1.648) | alltime:+1.939(ev=8,conf=1.00→adj=+1.939)]"
2,Tommy Fleetwood,1,82.23,82.93,5.93,88.86,1.4824,1.0,1,2.168,4,2.096,8,1.746,44,0.961,"raw_sig=+1.482; delta_vfs=+5.93; windows=[6m:+2.168(ev=1,conf=0.40→adj=+0.867) | 12m:+2.096(ev=4,conf=1.00→adj=+2.096) | 24m:+1.746(ev=8,conf=1.00→adj=+1.746) | alltime:+0.961(ev=44,conf=1.00→adj=+0.961)]"
3,Matt Fitzpatrick,1,81.66,83.22,6.42,89.64,1.606,1.0,1,3.168,4,2.239,7,1.571,32,0.646,"raw_sig=+1.606; delta_vfs=+6.42; windows=[6m:+3.168(ev=1,conf=0.40→adj=+1.267) | 12m:+2.239(ev=4,conf=1.00→adj=+2.239) | 24m:+1.571(ev=7,conf=1.00→adj=+1.571) | alltime:+0.646(ev=32,conf=1.00→adj=+0.646)]"
4,Si Woo Kim,1,80.63,87.25,5.2,92.45,1.3002,1.0,1,2.668,2,1.977,4,1.517,8,1.043,"raw_sig=+1.300; delta_vfs=+5.20; windows=[6m:+2.668(ev=1,conf=0.40→adj=+1.067) | 12m:+1.977(ev=2,conf=0.75→adj=+1.483) | 24m:+1.517(ev=4,conf=1.00→adj=+1.517) | alltime:+1.043(ev=8,conf=1.00→adj=+1.043)]"
5,Russell Henley,1,79.66,84.12,4.84,88.96,1.2104,0.3,0,,0,,1,4.039,9,0.4,"raw_sig=+1.210; delta_vfs=+4.84; windows=[6m:no_data | 12m:no_data | 24m:+4.039(ev=1,conf=0.40→adj=+1.616) | alltime:+0.400(ev=9,conf=1.00→adj=+0.400)]"
6,Rory McIlroy,1,78.98,65.09,7.41,72.5,1.8523,1.0,1,2.918,3,3.066,8,2.26,33,1.87,"raw_sig=+1.852; delta_vfs=+7.41; windows=[6m:+2.918(ev=1,conf=0.40→adj=+1.167) | 12m:+3.066(ev=3,conf=0.75→adj=+2.300) | 24m:+2.260(ev=8,conf=1.00→adj=+2.260) | alltime:+1.870(ev=33,conf=1.00→adj=+1.870)]"
7,Jon Rahm,1,78.14,78.43,3.0,81.43,0.7503,1.0,1,0.918,1,0.918,3,1.973,13,1.973,"raw_sig=+0.750; delta_vfs=+3.00; windows=[6m:+0.918(ev=1,conf=0.40→adj=+0.367) | 12m:+0.918(ev=1,conf=0.40→adj=+0.367) | 24m:+1.973(ev=3,conf=0.75→adj=+1.480) | alltime:+1.973(ev=13,conf=1.00→adj=+1.973)]"
8,Viktor Hovland,1,78.09,82.45,5.16,87.6,1.289,1.0,1,2.168,2,2.227,4,1.21,10,1.589,"raw_sig=+1.289; delta_vfs=+5.16; windows=[6m:+2.168(ev=1,conf=0.40→adj=+0.867) | 12m:+2.227(ev=2,conf=0.75→adj=+1.670) | 24m:+1.210(ev=4,conf=1.00→adj=+1.210) | alltime:+1.589(ev=10,conf=1.00→adj=+1.589)]"
9,Cameron Young,2,77.98,81.8,3.75,85.55,0.9377,0.3,0,,0,,1,1.289,4,1.782,"raw_sig=+0.938; delta_vfs=+3.75; windows=[6m:no_data | 12m:no_data | 24m:+1.289(ev=1,conf=0.40→adj=+0.516) | alltime:+1.782(ev=4,conf=1.00→adj=+1.782)]"
10,Xander Schauffele,2,76.28,72.29,3.06,75.34,0.7645,1.0,1,-1.661,2,1.138,4,2.448,10,2.087,"raw_sig=+0.764; delta_vfs=+3.06; windows=[6m:-1.661(ev=1,conf=0.40→adj=-0.664) | 12m:+1.138(ev=2,conf=0.75→adj=+0.853) | 24m:+2.448(ev=4,conf=1.00→adj=+2.448) | alltime:+2.087(ev=10,conf=1.00→adj=+2.087)]"
