name_key,player_display,trait_app_150_200,trait_driving_accuracy,trait_ott_positional,trait_app_overall,trait_sg_putt,trait_sg_arg
"scheffler, scottie","Scheffler, Scottie",78.0,79.5,81.0,82.5,84.0,85.5
"fleetwood, tommy","Fleetwood, Tommy",77.5,79.0,80.5,82.0,83.5,85.0
"fitzpatrick, matt","Fitzpatrick, Matt",77.1,78.6,80.1,81.6,83.1,84.6
"woo kim, si","Woo Kim, Si",76.7,78.2,79.7,81.2,82.7,84.2
"henley, russell","Henley, Russell",76.2,77.7,79.2,80.7,82.2,83.7
"mcilroy, rory","McIlroy, Rory",75.8,77.2,78.8,80.2,81.8,83.2
"rahm, jon","Rahm, Jon",75.3,76.8,78.3,79.8,81.3,82.8
"hovland, viktor","Hovland, Viktor",74.8,76.3,77.8,79.3,80.8,82.3
"young, cameron","Young, Cameron",74.4,75.9,77.4,78.9,80.4,81.9
"schauffele, xander","Schauffele, Xander",74.0,75.5,77.0,78.5,80.0,81.5
"spaun, jj","Spaun, JJ",73.5,75.0,76.5,78.0,79.5,81.0
"morikawa, collin","Morikawa, Collin",73.0,74.5,76.0,77.5,79.0,80.5
"burns, sam","Burns, Sam",72.6,74.1,75.6,77.1,78.6,80.1
"gotterup, chris","Gotterup, Chris",72.2,73.7,75.2,76.7,78.2,79.7
"cantlay, patrick","Cantlay, Patrick",71.7,73.2,74.7,76.2,77.7,79.2
"rose, justin","Rose, Justin",71.2,72.8,74.2,75.8,77.2,78.8
"clark, wyndham","Clark, Wyndham",70.8,72.3,73.8,75.3,76.8,78.3
"aberg, ludvig","Aberg, Ludvig",70.3,71.8,73.3,74.8,76.3,77.8
"rai, aaron","Rai, Aaron",69.9,71.4,72.9,74.4,75.9,77.4
"kitayama, kurt","Kitayama, Kurt",69.5,71.0,72.5,74.0,75.5,77.0
"matsuyama, hideki","Matsuyama, Hideki",69.0,70.5,72.0,73.5,75.0,76.5
"macintyre, robert","MacIntyre, Robert",68.5,70.0,71.5,73.0,74.5,76.0
"english, harris","English, Harris",68.1,69.6,71.1,72.6,74.1,75.6
"bhatia, akshay","Bhatia, Akshay",67.7,69.2,70.7,72.2,73.7,75.2
"niemann, joaquin","Niemann, Joaquin",67.2,68.7,70.2,71.7,73.2,74.7
"fowler, rickie","Fowler, Rickie",66.8,68.2,69.8,71.2,72.8,74.2
"lowry, shane","Lowry, Shane",66.3,67.8,69.3,70.8,72.3,73.8
"noren, alex","Noren, Alex",65.8,67.3,68.8,70.3,71.8,73.3
"woo lee, min","Woo Lee, Min",65.4,66.9,68.4,69.9,71.4,72.9
"bridgeman, jacob","Bridgeman, Jacob",65.0,66.5,68.0,69.5,71.0,72.5
"scott, adam","Scott, Adam",64.5,66.0,67.5,69.0,70.5,72.0
"griffin, ben","Griffin, Ben",64.0,65.5,67.0,68.5,70.0,71.5
"gerard, ryan","Gerard, Ryan",63.6,65.1,66.6,68.1,69.6,71.1
"hojgaard, nicolai","Hojgaard, Nicolai",63.1,64.7,66.2,67.7,69.2,70.7
"knapp, jake","Knapp, Jake",62.7,64.2,65.7,67.2,68.7,70.2
"reed, patrick","Reed, Patrick",62.2,63.8,65.2,66.8,68.2,69.8
"bradley, keegan","Bradley, Keegan",61.8,63.3,64.8,66.3,67.8,69.3
"taylor, nick","Taylor, Nick",61.3,62.8,64.3,65.8,67.3,68.8
"mcnealy, maverick","McNealy, Maverick",60.9,62.4,63.9,65.4,66.9,68.4
"mitchell, keith","Mitchell, Keith",60.5,62.0,63.5,65.0,66.5,68.0
"hatton, tyrrell","Hatton, Tyrrell",60.0,61.5,63.0,64.5,66.0,67.5
"conners, corey","Conners, Corey",59.5,61.0,62.5,64.0,65.5,67.0
"poston, jt","Poston, JT",59.1,60.6,62.1,63.6,65.1,66.6
"kim, tom","Kim, Tom",58.6,60.1,61.6,63.1,64.7,66.2
"dechambeau, bryson","DeChambeau, Bryson",58.2,59.7,61.2,62.7,64.2,65.7
"reitan, kristoffer","Reitan, Kristoffer",57.8,59.2,60.8,62.2,63.8,65.2
"smalley, alex","Smalley, Alex",57.3,58.8,60.3,61.8,63.3,64.8
"fitzpatrick, alex","Fitzpatrick, Alex",56.8,58.3,59.8,61.3,62.8,64.3
"thomas, justin","Thomas, Justin",56.4,57.9,59.4,60.9,62.4,63.9
"woodland, gary","Woodland, Gary",56.0,57.5,59.0,60.5,62.0,63.5
"harman, brian","Harman, Brian",55.5,57.0,58.5,60.0,61.5,63.0
"cauley, bud","Cauley, Bud",55.0,56.5,58.0,59.5,61.0,62.5
"spieth, jordan","Spieth, Jordan",54.6,56.1,57.6,59.1,60.6,62.1
"mccarty, matt","McCarty, Matt",54.1,55.6,57.1,58.6,60.1,61.6
"thorbjornsen, michael","Thorbjornsen, Michael",53.7,55.2,56.7,58.2,59.7,61.2
"ayora, angel","Ayora, Angel",53.2,54.8,56.2,57.8,59.2,60.8
"schaper, jayden","Schaper, Jayden",52.8,54.3,55.8,57.3,58.8,60.3
"berger, daniel","Berger, Daniel",52.3,53.8,55.3,56.8,58.3,59.8
"smith, jordan","Smith, Jordan",51.9,53.4,54.9,56.4,57.9,59.4
"cole, eric","Cole, Eric",51.5,53.0,54.5,56.0,57.5,59.0
"puig, david","Puig, David",51.0,52.5,54.0,55.5,57.0,58.5
"straka, sepp","Straka, Sepp",50.5,52.0,53.5,55.0,56.5,58.0
"day, jason","Day, Jason",50.1,51.6,53.1,54.6,56.1,57.6
"hall, harry","Hall, Harry",49.6,51.1,52.6,54.1,55.6,57.1
"wallace, matt","Wallace, Matt",49.2,50.7,52.2,53.7,55.2,56.7
"keefer, johnny","Keefer, Johnny",48.8,50.2,51.8,53.2,54.8,56.2
"parry, john","Parry, John",48.3,49.8,51.3,52.8,54.3,55.8
"theegala, sahith","Theegala, Sahith",47.8,49.3,50.8,52.3,53.8,55.3
"echavarria, nico","Echavarria, Nico",47.4,48.9,50.4,51.9,53.4,54.9
"hillier, daniel","Hillier, Daniel",47.0,48.5,50.0,51.5,53.0,54.5
"homa, max","Homa, Max",46.5,48.0,49.5,51.0,52.5,54.0
