rank,player_name,tier,vts_final,nsi,vfs,vfs_base,vfs_links_d,vhn,form,birkdale_tag,win_prob,top5_prob,top10_prob,top20_prob,make_cut_prob,sg_app_12m,sg_ott_12m,sg_arg_12m,sg_putt_12m,links_signal,links_delta,ap_flags,form_class,badges,best_bet
1,Scottie Scheffler,1,83.26,100.0,97.57,93.84,3.72,49.61,43.64,RoyalBirkdaleDebut,3.69,14.24,23.43,36.84,95.4,1.095,0.869,0.464,0.658,0.931,3.72,0,NEUTRAL,Iron Edge; Elite NSI; Debut Watch,Top 5
2,Tommy Fleetwood,1,82.23,96.77,88.86,82.93,5.93,56.77,55.64,BirkdaleHistoryThin,3.43,13.43,22.31,35.46,94.9,0.626,0.567,0.326,0.516,1.4824,5.93,0,NEUTRAL,Iron Edge; Elite NSI,Top 5
3,Matt Fitzpatrick,1,81.66,97.42,89.64,83.22,6.42,52.44,52.88,BirkdaleHistoryThin,3.29,13.0,21.71,34.72,94.6,0.856,0.296,0.636,0.356,1.606,6.42,0,NEUTRAL,Iron Edge; Elite NSI,Top 5
4,Si Woo Kim,1,80.63,93.55,92.45,87.25,5.2,48.98,54.2,BirkdaleHistoryThin,3.06,12.26,20.67,33.42,94.1,0.788,0.628,0.301,-0.185,1.3002,5.2,1,NEUTRAL,Iron Edge; Elite NSI; Fragile Favorite,Top 5
5,Russell Henley,1,79.66,95.48,88.96,84.12,4.84,55.04,43.52,BirkdaleHistoryThin,2.86,11.6,19.74,32.24,93.5,0.702,0.471,0.179,0.408,1.2104,4.84,0,NEUTRAL,Iron Edge; Elite NSI,Top 5
6,Rory McIlroy,1,78.98,99.35,72.5,65.09,7.41,67.17,49.4,BirkdaleHistoryThin,2.72,11.15,19.11,31.44,93.1,0.512,0.984,0.215,0.566,1.8523,7.41,0,NEUTRAL,Iron Edge; Elite NSI,Top 5
7,Jon Rahm,1,78.14,98.06,81.43,78.43,3.0,52.44,44.12,BirkdaleHistoryThin,2.56,10.63,18.36,30.48,92.5,0.628,0.849,0.277,0.348,0.7503,3.0,0,NEUTRAL,Iron Edge; Elite NSI,Top 5
8,Viktor Hovland,1,78.09,90.32,87.6,82.45,5.16,49.85,54.68,RoyalBirkdaleDebut,2.55,10.6,18.32,30.42,92.5,0.828,0.232,0.185,0.19,1.289,5.16,0,NEUTRAL,Iron Edge; Elite NSI; Debut Watch,Top 5
9,Cameron Young,2,77.98,98.71,85.55,81.8,3.75,49.49,36.08,RoyalBirkdaleDebut,2.53,10.53,18.22,30.3,92.4,0.646,0.812,0.31,0.362,0.9377,3.75,0,COOL,Iron Edge; Elite NSI; Form Cold; Debut Watch,Top 5
10,Xander Schauffele,2,76.28,96.13,75.34,72.29,3.06,61.11,40.4,BirkdaleHistoryThin,2.24,9.56,16.8,28.45,91.1,0.673,0.726,0.128,0.188,0.7645,3.06,0,COOL,Iron Edge; Elite NSI; Form Cold,Top 5
11,J.J. Spaun,2,75.25,88.39,82.5,82.02,0.48,49.97,50.96,RoyalBirkdaleDebut,2.08,9.01,16.0,27.38,90.2,0.965,0.441,0.207,-0.21,0.1192,0.48,1,NEUTRAL,Iron Edge; Elite NSI; Debut Watch; Fragile Favorite,Top 5
12,Collin Morikawa,2,74.8,89.68,80.0,79.89,0.11,50.0,49.52,RoyalBirkdaleDebut,2.02,8.78,15.66,26.93,89.8,0.915,0.459,0.006,0.038,0.0276,0.11,1,NEUTRAL,Iron Edge; Elite NSI; Debut Watch; Fragile Favorite,Top 5
13,Sam Burns,2,74.22,94.19,66.31,64.46,1.85,49.58,61.4,RoyalBirkdaleDebut,1.94,8.5,15.23,26.36,89.3,0.507,0.386,-0.071,0.796,0.463,1.85,0,WARM,Iron Edge; Elite NSI; Form Spike; Debut Watch,Top 10
14,Chris Gotterup,2,73.82,92.9,71.23,64.66,6.58,49.19,52.76,RoyalBirkdaleDebut,1.88,8.31,14.95,25.97,88.9,0.362,0.736,0.027,0.494,1.6439,6.58,0,NEUTRAL,Iron Edge; Elite NSI; Debut Watch,Make Cut
15,Patrick Cantlay,2,73.77,91.61,73.45,71.84,1.61,49.79,50.84,RoyalBirkdaleDebut,1.87,8.28,14.91,25.92,88.9,0.705,0.392,0.33,0.114,0.403,1.61,0,NEUTRAL,Iron Edge; Elite NSI; Debut Watch,Make Cut
16,Justin Rose,2,73.16,92.26,69.76,65.09,4.67,52.45,49.76,BirkdaleHistoryThin,1.79,8.0,14.48,25.34,88.2,0.84,0.282,0.14,0.253,1.1674,4.67,0,NEUTRAL,Iron Edge; Elite NSI,Make Cut
17,Wyndham Clark,2,73.11,86.45,68.46,63.53,4.93,49.64,70.28,RoyalBirkdaleDebut,1.79,7.98,14.45,25.3,88.2,0.522,0.071,0.443,0.486,1.2329,4.93,0,HOT,Iron Edge; Elite NSI; Form Spike; Debut Watch,Make Cut
18,Ludvig Aberg,2,72.86,94.84,70.96,68.0,2.97,49.43,41.48,RoyalBirkdaleDebut,1.76,7.86,14.28,25.06,87.9,0.687,0.603,0.231,0.33,0.7418,2.97,0,COOL,Iron Edge; Elite NSI; Form Cold; Debut Watch,Make Cut
19,Aaron Rai,2,71.83,76.77,81.68,79.75,1.93,50.48,60.32,RoyalBirkdaleDebut,1.63,7.41,13.6,24.12,86.8,0.762,0.221,0.213,-0.287,0.4821,1.93,1,WARM,Iron Edge; Debut Watch; Fragile Favorite,Make Cut
20,Kurt Kitayama,2,70.49,83.23,73.33,71.83,1.5,49.52,51.8,RoyalBirkdaleDebut,1.48,6.87,12.75,22.96,85.2,0.796,0.516,-0.031,0.045,0.375,1.5,0,NEUTRAL,Iron Edge; Debut Watch,Make Cut
