pos,player_name,score,r1_score,r1_sg,r2_score,r2_sg,r3_score,r3_sg,r4_score,r4_sg,total_score,total_sg
1,"Fox, Ryan",-10,72,-0.56,68,2.35,62,8.26,68,2.6,270,12.64
2,"Young, Cameron",-9,67,4.44,67,3.35,73,-2.74,64,6.6,271,11.64
3,"Burns, Sam",-8,73,-1.56,62,8.35,65,5.26,72,-1.4,272,10.64
T4,"Scheffler, Scottie",-7,68,3.44,68,2.35,70,0.26,67,3.6,273,9.64
T4,"Fleetwood, Tommy",-7,69,2.44,67,3.35,69,1.26,68,2.6,273,9.64
T6,"Herbert, Lucas",-6,70,1.44,62,8.35,71,-0.74,71,-0.4,274,8.64
T6,"Kim, Si Woo",-6,68,3.44,67,3.35,67,3.26,72,-1.4,274,8.64
T6,"Jarvis, Casey",-6,73,-1.56,67,3.35,68,2.26,66,4.6,274,8.64
T9,"Scott, Adam",-5,72,-0.56,66,4.35,71,-0.74,66,4.6,275,7.64
T9,"Neergaard-Petersen, Rasmus",-5,72,-0.56,66,4.35,67,3.26,70,0.6,275,7.64
T9,"Henley, Russell",-5,70,1.44,71,-0.65,68,2.26,66,4.6,275,7.64
T9,"Gerard, Ryan",-5,67,4.44,67,3.35,69,1.26,72,-1.4,275,7.64
T9,"Aberg, Ludvig",-5,71,0.44,66,4.35,67,3.26,71,-0.4,275,7.64
T14,"Matsuyama, Hideki",-4,72,-0.56,67,3.35,67,3.26,70,0.6,276,6.64
T14,"Conners, Corey",-4,71,0.44,67,3.35,71,-0.74,67,3.6,276,6.64
T14,"Im, Sungjae",-4,66,5.44,72,-1.65,69,1.26,69,1.6,276,6.64
T14,"DeChambeau, Bryson",-4,67,4.44,68,2.35,69,1.26,72,-1.4,276,6.64
T18,"Morikawa, Collin",-3,68,3.44,70,0.35,70,0.26,69,1.6,277,5.64
T18,"Fowler, Rickie",-3,71,0.44,69,1.35,71,-0.74,66,4.6,277,5.64
T18,"Cauley, Bud",-3,68,3.44,68,2.35,73,-2.74,68,2.6,277,5.64
T18,"Schauffele, Xander",-3,71,0.44,69,1.35,66,4.26,71,-0.4,277,5.64
T18,"Smith, Jordan",-3,68,3.44,70,0.35,70,0.26,69,1.6,277,5.64
T18,"Reitan, Kristoffer",-3,69,2.44,71,-0.65,68,2.26,69,1.6,277,5.64
T18,"Noren, Alex",-3,71,0.44,69,1.35,69,1.26,68,2.6,277,5.64
T18,"Brown, Dan",-3,66,5.44,71,-0.65,69,1.26,71,-0.4,277,5.64
T18,"Gotterup, Chris",-3,70,1.44,68,2.35,72,-1.74,67,3.6,277,5.64
T18,"Penge, Marco",-3,72,-0.56,68,2.35,69,1.26,68,2.6,277,5.64
T28,"Homa, Max",-2,71,0.44,69,1.35,67,3.26,71,-0.4,278,4.64
T28,"Cantlay, Patrick",-2,71,0.44,68,2.35,71,-0.74,68,2.6,278,4.64
T28,"Koepka, Brooks",-2,70,1.44,71,-0.65,69,1.26,68,2.6,278,4.64
T28,"Parry, John",-2,71,0.44,68,2.35,73,-2.74,66,4.6,278,4.64
T28,"Perez, Victor",-2,68,3.44,69,1.35,73,-2.74,68,2.6,278,4.64
T28,"Coody, Pierceson",-2,67,4.44,70,0.35,72,-1.74,69,1.6,278,4.64
T28,"Kobori, Kazuma",-2,70,1.44,69,1.35,67,3.26,72,-1.4,278,4.64
T28,"Bridgeman, Jacob",-2,70,1.44,69,1.35,68,2.26,71,-0.4,278,4.64
T28,"Lowry, Shane",-2,69,2.44,68,2.35,69,1.26,72,-1.4,278,4.64
T28,"MacIntyre, Robert",-2,67,4.44,69,1.35,71,-0.74,71,-0.4,278,4.64
T28,"Suber, Jackson",-2,65,6.44,69,1.35,70,0.26,74,-3.4,278,4.64
T28,"John, Cameron",-2,70,1.44,67,3.35,69,1.26,72,-1.4,278,4.64
T40,"Detry, Thomas",-1,67,4.44,69,1.35,74,-3.74,69,1.6,279,3.64
T40,"Spaun, J.J.",-1,70,1.44,67,3.35,73,-2.74,69,1.6,279,3.64
T40,"Thorbjornsen, Michael",-1,70,1.44,68,2.35,71,-0.74,70,0.6,279,3.64
T40,"Wallace, Matt",-1,69,2.44,67,3.35,72,-1.74,71,-0.4,279,3.64
T40,"McIlroy, Rory",-1,72,-0.56,67,3.35,69,1.26,71,-0.4,279,3.64
T40,"Kitayama, Kurt",-1,69,2.44,71,-0.65,70,0.26,69,1.6,279,3.64
T46,"Reed, Patrick",0,72,-0.56,66,4.35,71,-0.74,71,-0.4,280,2.64
T46,"Ballester, Jose Luis",0,71,0.44,70,0.35,66,4.26,73,-2.4,280,2.64
T46,"Chacarra, Eugenio",0,70,1.44,70,0.35,71,-0.74,69,1.6,280,2.64
T46,"Molinari, Francesco",0,67,4.44,69,1.35,72,-1.74,72,-1.4,280,2.64
T46,"Southgate, Matthew",0,69,2.44,69,1.35,76,-5.74,66,4.6,280,2.64
T46,"Rahm, Jon",0,69,2.44,67,3.35,70,0.26,74,-3.4,280,2.64
T46,"Du Plessis, Hennie",0,70,1.44,69,1.35,69,1.26,72,-1.4,280,2.64
T53,"Smalley, Alex",1,67,4.44,73,-2.65,67,3.26,74,-3.4,281,1.64
T53,"Hisatsune, Ryo",1,68,3.44,73,-2.65,71,-0.74,69,1.6,281,1.64
T53,"Cole, Eric",1,76,-4.56,64,6.35,66,4.26,75,-4.4,281,1.64
T53,"Norris, Shaun",1,69,2.44,70,0.35,70,0.26,72,-1.4,281,1.64
T53,"Brennan, Michael",1,72,-0.56,68,2.35,70,0.26,71,-0.4,281,1.64
T53,"Theegala, Sahith",1,71,0.44,69,1.35,68,2.26,73,-2.4,281,1.64
T59,"Griffin, Ben",2,69,2.44,70,0.35,74,-3.74,69,1.6,282,0.64
T59,"Potgieter, Aldrich",2,69,2.44,72,-1.65,71,-0.74,70,0.6,282,0.64
T59,"Kataoka, Naoyuki",2,73,-1.56,68,2.35,70,0.26,71,-0.4,282,0.64
T59,"Keefer, Johnny",2,70,1.44,68,2.35,71,-0.74,73,-2.4,282,0.64
T59,"Taylor, Nick",2,68,3.44,71,-0.65,72,-1.74,71,-0.4,282,0.64
T59,"Lee, Min Woo",2,70,1.44,71,-0.65,71,-0.74,70,0.6,282,0.64
T65,"Uihlein, Peter",3,73,-1.56,68,2.35,72,-1.74,70,0.6,283,-0.36
T65,"Thomas, Justin",3,70,1.44,69,1.35,68,2.26,76,-5.4,283,-0.36
T67,"Straka, Sepp",4,68,3.44,70,0.35,74,-3.74,72,-1.4,284,-1.36
T67,"Echavarria, Nico",4,71,0.44,67,3.35,69,1.26,77,-6.4,284,-1.36
T69,"Hatton, Tyrrell",5,69,2.44,68,2.35,74,-3.74,74,-3.4,285,-2.36
T69,"Sullivan, Andy",5,70,1.44,69,1.35,73,-2.74,73,-2.4,285,-2.36
T71,"Canter, Laurie",6,69,2.44,71,-0.65,74,-3.74,72,-1.4,286,-3.36
T71,"Daffue, MJ",6,67,4.44,72,-1.65,72,-1.74,75,-4.4,286,-3.36
T71,"Fitzpatrick, Alex",6,69,2.44,67,3.35,73,-2.74,77,-6.4,286,-3.36
T74,"Bradley, Keegan",7,69,2.44,72,-1.65,74,-3.74,72,-1.4,287,-4.36
T74,"Plunkett, Marcus",7,70,1.44,71,-0.65,71,-0.74,75,-4.4,287,-4.36
T74,"Higa, Kazuki",7,73,-1.56,68,2.35,72,-1.74,74,-3.4,287,-4.36
