position,player_name,total_score,r4_score,sg_ott,distance,accuracy,sg_app,gir,prox_fw,prox_rgh,sg_putt,sg_arg,scrambling,great_shots,poor_shots,sg_total,sg_t2g,sg_bs
1,"Fox, Ryan",-10,-2,0.845,297.125,0.57143,0.557,0.7361125,30.54998,52.09527143,2.306,-0.548,0.571430357,6.75,4.5,3.161,0.855,1.403
2,"Young, Cameron",-9,-6,1.154,304.7,0.5,1.25,0.8055525,27.72828043,32.73038824,0.159,0.347,0.571429524,3.75,2.5,2.911,2.752,2.404
3,"Burns, Sam",-8,2,0.627,289.925,0.5535725,1.32,0.72222,28.75175208,42.364575,0.69,0.024,0.535715,5.75,2,2.661,1.97,1.946
T4,"Fleetwood, Tommy",-7,-2,0.119,273.975,0.64286,0.431,0.65278,33.91356667,70.40477857,1.263,0.598,0.75862,2.5,2.75,2.411,1.148,0.55
T4,"Scheffler, Scottie",-7,-3,0.793,295.275,0.6071425,1.407,0.73611,25.74478542,36.84522857,-0.356,0.567,0.714286786,4.5,3.25,2.411,2.767,2.2
T6,"Kim, Si Woo",-6,2,-0.083,281.95,0.5178575,0.481,0.680555,34.20265909,52.020855,0.78,0.982,0.703702222,3.5,2.75,2.161,1.381,0.398
T6,"Herbert, Lucas",-6,1,0.213,287.55,0.464285,0.44,0.708335,35.86957391,49.96296111,1.207,0.301,0.593752813,3.5,3.75,2.161,0.954,0.653
T6,"Jarvis, Casey",-6,-4,0.554,293.725,0.464285,0.513,0.694445,33.95919592,50.802075,0.544,0.55,0.730768077,4.5,4.5,2.161,1.617,1.067
T9,"Aberg, Ludvig",-5,1,0.752,298.025,0.4464275,0.876,0.7222225,27.50926667,58.29169545,0.047,0.236,0.583335833,4.5,3,1.911,1.864,1.628
T9,"Henley, Russell",-5,-4,-0.276,270.575,0.64286,0.433,0.7083325,30.00158868,52.7361,0.928,0.826,0.625002083,4,3.25,1.911,0.983,0.157
T9,"Gerard, Ryan",-5,2,0.65,291.45,0.5714275,0.352,0.625,30.79348043,36.86310714,0.185,0.725,0.694442778,4,2.75,1.911,1.726,1.001
T9,"Scott, Adam",-5,-4,0.637,290.025,0.535715,0.988,0.7083325,34.94774706,47.22778667,0.908,-0.622,0.615386923,6.5,2.75,1.911,1.003,1.625
T9,"Neergaard-Petersen, Rasmus",-5,0,1.117,288.7,0.6250025,0.638,0.7222225,38.2735717,39.4924,-0.28,0.435,0.52174087,5.75,4,1.911,2.19,1.755
T14,"Matsuyama, Hideki",-4,0,0.067,276.825,0.625,0.554,0.6111125,35.838348,42.73718462,0.495,0.545,0.647062647,4.25,1.75,1.661,1.166,0.621
T14,"Im, Sungjae",-4,-1,0.641,287.775,0.607145,-0.037,0.694445,36.18055556,46.78032727,0.414,0.642,0.642857143,4.25,2.5,1.661,1.246,0.604
T14,"Conners, Corey",-4,-3,-0.552,277.65,0.4464275,1.835,0.66667,26.68749091,47.42360833,0.671,-0.293,0.666667037,3.25,2.25,1.661,0.99,1.283
T14,"DeChambeau, Bryson",-4,2,0.479,308.325,0.375,-0.339,0.680555,34.88245128,48.256684,0.736,0.786,0.656250313,6.25,3.75,1.661,0.925,0.139
T18,"Noren, Alex",-3,-2,0.375,280.675,0.57143,1.306,0.7638875,32.92211087,54.72804737,-0.498,0.228,0.6400004,3.25,2.75,1.411,1.909,1.68
T18,"Fowler, Rickie",-3,-4,0.903,284.8,0.6250025,0.314,0.7777775,28.28268235,63.958335,0.953,-0.76,0.499999,4.25,3.5,1.411,0.458,1.217
T18,"Cauley, Bud",-3,-2,-0.761,275.775,0.4107125,0.227,0.625,36.18887778,46.0793619,1.566,0.379,0.742854857,3,2.5,1.411,-0.155,-0.534
T18,"Schauffele, Xander",-3,1,0.695,295.175,0.5178575,0.472,0.7361125,31.938326,38.9791875,-0.123,0.368,0.678572857,5.5,3.25,1.411,1.534,1.166
T18,"Morikawa, Collin",-3,-1,-0.099,266.4,0.7321425,1.269,0.7083325,30.3713614,69.75001429,0.813,-0.572,0.4800008,3.75,3,1.411,0.598,1.17
T18,"Gotterup, Chris",-3,-3,1.082,303.825,0.464285,0.91,0.6805575,29.5,58.82408889,-0.45,-0.132,0.592591852,6,4.25,1.411,1.861,1.992
T18,"Smith, Jordan",-3,-1,0.239,277.575,0.6785725,0.799,0.625,32.52463636,56.62779333,1.259,-0.886,0.625000625,4.25,2.25,1.411,0.153,1.039
T18,"Reitan, Kristoffer",-3,-1,1.01,303.1,0.42857,0.549,0.666665,32.11928636,42.45616842,0.908,-1.056,0.636363333,4.5,2.75,1.411,0.504,1.56
T18,"Penge, Marco",-3,-2,0.697,304.55,0.42857,0.768,0.625,30.37300238,50.37302857,0.183,-0.237,0.575757273,5,3.5,1.411,1.227,1.465
T18,"Brown, Dan",-3,1,0.655,288.825,0.589285,0.653,0.666665,34.85001,43.18333333,0.575,-0.473,0.571431071,5.25,4.75,1.411,0.836,1.309
T28,"Koepka, Brooks",-2,-2,1.284,302.05,0.4107125,0.219,0.6944475,27.87601463,50.187515,-0.166,-0.177,0.5625,4.25,3,1.161,1.327,1.503
T28,"Cantlay, Patrick",-2,-2,0.378,288.025,0.4821425,0.094,0.6527775,33.07385455,71.14492609,0.613,0.076,0.612905484,5.25,3,1.161,0.548,0.473
T28,"Bridgeman, Jacob",-2,1,0.11,282.075,0.5357125,0.176,0.6250025,37.42729787,48.6458375,0.515,0.36,0.500001875,5.25,3,1.161,0.646,0.286
T28,"MacIntyre, Robert",-2,1,0.736,283.625,0.589285,-0.441,0.63889,34.87845,52.10419167,0.57,0.296,0.617649118,5,2.5,1.161,0.591,0.295
T28,"Lowry, Shane",-2,2,0.481,287.75,0.535715,0.436,0.7083325,29.78015319,79.88889444,-0.058,0.303,0.52173913,4.5,2.5,1.161,1.219,0.917
T28,"Perez, Victor",-2,-2,0.5,289.575,0.464285,-0.781,0.625,37.05813953,60.86741364,0.41,1.032,0.606059697,3.75,3.5,1.161,0.751,-0.281
T28,"Homa, Max",-2,1,0.375,289.075,0.4821425,0.648,0.6944425,28.80674681,63.01982381,0.328,-0.191,0.565215217,4.25,3.5,1.161,0.832,1.023
T28,"Coody, Pierceson",-2,-1,-0.609,278.15,0.535715,0.438,0.625,34.168324,52.29628889,1.073,0.259,0.607143214,4.25,3.25,1.161,0.088,-0.171
T28,"Parry, John",-2,-4,0.067,284.7315789,0.625,0.452,0.694445,32.56751724,56.05833,0.545,0.097,0.608694783,4,2,1.161,0.616,0.519
T28,"Suber, Jackson",-2,4,-0.507,288.2,0.4821425,0.776,0.666665,30.95555333,48.67105263,0.49,0.401,0.5599988,4,3.75,1.161,0.67,0.268
T28,"John, Cameron",-2,2,0.044,297,0.4464275,-0.26,0.555555,31.81665556,68.99276522,1.411,-0.035,0.735295,6,4.5,1.161,-0.251,-0.216
T28,"Kobori, Kazuma",-2,2,-0.02,266.475,0.6964325,1.02,0.583335,30.62282982,39.72223333,-0.402,0.562,0.709674839,3.25,2.25,1.161,1.562,1.001
T40,"McIlroy, Rory",-1,1,2.462,311.65,0.5,-0.289,0.6666675,34.64537209,42.40077619,-0.651,-0.61,0.529411176,6.5,3,0.911,1.562,2.173
T40,"Spaun, J.J.",-1,-1,-0.123,279.425,0.5535725,0.575,0.708335,30.31044706,81.43518889,0.065,0.394,0.476189048,4.5,3.75,0.911,0.846,0.452
T40,"Kitayama, Kurt",-1,-1,-0.042,279.825,0.5,0.702,0.7083325,32.93301569,41.08855625,-0.568,0.818,0.583333333,3.75,3,0.911,1.478,0.661
T40,"Detry, Thomas",-1,-1,-0.658,281.175,0.535715,-0.032,0.6527775,31.431658,58.45,1.465,0.135,0.51852,5,3,0.911,-0.554,-0.69
T40,"Wallace, Matt",-1,1,0.367,283.65,0.4821425,-0.2,0.569445,33.41145208,64.96666,-0.288,1.032,0.685712286,5,3.75,0.911,1.2,0.167
T40,"Thorbjornsen, Michael",-1,0,-0.036,283.3,0.607145,0.907,0.7222225,30.38596491,44.25594286,-0.192,0.232,0.7500005,3.5,3,0.911,1.103,0.871
T46,"Rahm, Jon",0,4,0.29,298.3896552,0.5714275,1.367,0.7222225,28.74644681,57.03068947,-0.783,-0.214,0.565217391,4.75,3.5,0.661,1.444,1.658
T46,"Reed, Patrick",0,1,0.094,280.275,0.607145,1.283,0.7361125,27.06853333,58.26470588,-0.5,-0.216,0.499999615,3.75,4.25,0.661,1.161,1.376
T46,"Molinari, Francesco",0,2,-0.267,267.525,0.6428575,0.444,0.680555,28.34699818,70.11667,-0.8,1.284,0.48,4.75,4,0.661,1.461,0.177
T46,"Ballester, Jose Luis",0,3,-1.014,272.225,0.464285,1.148,0.65278,28.9625075,56.6785619,0.495,0.032,0.566668,3.25,3.75,0.661,0.165,0.134
T46,"Chacarra, Eugenio",0,-1,0.011,293.425,0.4464275,0.432,0.6250025,31.11807292,50.95174737,0.709,-0.492,0.600001333,3.5,3.25,0.661,-0.048,0.444
T46,"Southgate, Matthew",0,-4,-0.313,266.65,0.6250025,0.413,0.61111,36.02272727,80.69164,0.58,-0.019,0.558823235,4.25,3.25,0.661,0.081,0.1
T46,"Du Plessis, Hennie",0,2,-1.006,277.277193,0.5178575,0.78,0.625,36.8894913,39.18518889,0.094,0.792,0.516130323,4.25,4.75,0.661,0.567,-0.225
T53,"Norris, Shaun",1,2,-0.026,279.7,0.5892875,-0.126,0.6666675,28.83331607,71.36668,0.474,0.088,0.625,2.75,3.25,0.411,-0.064,-0.152
T53,"Cole, Eric",1,5,-0.247,296.2362069,0.5535725,0.411,0.6250025,28.83679167,65.28887333,-0.011,0.258,0.612905161,5.75,4,0.411,0.422,0.164
T53,"Theegala, Sahith",1,3,-0.61,277.975,0.589285,1.285,0.6527775,29.815002,61.98075385,0.097,-0.36,0.571429286,4.75,4.5,0.411,0.314,0.675
T53,"Smalley, Alex",1,4,-0.615,270.9122807,0.6785725,0.805,0.680555,35.18590769,39.88334,0.864,-0.644,0.482758966,4.5,4.25,0.411,-0.453,0.191
T53,"Hisatsune, Ryo",1,-1,0.701,283.3,0.69643,0.493,0.6805575,35.58664,43.5606,-0.757,-0.027,0.600003667,3,2.5,0.411,1.168,1.195
T53,"Brennan, Michael",1,1,0.812,294.275,0.5178575,-0.691,0.583335,34.00178936,72.03332667,-0.488,0.778,0.628571143,4,4.5,0.411,0.899,0.121
T59,"Griffin, Ben",2,-1,0.244,284.325,0.5,0.727,0.625,29.50848776,58.34999333,-0.731,-0.079,0.593749063,2.75,2.75,0.161,0.892,0.97
T59,"Taylor, Nick",2,1,-0.857,271.8,0.5178575,-0.054,0.5416675,32.50001224,56.16112,1.686,-0.613,0.599998,3.75,3,0.161,-1.525,-0.911
T59,"Potgieter, Aldrich",2,0,1.035,311.825,0.3392825,-0.978,0.5972225,37.85270698,60.38403478,0.681,-0.577,0.567571081,7,4.5,0.161,-0.52,0.057
T59,"Lee, Min Woo",2,0,0.393,290.675,0.4464275,-0.479,0.625,29.9218625,59.55391176,0.544,-0.297,0.575758182,5.5,5,0.161,-0.383,-0.086
T59,"Keefer, Johnny",2,3,-0.994,280.1824561,0.4821425,0.157,0.694445,32.83169808,59.7037,0.47,0.527,0.652175652,2.75,3.5,0.161,-0.309,-0.836
T59,"Kataoka, Naoyuki",2,1,-1.78,281.2833333,0.4821425,-0.242,0.5833325,29.98936809,56.03072632,1.401,0.781,0.727272121,4,3.5,0.161,-1.24,-2.021
T65,"Thomas, Justin",3,6,-0.493,286.7,0.5892875,0.483,0.583335,33.71381698,51.82693846,-0.311,0.231,0.617650294,5,4.75,-0.089,0.221,-0.01
T65,"Uihlein, Peter",3,0,-0.811,292.3,0.4107125,-0.489,0.555555,36.36168511,40.34582,-0.026,1.237,0.66666641,4.25,4.25,-0.089,-0.063,-1.3
T67,"Straka, Sepp",4,2,-0.371,276.925,0.4999975,-0.32,0.555555,35.1560234,49.91175294,0.17,0.181,0.540542432,3.75,4.25,-0.339,-0.51,-0.691
T67,"Echavarria, Nico",4,7,-0.179,285.175,0.4464275,-0.772,0.5555575,35.69556735,76.03332,0.147,0.465,0.684211579,3.5,4,-0.339,-0.486,-0.951
T69,"Hatton, Tyrrell",5,4,0.436,301.9,0.42857,-0.856,0.5833325,34.53048049,63.55450385,-0.239,0.07,0.526317632,5,3.75,-0.589,-0.35,-0.42
T69,"Sullivan, Andy",5,3,-0.094,282.325,0.625,0.876,0.625,28.68476957,44.57815,-0.843,-0.527,0.533331667,2.5,4.5,-0.589,0.254,0.782
T71,"Daffue, MJ",6,5,0.388,305.7315789,0.4464275,0.003,0.680555,30.88517333,53.62964444,-1.155,-0.075,0.444443889,6,5.5,-0.839,0.316,0.392
T71,"Fitzpatrick, Alex",6,7,0.406,298.075,0.392855,0.763,0.694445,28.583325,48.65276667,-2.505,0.497,0.533332333,3.25,4,-0.839,1.666,1.169
T71,"Canter, Laurie",6,2,-0.544,279.8,0.5178575,-0.214,0.597225,36.38676923,65.24583,0.319,-0.4,0.523808333,4.25,5.5,-0.839,-1.158,-0.759
T74,"Bradley, Keegan",7,2,-0.194,283.425,0.4107125,0.744,0.6527775,30.83331087,42.43137059,-1.048,-0.591,0.499998214,2.75,4,-1.089,-0.041,0.551
T74,"Higa, Kazuki",7,4,0.074,285.85,0.5178575,-0.25,0.625,35.91666383,57.07778,-0.912,-0.001,0.606060606,3,4.25,-1.089,-0.177,-0.176
T74,"Plunkett, Marcus",7,5,0.838,289.8,0.535715,-2.226,0.5138875,40.99317755,83.74167,0.631,-0.332,0.630432826,4.75,4.25,-1.089,-1.72,-1.387
77,"McDonald, Jack",8,4,-0.248,290.1,0.55357,-0.287,0.597225,35.13424074,48.05768462,-0.668,-0.136,0.566666,2.5,5.25,-1.339,-0.671,-0.534
78,"Svensson, Jesper",9,3,0.472,302.7719298,0.4107125,-1.21,0.5555575,37.711636,64.9833,-0.897,0.045,0.54999925,4.25,4.25,-1.589,-0.692,-0.738
CUT,"Smith, Cameron",2,null,-0.352,275.55,0.392855,0.59,0.555555,28.73810476,72.94445,0.557,-0.903,0.5,2.5,4.5,-0.108,-0.665,0.237
CUT,"Novak, Andrew",2,null,0.549,291.7,0.464285,0.36,0.63889,28.790016,40.87964444,-0.923,-0.094,0.533336,4.5,5,-0.108,0.816,0.909
CUT,"Rai, Aaron",2,null,0.23,280.6,0.607145,-0.111,0.61111,34.12822308,49.36907143,-0.171,-0.055,0.733334,2.5,3,-0.108,0.063,0.118
CUT,"Poston, J.T.",2,null,-0.434,269.7,0.5,-0.76,0.555555,38.09473636,58.58333333,1.45,-0.364,0.684208421,4,4,-0.108,-1.558,-1.195
CUT,"English, Harris",2,null,0.514,275.75,0.714285,0.197,0.694445,32.89506667,75.59725,-0.554,-0.263,0.466664,3,4,-0.108,0.447,0.71
CUT,"Stevens, Sam",2,null,-0.921,268.15,0.464285,0.056,0.666665,36.04713043,50.21294444,0.271,0.485,0.69231,2.5,2,-0.108,-0.38,-0.865
CUT,"Knapp, Jake",2,null,0.064,278.55,0.464285,0.123,0.63889,32.92031304,78.325,-0.916,0.621,0.470588235,2,2,-0.108,0.807,0.187
CUT,"Horschel, Billy",2,null,-0.699,264.6,0.57143,0.982,0.583335,33.736648,33.90276667,-0.492,0.101,0.5624975,2.5,3,-0.108,0.385,0.284
CUT,"Stenson, Henrik",2,null,1.057,269.2,0.785715,0.748,0.72222,33.72396563,31.52085,-1.678,-0.236,0.545453636,3.5,3,-0.108,1.571,1.806
CUT,"Wiesberger, Bernd",2,null,-0.581,266.25,0.464285,-1.837,0.527775,35.019976,72.53475,1.291,1.018,0.63158,5,4,-0.108,-1.399,-2.417
CUT,"Hojgaard, Nicolai",2,null,0.615,292.7,0.5,-0.132,0.555555,37.09725,76.39287143,-0.504,-0.087,0.5,4,5,-0.108,0.396,0.483
CUT,"Valimaki, Sami",2,null,-0.58,272.8,0.607145,-0.363,0.527775,30.6805625,69.13092857,0.837,-0.002,0.7500005,4.5,4,-0.108,-0.945,-0.943
CUT,"McCarty, Matt",2,null,-1.058,267.5,0.535715,-0.529,0.52778,32.8013,74.16664,2.349,-0.869,0.625,3,3,-0.108,-2.457,-1.587
CUT,"Rozner, Antoine",2,null,-0.446,272.7,0.607145,-0.217,0.66667,35.84936923,58.69045714,0.685,-0.13,0.571428571,4,2.5,-0.108,-0.793,-0.663
CUT,"Hillier, Daniel",2,null,1.082,278.8,0.785715,0.179,0.694445,34.39445,40.3333,-0.582,-0.787,0.5,4,4,-0.108,0.473,1.261
CUT,"McKibbin, Tom",2,null,0.178,282.75,0.392855,-1.627,0.52778,42.9203,91.9896,1.276,0.065,0.666669167,3,4,-0.108,-1.385,-1.449
CUT,"Schaper, Jayden",2,null,0.356,271.5,0.64286,0.271,0.63889,37.5506,61.31664,-0.772,0.036,0.600002,4,4.5,-0.108,0.665,0.627
CUT,"Howell, Mason",2,null,-0.325,295.75,0.392855,0.797,0.666665,25.4528913,51.18335,-0.261,-0.319,0.6250025,7,5.5,-0.108,0.153,0.471
CUT,"Lagergren, Joakim",2,null,0.109,296.75,0.39286,0.165,0.61111,34.17982105,51.58329091,-0.095,-0.288,0.473683158,4.5,2,-0.108,-0.012,0.275
CUT,"Rose, Justin",3,null,0.209,284.05,0.464285,-0.022,0.61111,34.04588,36.37502,0.885,-1.68,0.428574286,2.5,3.5,-0.608,-1.493,0.188
CUT,"McNealy, Maverick",3,null,0.464,283.3,0.57143,-1.207,0.583335,37.91025385,57.20237143,0.874,-0.739,0.647060588,4,4,-0.608,-1.482,-0.742
CUT,"Clark, Wyndham",3,null,0.603,301.95,0.35714,-0.932,0.472225,28.17159412,46.45556667,-0.309,0.029,0.538461538,5,5,-0.608,-0.299,-0.329
CUT,"Kim, Tom",3,null,-1.395,263.95,0.464285,1.918,0.611115,27.726225,79.375,-0.817,-0.316,0.454542727,3,3.5,-0.608,0.209,0.523
CUT,"Mitchell, Keith",3,null,0.828,299.2,0.392855,0.613,0.694445,32.48807143,56.72498,-0.792,-1.256,0.352940588,4.5,3.5,-0.608,0.184,1.441
CUT,"Smyth, Trav",3,null,-1.018,275,0.35714,-0.096,0.52778,31.5317381,49.93055,-0.049,0.554,0.684212105,2.5,3.5,-0.608,-0.559,-1.114
CUT,"Ayora, Angel",3,null,-0.297,302.9241379,0.464285,1.306,0.75,33.30004,51.12880909,-1.377,-0.241,0.454547273,4,4,-0.608,0.769,1.01
CUT,"Nakajima, Keita",3,null,-0.085,275,0.607145,-0.814,0.63889,35.04024828,57.56664,-0.503,0.793,0.571428571,4.5,3,-0.608,-0.105,-0.899
CUT,"Nagano, Ryutaro",3,null,0.028,309.75,0.42857,-1.424,0.55556,42.45075455,55.881975,0.581,0.208,0.75,4.5,3.5,-0.608,-1.188,-1.396
CUT,"Howard, David",3,null,0.367,306.6,0.392855,-2.308,0.5,38.55698421,66.64998,1.169,0.163,0.739133913,7,5,-0.608,-1.777,-1.94
CUT,"Day, Jason",4,null,0.87,284.2,0.64286,-1.208,0.58333,40.20236071,76.11455,-1.796,1.027,0.647057059,4,5,-1.108,0.689,-0.338
CUT,"Bhatia, Akshay",4,null,-0.177,279.35,0.5,-1.354,0.611115,44.7742875,41.3,-0.248,0.672,0.62499875,3,4.5,-1.108,-0.86,-1.531
