"POS","PLAYER","TOTAL","R1","STROKES"
"1","Jackson Suber","-5","65","65"
"T2","Sungjae Im","-4","66","66"
"T2","Dan Brown","-4","66","66"
"T4","Thomas Detry","-3","67","67"
"T4","Robert MacIntyre","-3","67","67"
"T4","Francesco Molinari","-3","67","67"
"T4","Alex Smalley","-3","67","67"
"T4","Bryson DeChambeau","-3","67","67"
"T4","Ryan Gerard","-3","67","67"
"T4","MJ Daffue","-3","67","67"
"T4","Pierceson Coody","-3","67","67"
"T4","Cameron Young","-3","67","67"
"T13","Henrik Stenson","-2","68","68"
"T13","Jordan Smith","-2","68","68"
"T13","Victor Perez","-2","68","68"
"T13","Joakim Lagergren","-2","68","68"
"T13","Ryo Hisatsune","-2","68","68"
"T13","Scottie Scheffler","-2","68","68"
"T13","Si Woo Kim","-2","68","68"
"T13","Nick Taylor","-2","68","68"
"T13","Sepp Straka","-2","68","68"
"T13","Bud Cauley","-2","68","68"
"T13","Collin Morikawa","-2","68","68"
"T24","Alex Fitzpatrick","-1","69","69"
"T24","Matthew Southgate","-1","69","69"
"T24","Ben Griffin","-1","69","69"
"T24","Tyrrell Hatton","-1","69","69"
"T24","Tommy Fleetwood","-1","69","69"
"T24","Jon Rahm","-1","69","69"
"T24","Antoine Rozner","-1","69","69"
"T24","Matt Wallace","-1","69","69"
"T24","Laurie Canter","-1","69","69"
"T24","Kurt Kitayama","-1","69","69"
"T24","Shaun Norris","-1","69","69"
"T24","Keegan Bradley","-1","69","69"
"T24","Aldrich Potgieter","-1","69","69"
"T24","Kristoffer Reitan","-1","69","69"
"T24","Shane Lowry","-1","69","69"
"T39","Andy Sullivan","E","70","70"
"T39","Michael Thorbjornsen","E","70","70"
"T39","Min Woo Lee","E","70","70"
"T39","Russell Henley","E","70","70"
"T39","Viktor Hovland","E","70","70"
"T39","Justin Thomas","E","70","70"
"T39","Kazuma Kobori","E","70","70"
"T39","Jack McDonald","E","70","70"
"T39","Eugenio Chacarra","E","70","70"
"T39","Sami Valimaki","E","70","70"
"T39","Tom Kim","E","70","70"
"T39","Johnny Keefer","E","70","70"
"T39","Jayden Schaper","E","70","70"
"T39","Lucas Herbert","E","70","70"
"T39","Chris Gotterup","E","70","70"
"T39","J.J. Spaun","E","70","70"
"T39","Brooks Koepka","E","70","70"
"T39","Jacob Bridgeman","E","70","70"
"T39","Cameron John","E","70","70"
