position,player_name,course,score,thru,today,sg_ott,distance,accuracy,sg_app,gir,prox_fw,prox_rgh,sg_putt,sg_arg,scrambling,great_shots,poor_shots,sg_total,sg_t2g,sg_bs
1,"Herbert, Lucas",AN,-8,18,-8,0.385,278.65,0.5,1.26,0.722225,30.863352000000003,44.78703333333333,1.75,1.5,0.6923115384615384,5,3.5,4.895,3.145,1.645
T2,"Suber, Jackson",AN,-6,18,-1,-0.43999999999999995,283.4,0.5,1.63,0.6666650000000001,29.427513043478257,54.69444444444444,1.6199999999999999,1.08,0.6666650000000001,6.5,4.5,3.8950000000000005,2.27,1.19
T2,"Young, Cameron",AN,-6,18,-3,1.1400000000000001,299.45000000000005,0.5357149999999999,1.77,0.777775,25.8025,37.8,0.6649999999999999,0.32,0.5454563636363636,5,2.5,3.8950000000000005,3.225,2.91
T2,"Gerard, Ryan",AN,-6,18,-3,1.05,285.29999999999995,0.67857,0.5000000000000001,0.58333,34.58975384615385,23.950000000000003,1.025,1.315,0.7894721052631578,5,2,3.8950000000000005,2.8699999999999997,1.55
T5,"Burns, Sam",AN,-5,18,-8,0.61,280.8,0.607145,1.255,0.6666650000000001,33.285257692307695,31.20835,0.5150000000000001,1.0150000000000001,0.6428557142857143,5.5,2,3.3949999999999996,2.8800000000000003,1.8649999999999998
T5,"DeChambeau, Bryson",AN,-5,18,-2,1.025,311.7,0.42857,1.685,0.83333,29.41662857142857,42.53336,-0.595,1.275,0.6923115384615384,8.5,3.5,3.3950000000000005,3.9800000000000004,2.71
T5,"Kim, Si Woo",AN,-5,18,-3,0.155,277.4,0.607145,1.05,0.6666650000000001,31.125015384615384,59.38332,0.975,1.215,0.8461507692307693,4,3,3.395,2.42,1.205
T8,"Wallace, Matt",AN,-4,18,-3,1.17,280.70000000000005,0.57143,-0.41500000000000004,0.63889,35.856313793103446,89.96875,1.3499999999999999,0.78,0.6428557142857143,5.5,1.5,2.895,1.54,0.755
T8,"Cauley, Bud",AN,-4,18,-2,-0.89,266.4,0.392855,1.31,0.694445,31.66302608695652,43.716649999999994,2.085,0.39,0.8461507692307693,3.5,1,2.895,0.81,0.42
T8,"Detry, Thomas",AN,-4,18,-1,0.38499999999999995,287.1,0.607145,0.5549999999999999,0.75,30.478377777777773,79.76386666666666,2.04,-0.09,0.6000000000000001,5.5,3,2.8950000000000005,0.85,0.945
T8,"MacIntyre, Robert",AN,-4,18,-1,0.47,270.20000000000005,0.67857,0.47,0.6666650000000001,36.08971923076923,43.2667,1.2449999999999999,0.6950000000000001,0.7333353333333333,4.5,1,2.8950000000000005,1.645,0.9450000000000001
T8,"Fitzpatrick, Alex",AN,-4,18,-3,1.29,294.15,0.42857,0.5599999999999999,0.7777799999999999,28.548604166666664,61.98609999999999,-0.655,1.695,0.6923076923076924,5,2,2.895,3.545,1.85
