position,player_name,course,score,thru,today,sg_ott,distance,accuracy,sg_app,gir,prox_fw,prox_rgh,sg_putt,sg_arg,scrambling,great_shots,poor_shots,sg_total,sg_t2g,sg_bs
1,"Herbert, Lucas",AN,-8,18,-8,1.21,293.5,0.5,1.71,0.77778,32.3526,26.1042,3.32,2.11,0.66667,8,3,8.35,5.03,2.92
T2,"Suber, Jackson",AN,-6,18,-1,-0.47,284,0.5,1.07,0.72222,25.2583,60.95,0.19,0.55,0.4,6,5,1.35,1.15,0.6
T2,"Young, Cameron",AN,-6,18,-3,1.23,303.6,0.64286,2.36,0.83333,25.8155,22.5,-0.34,0.1,0.4,4,2,3.35,3.68,3.59
T2,"Gerard, Ryan",AN,-6,18,-3,0.5,291.9,0.5,-1.43,0.44444,43.45,23.1875,1.63,2.65,0.84615,5,2,3.35,1.72,-0.93
T5,"Burns, Sam",AN,-5,18,-8,0.15,275.5,0.5,2.4,0.61111,28.9697,28.7167,2.99,2.81,0.875,8,1,8.35,5.36,2.55
T5,"DeChambeau, Bryson",AN,-5,18,-2,-0.1,313.5,0.57143,1.05,0.83333,29.5833,36.7292,0.11,1.28,0.66667,8,3,2.35,2.23,0.95
T5,"Kim, Si Woo",AN,-5,18,-3,-0.19,273.9,0.71429,1.47,0.61111,27.5625,36.9722,0.74,1.33,0.85714,3,3,3.35,2.61,1.28
T8,"Wallace, Matt",AN,-4,18,-3,0.72,279.6,0.57143,0.06,0.66667,43.3214,53.25,1.88,0.68,0.5,4,1,3.35,1.47,0.78
T8,"Cauley, Bud",AN,-4,18,-2,-0.3,266.5,0.5,0.9,0.72222,32.6282,46.4722,0.73,1.02,0.83333,4,1,2.35,1.62,0.6
T8,"Detry, Thomas",AN,-4,18,-1,-0.67,283.6,0.57143,0.39,0.66667,34.1218,61.9583,1.66,-0.03,0.5,5,5,1.35,-0.32,-0.28
T8,"MacIntyre, Robert",AN,-4,18,-1,-0.03,272.3,0.57143,0.31,0.61111,32.1742,42.6042,0.59,0.47,0.75,3,1,1.35,0.76,0.28
T8,"Fitzpatrick, Alex",AN,-4,18,-3,0.63,292.4,0.28571,1.21,0.66667,24.7727,70.4375,-1.17,2.68,0.875,5,1,3.35,4.52,1.84
T8,"Molinari, Francesco",AN,-4,18,-1,0.5,266,0.71429,-2.6,0.66667,32.1667,85.8889,0.26,3.18,0.66667,6,3,1.35,1.09,-2.09
T8,"Scheffler, Scottie",AN,-4,18,-2,1.27,298.3,0.57143,2.79,0.88889,26.1667,20.5167,-2,0.28,0.8,2,1,2.35,4.34,4.06
T8,"Fleetwood, Tommy",AN,-4,18,-3,0.65,274.7,0.71429,2.21,0.77778,28.1786,88.6389,0.34,0.15,0.75,4,3,3.35,3.01,2.86
T8,"Rahm, Jon",AN,-4,18,-3,0.78,302,0.5,3.43,0.72222,25.0303,51.5119,-1.28,0.41,0.6,6,6,3.35,4.63,4.22
T17,"Coody, Pierceson",AN,-3,18,0,0.7,266.4,0.64286,-0.11,0.61111,37.1458,93,-0.25,0.01,0.5,4,3,0.35,0.6,0.59
T17,"Spaun, J.J.",AN,-3,18,-3,1.04,281.4,0.57143,1.33,0.83333,27.4107,36.5833,0.95,0.03,1,4,1,3.35,2.4,2.37
T17,"Lowry, Shane",AN,-3,18,-2,1.37,295.6,0.57143,1.3,0.72222,24.6607,140.8056,0.06,-0.38,0.5,4,1,2.35,2.29,2.67
T17,"Aberg, Ludvig",AN,-3,18,-4,0.52,297.6,0.35714,1.31,0.66667,23.9167,56.7917,1.98,0.54,0.66667,9,2,4.35,2.36,1.83
T17,"John, Cameron",AN,-3,18,-3,0.58,291.5,0.5,1.38,0.61111,31.0449,67.6667,1.35,0.03,0.875,8,3,3.35,2,1.97
T17,"Brown, Dan",AN,-3,18,1,-0.21,292.3,0.42857,0.9,0.61111,31.2273,43.3889,-0.95,-0.39,0.57143,4,4,-0.65,0.3,0.69
T17,"Perez, Victor",AN,-3,18,-1,-0.27,273.5,0.42857,-0.13,0.55556,35.9318,84.5278,-0.25,2,0.75,3,3,1.35,1.6,-0.4
T17,"Hatton, Tyrrell",AN,-3,18,-2,-0.17,292.2,0.35714,1.73,0.77778,25.2917,45.0972,-1.11,1.89,0.66667,6,3,2.35,3.45,1.56
T25,"Straka, Sepp",AN,-2,18,0,-2.75,270.9,0.35714,0.33,0.5,35.0682,50.9583,1.95,0.82,0.625,5,4,0.35,-1.6,-2.42
T25,"Conners, Corey",AN,-2,18,-3,-0.72,274.6,0.5,2.82,0.66667,14.7417,49.7024,1.59,-0.35,0.5,7,3,3.35,1.76,2.11
T25,"Keefer, Johnny",AN,-2,18,-2,-0.25,275.1,0.57143,0.99,0.72222,36.494,43.875,2.19,-0.58,0.5,3,2,2.35,0.16,0.74
T25,"Reed, Patrick",AN,-2,18,-4,-0.23,274.8,0.64286,4.48,0.88889,14.6288,30.1167,0.96,-0.85,0.33333,9,6,4.35,3.39,4.24
T25,"Gotterup, Chris",AN,-2,18,-2,-0.89,288,0.42857,1.35,0.66667,32.5,65.1042,2.43,-0.55,0.5,8,2,2.35,-0.08,0.46
T25,"Scott, Adam",AN,-2,18,-4,0.58,285.2,0.64286,2.79,0.72222,30.6389,15.4167,2.9,-1.93,0.66667,7,3,4.35,1.45,3.38
T25,"Morikawa, Collin",AN,-2,18,0,0.27,261.1,0.85714,0.79,0.72222,29.4948,153,1.07,-1.78,0.33333,5,2,0.35,-0.72,1.06
T25,"Neergaard-Petersen, Rasmus",AN,-2,18,-4,1.3,294.1,0.57143,2.97,0.77778,40.2569,34.7083,0.12,-0.04,0.4,6,2,4.35,4.23,4.26
T25,"Echavarria, Nico",AN,-2,18,-3,0.75,291,0.57143,-0.55,0.55556,35.9872,63.4167,1.08,2.07,0.8,7,4,3.35,2.27,0.2
T25,"Southgate, Matthew",AN,-2,18,-1,-0.22,264.6,0.71429,1,0.66667,37.744,28.7083,0.95,-0.39,0.71429,4,2,1.35,0.39,0.78
T25,"Im, Sungjae",AN,-2,18,2,0.49,280.4,0.57143,-1.57,0.61111,42.9231,36.3056,0.45,-1.02,0.5,2,2,-1.65,-2.1,-1.08
T25,"Smith, Jordan",AN,-2,18,0,0.39,278.1,0.64286,-0.32,0.66667,34.7986,81,0.91,-0.64,0.625,3,2,0.35,-0.56,0.07
T25,"Thorbjornsen, Michael",AN,-2,18,-2,-0.04,273.1,0.57143,1.3,0.77778,29.7014,36.2833,0.67,0.42,1,4,0,2.35,1.68,1.26
T38,"Parry, John",AN,-1,18,-2,1.86,280.7,0.92857,0.33,0.72222,35.2031,22.1667,-0.06,0.22,0.6,4,0,2.35,2.41,2.19
T38,"Norris, Shaun",AN,-1,18,0,-0.77,276.1,0.64286,2.01,0.77778,24.6833,69.4167,-0.67,-0.23,0.5,3,3,0.35,1.02,1.25
T38,"Svensson, Jesper",AN,-1,18,-4,3.52,308.7,0.64286,-1.09,0.61111,35.7179,56.7708,1.35,0.57,0.77778,5,1,4.35,3,2.43
T38,"McIlroy, Rory",AN,-1,18,-3,3.32,317.1,0.57143,-0.92,0.77778,33.1667,41.8333,0.4,0.54,0.66667,6,2,3.35,2.95,2.41
