"HOLE","YARDS","AVG","RANK","+/-","EAGLES","BIRDIES","PARS","BOGEYS","DBL+"
"1","447","4.187","4","+0.187","0","23","92","31","9"
"2","419","3.794","16","-0.206","1","45","95","13","1"
"3","450","4.084","6","+0.084","0","20","110","19","6"
"4","219","3.045","7","+0.045","0","24","101","29","1"
"5","321","3.774","17","-0.226","3","48","90","10","4"
"6","514","4.348","2","+0.348","0","9","89","52","5"
"7","151","3.045","7","+0.045","0","17","117","18","3"
"8","459","4.000","12","0.000","0","28","100","26","1"
"9","414","3.974","13","-0.026","0","27","105","23","0"
"","34","3394","34.251","-","+0.251","4","241","899","221"
"10","397","3.897","14","-0.103","1","29","112","12","1"
"11","434","4.006","11","+0.006","0","24","109","20","2"
"12","186","3.039","9","+0.039","0","20","111","22","2"
"13","502","4.155","5","+0.155","0","19","96","37","3"
"14","602","4.839","15","-0.161","3","46","83","20","3"
"15","241","3.219","3","+0.219","0","15","95","41","4"
"16","393","4.019","10","+0.019","0","28","98","28","1"
"17","566","4.561","18","-0.439","9","63","74","7","2"
"18","508","4.361","1","+0.361","0","12","79","61","3"
"","36","3829","36.096","-","+0.096","13","256","857","248"
"","70","7223","70.347","-","+0.347","17","497","1756","469"
