time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,proximity (ft),"Koivun, Jackson",23,23,97,19.7,126,25.8,54,38.2,32,41.4,30,70.5
l12_months,proximity (ft),"Kim, Si Woo",105,16.2,308,18.9,507,25.9,293,38.8,124,39,134,64.2
l12_months,proximity (ft),"Hovland, Viktor",75,16.6,229,17.6,393,26,224,46.4,87,39,121,62.5
l12_months,proximity (ft),"Spaun, J.J.",103,15.3,356,20.7,490,26.4,229,40.1,121,33.6,126,66.9
l12_months,proximity (ft),"Casey, Paul",43,17.5,158,19.7,186,26.4,105,41.5,71,45.2,62,50.8
l12_months,proximity (ft),"Buckley, Hayden",15,18.3,53,20.6,78,26.8,null,null,26,33.5,null,null
l12_months,proximity (ft),"Reed, Patrick",34,15.7,91,19.6,117,27,59,44.3,39,35.4,51,67.9
l12_months,proximity (ft),"Scheffler, Scottie",112,14.7,324,19.4,454,27.4,235,41.5,118,38.3,135,56.4
l12_months,proximity (ft),"Sigg, Greyson",13,14.7,79,20.1,80,27.4,null,null,23,40.1,24,53.3
l12_months,proximity (ft),"Scott, Adam",59,12.4,213,19.9,309,27.7,161,42.1,80,38.6,124,63.2
l12_months,proximity (ft),"Bhatia, Akshay",88,16.9,268,19.1,407,27.9,214,44.4,152,37.1,159,51.5
l12_months,proximity (ft),"Molinari, Francesco",null,null,56,19,92,27.9,40,39,12,45.4,null,null
l12_months,proximity (ft),"Young, Cameron",96,14.6,356,20.2,404,27.9,239,43.5,146,32.3,129,56.5
l12_months,proximity (ft),"Fitzpatrick, Matt",70,12.8,280,19.9,433,27.9,212,46.3,77,37.2,117,58.2
l12_months,proximity (ft),"Rahm, Jon",79,15.8,247,21.6,299,28.1,173,37,151,36.4,96,56.3
l12_months,proximity (ft),"James, Ben",29,22.4,107,22.2,158,28.2,79,40.6,34,41.8,28,85.5
l12_months,proximity (ft),"Duncan, Tyler",18,14.6,86,21.6,86,28.2,59,58.7,18,43.5,21,70.6
l12_months,proximity (ft),"Conners, Corey",80,18,374,18.7,527,28.2,269,41.4,122,36.7,147,63.3
l12_months,proximity (ft),"Kitayama, Kurt",101,18.4,331,20.1,452,28.2,211,41.9,122,38,173,53.3
l12_months,proximity (ft),"Matsuyama, Hideki",92,14.8,329,20.3,495,28.3,263,40.9,149,37.6,189,59.2
l12_months,proximity (ft),"Gordon, Will",22,23.3,89,21.8,133,28.3,67,45.5,39,44.1,41,66.7
l12_months,proximity (ft),"Straka, Sepp",79,15.9,243,19.3,397,28.4,197,43.8,94,37.2,132,65.9
l12_months,proximity (ft),"Koepka, Brooks",64,12.9,199,22.6,254,28.4,127,42.5,113,39.9,102,50
l12_months,proximity (ft),"Henley, Russell",97,16.1,304,18.7,475,28.4,230,46.5,91,34.7,96,64.8
l12_months,proximity (ft),"Novak, Andrew",125,17.2,264,22.4,482,28.5,239,46.5,148,43.9,185,56.2
l12_months,proximity (ft),"Jarvis, Casey",26,11.5,76,20.6,129,28.6,61,53,32,39.6,43,61.8
l12_months,proximity (ft),"Fitzpatrick, Alex",44,17.6,111,17.3,190,28.6,101,40.2,50,32.8,50,67
l12_months,proximity (ft),"Herbert, Lucas",58,15.7,190,23.1,222,28.7,137,42.2,144,39.1,83,51.5
l12_months,proximity (ft),"Bridgeman, Jacob",98,17.3,364,19.3,506,28.7,271,49.2,135,39.4,170,59.7
l12_months,proximity (ft),"DeChambeau, Bryson",73,17.2,205,22.5,236,28.7,149,39.8,112,37.5,85,61.4
l12_months,proximity (ft),"Smyth, Trav",25,18.9,85,24.8,78,28.8,45,45.1,60,35.2,48,62.3
l12_months,proximity (ft),"Morikawa, Collin",71,14.5,262,18.8,397,28.8,193,41,90,40.5,93,62.5
l12_months,proximity (ft),"Schauffele, Xander",64,15.6,259,20.2,397,28.8,193,41.2,124,37.3,133,54.8
l12_months,proximity (ft),"Kim, Anthony",51,15.9,189,20.7,223,28.9,119,45.2,110,34.1,77,66.3
l12_months,proximity (ft),"Rose, Justin",70,13.7,225,19.3,348,28.9,200,47.4,85,29.9,121,63.9
l12_months,proximity (ft),"Berger, Daniel",80,13.8,233,20.5,391,28.9,207,42.4,96,38.1,135,59.6
l12_months,proximity (ft),"Smylie, Elvis",40,16.9,158,20.8,208,29,100,49.2,69,39.3,67,65.6
l12_months,proximity (ft),"Valimaki, Sami",29,19,165,22.6,260,29,99,42.4,63,32.3,95,57.1
l12_months,proximity (ft),"Lowry, Shane",85,14.7,276,19.7,365,29,190,43.3,101,34.3,131,62.2
l12_months,proximity (ft),"Taylor, Nick",104,17.4,346,20.6,496,29.1,262,46.8,147,34,160,62.5
l12_months,proximity (ft),"Munoz, Sebastian",68,20.2,208,20.8,223,29.1,131,48.5,76,40,58,63.7
l12_months,proximity (ft),"Cantlay, Patrick",87,15.4,265,18.9,394,29.1,210,42.3,135,38.4,122,64.7
l12_months,proximity (ft),"Mullinax, Trey",22,13.7,58,24.1,88,29.2,40,51.7,46,38,26,41.9
l12_months,proximity (ft),"Bramlett, Joseph",null,null,null,null,54,29.2,null,null,21,39.7,null,null
l12_months,proximity (ft),"Endycott, Harrison",13,26.4,47,21,62,29.2,null,null,18,52.5,null,null
l12_months,proximity (ft),"Glover, Lucas",95,13.8,281,20.5,387,29.2,194,47.1,85,36.2,111,58.2
l12_months,proximity (ft),"Eckroat, Austin",76,20.3,238,20.3,338,29.2,155,43,120,37.3,116,56.8
l12_months,proximity (ft),"Meissner, Mac",86,18.5,322,20.6,419,29.2,193,43.5,123,38.1,153,56.4
l12_months,proximity (ft),"Cauley, Bud",100,16.8,283,20.1,441,29.2,211,43.4,115,45.5,163,60
l12_months,proximity (ft),"Echavarria, Nico",88,17.7,284,20.8,423,29.3,206,51.3,127,32.9,143,52.1
l12_months,proximity (ft),"McIlroy, Rory",53,16.4,197,20.7,232,29.3,135,37,125,41.8,93,56.2
l12_months,proximity (ft),"Rai, Aaron",55,24.1,240,20.1,365,29.3,183,44.5,56,37.9,68,71.7
l12_months,proximity (ft),"Grillo, Emiliano",66,18.1,296,20.6,424,29.3,208,44.6,103,39.7,101,55.4
l12_months,proximity (ft),"Smotherman, Austin",59,17.7,190,19.9,351,29.3,139,41.6,73,38.1,91,58.6
l12_months,proximity (ft),"McCarty, Matt",113,13.8,276,21.9,441,29.3,202,45,125,37.5,140,61
l12_months,proximity (ft),"Brown, Blades",29,17.6,114,22.1,133,29.4,67,43.4,32,35.1,42,63.5
l12_months,proximity (ft),"Niemann, Joaquin",74,18,229,22.7,244,29.4,152,42.3,118,36.1,75,50.4
l12_months,proximity (ft),"Oosthuizen, Louis",50,19.1,192,22.2,196,29.4,110,48.3,65,35.1,62,56.2
l12_months,proximity (ft),"Gerard, Ryan",79,17.8,342,19.4,492,29.4,227,40.2,118,34.3,153,57.5
l12_months,proximity (ft),"Rosenmueller, Thomas",40,16.7,97,20.9,111,29.4,70,43.5,51,36.9,28,53.1
l12_months,proximity (ft),"Woodland, Gary",98,17.8,225,21,343,29.5,177,42.9,131,39.6,117,62.6
l12_months,proximity (ft),"Champ, Cameron",30,22.4,90,27.3,109,29.5,63,45.2,43,46.4,26,65.6
l12_months,proximity (ft),"Hojgaard, Nicolai",83,15.9,241,19.6,327,29.5,171,43.7,140,41.6,149,58.7
l12_months,proximity (ft),"Keefer, Johnny",107,16,304,19.5,392,29.5,177,44.9,153,36.5,127,61.7
l12_months,proximity (ft),"Lebioda, Hank",53,16.1,197,23,275,29.5,129,49,88,39.5,106,64.3
l12_months,proximity (ft),"Mitchell, Keith",127,17.1,272,22.3,366,29.6,213,43.1,208,38.8,138,57.7
l12_months,proximity (ft),"Fowler, Rickie",73,17.7,295,20.8,400,29.6,198,45.4,111,35.6,141,59.9
l12_months,proximity (ft),"Lipsky, David",59,16.8,205,22.6,311,29.6,156,48.3,95,43.5,107,69.9
l12_months,proximity (ft),"Cole, Eric",66,17.4,248,20.2,378,29.6,180,44.9,181,38.5,174,51.6
l12_months,proximity (ft),"Johnson, Dustin",77,19.1,238,22.7,272,29.7,155,45.5,116,36.9,114,63.6
l12_months,proximity (ft),"Velo, Kevin",14,14.4,null,null,56,29.7,null,null,31,38.3,null,null
l12_months,proximity (ft),"Lee, Richard",51,16.8,187,23.8,176,29.7,91,51.2,74,36,56,65.6
l12_months,proximity (ft),"Li, Haotong",85,17.8,209,22.2,262,29.7,136,45,103,39.6,99,57.4
l12_months,proximity (ft),"Brown, Dan",61,13,129,20.9,221,29.7,107,38.8,83,36.3,73,65.1
l12_months,proximity (ft),"Aberg, Ludvig",77,17.2,287,18.8,392,29.8,192,41.9,127,36.2,114,61.3
l12_months,proximity (ft),"Steele, Brendan",47,17.6,215,21.3,225,29.8,128,43.7,82,44.2,67,62
l12_months,proximity (ft),"Fleetwood, Tommy",75,15.8,281,20.3,422,29.8,232,37.4,79,38.9,127,67.1
l12_months,proximity (ft),"Hoffman, Charley",30,18,92,24.3,146,29.8,74,44.9,48,40.1,52,57.8
l12_months,proximity (ft),"Cone, Trevor",18,23.6,48,23.1,52,29.8,null,null,24,40.9,null,null
l12_months,proximity (ft),"Kim, Tom",79,16.4,273,19.7,455,29.8,182,44.2,122,38.3,133,64.2
l12_months,proximity (ft),"Dunlap, Nick",59,18.7,169,21.6,242,29.9,120,44,100,40.1,96,64.2
l12_months,proximity (ft),"Hoge, Tom",128,16.8,333,19.4,487,29.9,238,41.6,162,34.2,180,57.4
l12_months,proximity (ft),"Parry, John",78,15.7,247,21.3,345,29.9,156,48.8,103,36.5,103,57.1
l12_months,proximity (ft),"Crowe, Trace",34,15.7,120,23.5,122,29.9,69,39.9,50,46.8,37,80.5
l12_months,proximity (ft),"Gotterup, Chris",138,15.8,349,21,414,29.9,244,48.1,182,36.3,198,63.3
l12_months,proximity (ft),"Ancer, Abraham",47,16.3,239,21.3,217,29.9,120,45.7,63,34.7,66,53.7
