time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,sg per shot,"Casey, Paul",43,0.029,158,0.036,186,0.073,105,0.067,71,-0.115,62,0.085
l12_months,sg per shot,"Spaun, J.J.",103,0.065,356,-0.001,490,0.071,229,0.076,121,0.074,126,0.06
l12_months,sg per shot,"Endycott, Harrison",13,-0.11,47,-0.025,62,0.071,null,null,18,-0.076,null,null
l12_months,sg per shot,"Kim, Si Woo",105,0.044,308,0.042,507,0.071,293,0.091,124,-0.012,134,0.005
l12_months,sg per shot,"Koivun, Jackson",23,-0.171,97,0.045,126,0.068,54,0.096,32,-0.006,30,-0.061
l12_months,sg per shot,"Molinari, Francesco",null,null,56,0.086,92,0.067,40,0.067,12,-0.256,null,null
l12_months,sg per shot,"Hovland, Viktor",75,0.064,229,0.065,393,0.058,224,-0.006,87,0.009,121,0.01
l12_months,sg per shot,"Scott, Adam",59,0.133,213,0.034,309,0.058,161,0.009,80,0,124,0.021
l12_months,sg per shot,"Niemann, Joaquin",74,0.042,229,-0.047,244,0.057,152,0.052,118,0.03,75,0.058
l12_months,sg per shot,"Reed, Patrick",34,0.025,91,0.048,117,0.057,59,0.054,39,0.056,51,-0.009
l12_months,sg per shot,"Smyth, Trav",25,-0.087,85,-0.088,78,0.055,45,0.031,60,0.047,48,-0.04
l12_months,sg per shot,"Duncan, Tyler",18,0.16,86,0.051,86,0.054,59,-0.071,18,-0.048,21,-0.092
l12_months,sg per shot,"Lebioda, Hank",53,0.081,197,-0.005,275,0.052,129,-0.012,88,0.028,106,-0.054
l12_months,sg per shot,"Redman, Doc",13,0.222,47,0.028,63,0.052,null,null,19,-0.015,null,null
l12_months,sg per shot,"Herbert, Lucas",58,0.037,190,-0.043,222,0.049,137,0.051,144,-0.007,83,0.058
l12_months,sg per shot,"Conners, Corey",80,0.002,374,0.051,527,0.048,269,0.048,122,0.026,147,-0.023
l12_months,sg per shot,"Rosenmueller, Thomas",40,0.025,97,0.017,111,0.048,70,0.041,51,0.022,28,0.138
l12_months,sg per shot,"Ford, David",28,-0.089,155,-0.022,190,0.046,80,0.047,48,0.006,51,-0.035
l12_months,sg per shot,"Bramlett, Joseph",null,null,null,null,54,0.046,null,null,21,0.006,null,null
l12_months,sg per shot,"Brown, Blades",29,-0.02,114,0.006,133,0.045,67,0.012,32,0.032,42,-0.006
l12_months,sg per shot,"Kitayama, Kurt",101,-0.03,331,0.029,452,0.045,211,0.048,122,-0.002,173,0.047
l12_months,sg per shot,"Rai, Aaron",55,-0.1,240,0.045,365,0.045,183,0.056,56,0.045,68,-0.079
l12_months,sg per shot,"Morikawa, Collin",71,0.08,262,0.059,397,0.045,193,0.089,90,0.036,93,0.022
l12_months,sg per shot,"Fitzpatrick, Matt",70,0.107,280,0.033,433,0.044,212,0.074,77,0.071,117,0.014
l12_months,sg per shot,"Cauley, Bud",100,0.074,283,0.02,441,0.044,211,0.033,115,-0.058,163,-0.002
l12_months,sg per shot,"Scheffler, Scottie",112,0.087,324,0.039,454,0.043,235,0.041,118,0.02,135,0.062
l12_months,sg per shot,"Garcia, Sergio",69,-0.022,204,-0.026,237,0.042,143,-0.055,97,0.073,67,0.024
l12_months,sg per shot,"Gordon, Will",22,-0.087,89,0.01,133,0.04,67,-0.026,39,-0.046,41,-0.032
l12_months,sg per shot,"Bridgeman, Jacob",98,0.003,364,0.065,506,0.04,271,-0.022,135,0.022,170,-0.011
l12_months,sg per shot,"Varner III, Harold",53,-0.091,169,-0.012,210,0.038,129,0.034,109,0.044,79,0.047
l12_months,sg per shot,"Cantlay, Patrick",87,0.035,265,0.06,394,0.037,210,0.036,135,0.005,122,0.019
l12_months,sg per shot,"Eckroat, Austin",76,-0.021,238,0.024,338,0.037,155,0.011,120,0.058,116,-0.046
l12_months,sg per shot,"Young, Cameron",96,0.07,356,0.031,404,0.036,239,0.006,146,0.108,129,0.033
l12_months,sg per shot,"Rahm, Jon",79,0.115,247,0.008,299,0.035,173,0.128,151,0.005,96,0.03
l12_months,sg per shot,"Steele, Brendan",47,-0.001,215,-0.002,225,0.035,128,0.032,82,-0.091,67,-0.027
l12_months,sg per shot,"Mitchell, Keith",127,0.039,272,0.004,366,0.035,213,0.012,208,0.023,138,0.005
l12_months,sg per shot,"Smotherman, Austin",59,0.041,190,0.036,351,0.035,139,0.067,73,0.051,91,0.032
l12_months,sg per shot,"Sigg, Greyson",13,0.125,79,0.04,80,0.034,null,null,23,0.007,24,0.069
l12_months,sg per shot,"Parry, John",78,0.022,247,-0.016,345,0.033,156,0.009,103,0.064,103,0.018
l12_months,sg per shot,"Keefer, Johnny",107,0.045,304,0.028,392,0.033,177,-0.035,153,0.044,127,0.004
l12_months,sg per shot,"Matsuyama, Hideki",92,0.089,329,0.041,495,0.031,263,0.051,149,0.035,189,-0.012
l12_months,sg per shot,"Henley, Russell",97,0.046,304,0.066,475,0.031,230,0.053,91,0.033,96,-0.035
l12_months,sg per shot,"Mullinax, Trey",22,0.101,58,-0.03,88,0.029,40,-0.037,46,0.042,26,0.121
l12_months,sg per shot,"Ancer, Abraham",47,0.053,239,0.017,217,0.028,120,0.016,63,0.035,66,0.061
l12_months,sg per shot,"Bhatia, Akshay",88,0.03,268,0.04,407,0.026,214,0.025,152,0.04,159,0.049
l12_months,sg per shot,"Wallace, Matt",68,0.115,175,-0.021,330,0.026,136,0.031,98,0.056,113,-0.03
l12_months,sg per shot,"Lipsky, David",59,0.057,205,-0.02,311,0.025,156,-0.042,95,-0.034,107,-0.074
l12_months,sg per shot,"Fitzpatrick, Alex",44,-0.01,111,0.082,190,0.025,101,0.038,50,0.103,50,0.016
l12_months,sg per shot,"Smylie, Elvis",40,0.008,158,-0.012,208,0.025,100,-0.017,69,-0.039,67,-0.027
l12_months,sg per shot,"Kim, Tom",79,0.044,273,0.056,455,0.025,182,0.01,122,0.034,133,0.038
l12_months,sg per shot,"Yu, Kevin",96,0.02,255,-0.005,353,0.025,161,0.005,125,-0.026,93,-0.038
l12_months,sg per shot,"Fleetwood, Tommy",75,0.045,281,0,422,0.025,232,0.099,79,0.015,127,0
l12_months,sg per shot,"Ewart, A.J.",81,0.008,216,0.044,326,0.024,164,-0.032,125,0.017,105,-0.004
l12_months,sg per shot,"Du Plessis, Hennie",null,null,null,null,63,0.024,28,-0.044,12,0.076,29,0.031
