player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Young, Cameron",150,1.738,0.000,29,0.015,0.066,0.006,0.183,0.085,-0.128,0.019,0.015,-0.093,1.999,2.719,"Wyndham Championship","Sedgefield Country Club"
"Matsuyama, Hideki",150,1.314,0.000,34,-0.008,-0.026,0.084,-0.060,0.064,0.013,0.049,-0.003,0.059,1.427,2.609,"Wyndham Championship","Sedgefield Country Club"
"Koivun, Jackson",150,1.080,0.000,21,0.050,-0.008,0.187,-0.034,0.020,-0.029,0.111,0.002,0.084,1.380,2.639,"Wyndham Championship","Sedgefield Country Club"
"Griffin, Ben",150,1.167,0.000,30,0.010,0.031,-0.021,0.079,0.115,-0.013,-0.003,-0.016,-0.033,1.349,2.565,"Wyndham Championship","Sedgefield Country Club"
"Gerard, Ryan",150,1.245,0.000,27,0.025,0.047,0.012,-0.018,-0.032,-0.019,0.091,-0.002,0.070,1.349,2.626,"Wyndham Championship","Sedgefield Country Club"
"Rai, Aaron",150,0.903,0.000,31,0.005,-0.039,-0.154,0.098,0.065,0.108,0.275,0.018,0.402,1.280,2.545,"Wyndham Championship","Sedgefield Country Club"
"English, Harris",150,0.861,0.000,37,-0.019,-0.018,0.002,0.078,0.237,-0.017,0.073,-0.019,0.037,1.178,2.564,"Wyndham Championship","Sedgefield Country Club"
"Thomas, Justin",150,1.139,0.000,33,-0.003,0.028,-0.155,0.163,0.018,-0.028,0.009,-0.016,-0.035,1.155,2.683,"Wyndham Championship","Sedgefield Country Club"
"Ghim, Doug",150,0.606,0.000,30,0.010,-0.026,0.080,0.284,0.066,-0.021,0.117,0.013,0.108,1.129,2.602,"Wyndham Championship","Sedgefield Country Club"
"Kim, Tom",150,0.832,0.000,24,0.037,-0.016,-0.009,0.133,0.017,0.024,0.077,0.018,0.118,1.112,2.618,"Wyndham Championship","Sedgefield Country Club"
"Fitzpatrick, Alex",150,0.925,0.044,27,0.022,0.001,-0.208,0.203,-0.044,-0.005,0.103,0.027,0.125,1.068,2.627,"Wyndham Championship","Sedgefield Country Club"
"Im, Sungjae",150,0.394,0.000,28,0.019,0.023,0.098,0.251,0.191,0.013,0.071,-0.032,0.051,1.027,2.651,"Wyndham Championship","Sedgefield Country Club"
"Meissner, Mac",150,0.785,0.000,27,0.022,0.115,0.033,0.003,0.075,-0.008,0.009,-0.012,-0.011,1.023,2.557,"Wyndham Championship","Sedgefield Country Club"
"Kohles, Ben",150,0.690,0.000,36,-0.017,-0.061,0.039,-0.080,0.012,0.108,0.264,0.026,0.398,0.981,2.535,"Wyndham Championship","Sedgefield Country Club"
"Thompson, Davis",150,0.657,0.000,27,0.024,0.000,0.089,0.090,0.082,-0.039,0.042,0.015,0.018,0.960,2.615,"Wyndham Championship","Sedgefield Country Club"
"Bradley, Keegan",150,0.967,0.000,40,-0.033,-0.014,0.035,0.066,0.011,-0.070,-0.019,0.010,-0.079,0.954,2.644,"Wyndham Championship","Sedgefield Country Club"
"McNealy, Maverick",150,1.100,0.000,30,0.008,0.065,-0.113,0.038,-0.034,-0.054,-0.045,-0.027,-0.125,0.940,2.663,"Wyndham Championship","Sedgefield Country Club"
"Smith, Jordan",150,0.590,0.000,33,-0.005,0.038,0.060,0.161,-0.044,-0.043,0.141,0.027,0.126,0.925,2.644,"Wyndham Championship","Sedgefield Country Club"
"Cauley, Bud",150,0.799,0.000,36,-0.016,-0.002,-0.142,0.068,0.169,-0.009,0.025,0.007,0.022,0.899,2.635,"Wyndham Championship","Sedgefield Country Club"
"Hisatsune, Ryo",150,0.497,0.000,23,0.038,-0.014,0.036,0.254,0.000,-0.029,0.086,0.024,0.082,0.892,2.650,"Wyndham Championship","Sedgefield Country Club"
"Harman, Brian",150,0.719,0.000,39,-0.030,-0.064,-0.067,-0.036,0.128,0.081,0.097,-0.001,0.177,0.827,2.593,"Wyndham Championship","Sedgefield Country Club"
"Bezuidenhout, Christiaan",150,0.538,0.000,32,0.002,0.011,0.048,-0.045,0.045,0.105,0.075,-0.008,0.172,0.771,2.521,"Wyndham Championship","Sedgefield Country Club"
"Wallace, Matt",150,0.775,0.000,36,-0.016,-0.001,0.056,-0.110,0.069,0.007,-0.013,0.003,-0.003,0.770,2.601,"Wyndham Championship","Sedgefield Country Club"
"Poston, J.T.",150,0.648,0.000,33,-0.003,-0.072,-0.175,0.014,0.171,0.056,0.110,-0.005,0.160,0.744,2.600,"Wyndham Championship","Sedgefield Country Club"
"Taylor, Nick",150,0.684,0.000,38,-0.025,-0.028,0.033,-0.175,0.120,0.073,0.078,-0.021,0.130,0.740,2.557,"Wyndham Championship","Sedgefield Country Club"
"Noren, Alex",150,0.860,0.000,44,-0.050,-0.096,-0.177,-0.058,0.059,0.091,0.119,-0.017,0.192,0.731,2.579,"Wyndham Championship","Sedgefield Country Club"
"Smalley, Alex",150,0.749,0.000,29,0.012,0.054,-0.184,-0.037,0.059,-0.016,0.059,0.003,0.047,0.700,2.651,"Wyndham Championship","Sedgefield Country Club"
"Grillo, Emiliano",150,0.454,0.000,33,-0.005,-0.029,0.141,-0.110,-0.015,0.059,0.174,0.011,0.244,0.679,2.587,"Wyndham Championship","Sedgefield Country Club"
"Mitchell, Keith",150,0.758,0.000,34,-0.009,0.020,-0.089,0.041,0.077,-0.105,-0.038,0.022,-0.121,0.678,2.668,"Wyndham Championship","Sedgefield Country Club"
"Neergaard-Petersen, Rasmus",150,0.410,0.000,27,0.024,0.023,0.011,0.151,-0.044,-0.046,0.113,0.012,0.078,0.653,2.658,"Wyndham Championship","Sedgefield Country Club"
"James, Ben",150,0.347,0.000,23,0.041,0.018,0.087,0.125,-0.044,-0.009,0.076,0.007,0.075,0.648,2.637,"Wyndham Championship","Sedgefield Country Club"
"Spieth, Jordan",150,0.433,0.000,33,-0.002,-0.025,0.075,0.210,0.042,-0.073,-0.025,0.005,-0.094,0.638,2.647,"Wyndham Championship","Sedgefield Country Club"
"Brown, Blades",150,0.522,0.000,19,0.059,-0.004,0.067,0.041,-0.044,-0.060,0.030,0.007,-0.023,0.618,2.661,"Wyndham Championship","Sedgefield Country Club"
"Kim, Michael",150,0.682,0.000,33,-0.002,-0.009,0.051,-0.121,0.042,0.025,-0.051,-0.010,-0.035,0.609,2.632,"Wyndham Championship","Sedgefield Country Club"
"Kirk, Chris",150,0.313,0.000,41,-0.038,-0.075,0.046,0.102,0.163,0.008,0.028,0.028,0.063,0.573,2.612,"Wyndham Championship","Sedgefield Country Club"
"McCarthy, Denny",150,0.482,0.000,33,-0.004,-0.029,0.019,-0.149,0.208,0.076,-0.025,-0.024,0.027,0.555,2.534,"Wyndham Championship","Sedgefield Country Club"
"Cole, Eric",150,0.627,0.000,38,-0.024,0.017,0.001,-0.005,0.047,0.018,-0.100,-0.028,-0.109,0.555,2.678,"Wyndham Championship","Sedgefield Country Club"
"Blair, Zac",150,0.417,0.000,35,-0.015,-0.036,0.037,-0.200,-0.008,0.187,0.165,0.004,0.357,0.553,2.504,"Wyndham Championship","Sedgefield Country Club"
"Castillo, Ricky",150,0.391,0.000,25,0.031,0.036,0.042,0.041,0.007,-0.028,0.006,-0.014,-0.036,0.512,2.600,"Wyndham Championship","Sedgefield Country Club"
"Putnam, Andrew",150,0.230,0.000,37,-0.022,-0.075,-0.002,-0.070,0.039,0.228,0.183,-0.021,0.391,0.491,2.514,"Wyndham Championship","Sedgefield Country Club"
"McCarty, Matt",150,0.414,0.000,28,0.018,0.034,0.021,-0.113,0.017,0.049,0.044,-0.001,0.092,0.483,2.634,"Wyndham Championship","Sedgefield Country Club"
"McGreevy, Max",150,0.173,0.000,31,0.006,-0.012,-0.020,0.026,0.097,0.070,0.125,0.013,0.207,0.477,2.593,"Wyndham Championship","Sedgefield Country Club"
"Hodges, Lee",150,0.200,0.000,31,0.007,-0.067,0.054,0.039,0.002,0.048,0.148,0.006,0.203,0.438,2.596,"Wyndham Championship","Sedgefield Country Club"
"Brennan, Michael",150,0.557,0.000,24,0.035,0.074,0.055,-0.030,-0.044,-0.174,-0.064,0.024,-0.214,0.432,2.720,"Wyndham Championship","Sedgefield Country Club"
"Novak, Andrew",150,0.052,0.000,31,0.006,0.039,-0.009,0.327,0.012,-0.015,-0.007,0.024,0.002,0.428,2.697,"Wyndham Championship","Sedgefield Country Club"
"Suber, Jackson",150,0.320,0.000,26,0.026,0.022,0.065,0.057,-0.043,-0.028,-0.025,0.012,-0.042,0.405,2.701,"Wyndham Championship","Sedgefield Country Club"
"Koepka, Brooks",150,0.551,0.000,36,-0.016,-0.054,-0.003,0.030,0.014,-0.074,-0.071,0.017,-0.128,0.394,2.713,"Wyndham Championship","Sedgefield Country Club"
"Hossler, Beau",150,0.065,0.000,31,0.006,-0.037,0.059,0.244,0.071,0.006,-0.011,-0.025,-0.030,0.378,2.651,"Wyndham Championship","Sedgefield Country Club"
"Echavarria, Nico",150,0.232,0.000,32,0.003,0.020,-0.007,-0.044,0.064,0.044,0.051,0.002,0.097,0.364,2.679,"Wyndham Championship","Sedgefield Country Club"
"Parry, John",150,0.224,0.000,39,-0.031,-0.008,0.018,0.025,-0.044,0.076,0.084,0.015,0.175,0.358,2.555,"Wyndham Championship","Sedgefield Country Club"
"Yu, Kevin",150,0.352,0.000,27,0.020,0.034,0.060,0.010,-0.058,-0.074,-0.014,0.007,-0.082,0.336,2.626,"Wyndham Championship","Sedgefield Country Club"
"Horschel, Billy",150,0.161,0.000,39,-0.031,-0.087,0.020,-0.086,0.304,0.031,-0.007,0.017,0.041,0.322,2.638,"Wyndham Championship","Sedgefield Country Club"
"Keefer, Johnny",150,0.316,0.000,25,0.031,0.032,0.019,0.051,-0.044,-0.111,-0.027,0.021,-0.117,0.288,2.695,"Wyndham Championship","Sedgefield Country Club"
