event_name,course_name,player_name,dg_id,player_num,dg_rank,owgr_rank,tour_rank,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole,r3_teetime,r3_wave,r3_starthole,r4_teetime,r4_wave,r4_starthole,current_round
Wyndham Championship,Sedgefield Country Club,"Akina, Kihei",32652,67118,342,null,null,2:11 PM,late,10,8:51 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Bauchou, Zach",19846,48001,110,159,93,2:00 PM,late,10,8:40 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Bezuidenhout, Christiaan",18103,45522,71,98,92,8:18 AM,early,1,1:38 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Blair, Zac",17639,40058,86,143,117,8:18 AM,early,10,1:38 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Blanchet, Chandler",24956,54788,201,119,106,1:49 PM,late,10,8:29 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Bradley, Keegan",13872,33141,34,45,72,7:56 AM,early,10,1:16 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Brennan, Michael",29197,61522,67,58,105,7:23 AM,early,1,12:43 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Brown, Blades",32152,66417,73,94,null,2:00 PM,late,1,8:40 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Campbell, Brian",18628,46443,354,149,161,7:45 AM,early,1,1:05 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Campos, Rafael",12909,32070,null,null,175,12:32 PM,late,10,7:12 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Castillo, Ricky",27819,59440,90,96,66,7:56 AM,early,1,1:16 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Cauley, Bud",14502,34021,49,42,33,7:56 AM,early,10,1:16 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Chatfield, Davis",30620,59006,206,249,138,8:29 AM,early,10,1:49 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Clanton, Luke",32330,66743,235,269,147,8:40 AM,early,1,2:00 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Cole, Eric",21756,47591,63,74,45,1:38 PM,late,1,8:18 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Collet, Tyler",28077,59570,null,null,null,8:51 AM,early,10,2:11 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Coody, Pierceson",28309,59836,108,64,53,7:01 AM,early,1,12:21 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Crowe, Trace",27780,52514,266,247,156,2:22 PM,late,10,9:02 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Dahmen, Joel",14509,34076,188,211,119,1:38 PM,late,10,8:18 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Davis, Cam",17786,45157,null,317,191,7:56 AM,early,1,1:16 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Day, Jason",9771,28089,77,61,75,1:05 PM,late,1,7:45 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Dou, Zecheng",16757,37338,138,189,115,8:51 AM,early,10,2:11 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Dumont De Chassart, Adrien",22002,50497,149,180,123,1:49 PM,late,1,8:29 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Dunlap, Nick",28270,59866,341,386,165,1:27 PM,late,10,8:07 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Echavarria, Nico",22833,51349,111,59,44,12:43 PM,late,10,7:23 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Eckroat, Austin",26653,57362,150,187,118,6:50 AM,early,1,12:10 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"English, Harris",14577,34099,44,36,49,7:23 AM,early,10,12:43 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Ewart, A.J.",21883,50286,163,183,100,2:00 PM,late,1,8:40 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Finau, Tony",11676,29725,154,134,89,7:23 AM,early,1,12:43 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Fishburn, Patrick",25094,54576,170,209,145,2:11 PM,late,10,8:51 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Fisk, Steven",26657,57123,158,86,69,7:23 AM,early,10,12:43 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Fitzpatrick, Alex",25362,55721,37,68,19,7:45 AM,early,10,1:05 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Garnett, Brice",11451,29535,303,265,131,8:29 AM,early,1,1:49 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Gerard, Ryan",29767,59018,21,25,16,1:05 PM,late,1,7:45 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Ghim, Doug",24550,52375,64,155,97,12:10 PM,late,1,6:50 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Glover, Lucas",7399,25900,172,100,96,1:05 PM,late,10,7:45 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Greyserman, Max",23465,51977,103,84,99,12:32 PM,late,1,7:12 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Griffin, Ben",24968,54591,23,20,36,1:16 PM,late,1,7:56 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Griffin, Lanto",15330,35310,277,233,155,8:18 AM,early,10,1:38 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Grillo, Emiliano",12808,31646,79,99,104,1:38 PM,late,1,8:18 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Hall, Harry",27194,57975,92,88,62,1:05 PM,late,10,7:45 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Harman, Brian",8825,27644,56,60,63,12:54 PM,late,10,7:34 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Highsmith, Joe",28469,60067,331,194,150,7:34 AM,early,1,12:54 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Hirata, Kensei",20954,49120,490,323,167,2:22 PM,late,10,9:02 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Hisatsune, Ryo",22760,51287,74,66,42,1:27 PM,late,1,8:07 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Hodges, Lee",25157,54628,120,130,101,1:38 PM,late,1,8:18 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Hoey, Rico",23504,51696,134,103,112,7:12 AM,early,10,12:32 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Hoge, Tom",15575,35532,185,124,79,7:01 AM,early,10,12:21 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Hojgaard, Rasmus",23838,52686,93,77,103,12:10 PM,late,10,6:50 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Horschel, Billy",11276,29420,126,176,107,8:07 AM,early,1,1:27 PM,late,10,null,null,null,null,null,null,1
