player_name,dg_id,tour_l20,field_this_week,l5_starts,true_sg_l20,vs_baseline_l20
"Kim, Tom",24766,pga,pga,major-u.s. open-3_pga-john deere classic-T46_pga-genesis scottish open-1_major-the open championship-CUT_pga-3m open-T20,1.92,1.45
"Matsuyama, Hideki",13562,pga,pga,major-u.s. open-T65_pga-travelers championship-T14_major-the open championship-T14_pga-3m open-T3_pga-rocket classic-T5,1.71,0.41
"Gerard, Ryan",29767,pga,pga,major-u.s. open-CUT_pga-travelers championship-T44_pga-genesis scottish open-T26_major-the open championship-T9_pga-rocket classic-T8,1.58,0.59
"Grillo, Emiliano",12808,pga,pga,pga-rbc canadian open-T20_major-u.s. open-T23_pga-john deere classic-T26_pga-3m open-T7_pga-rocket classic-T31,1.52,1.37
"Kohles, Ben",16395,pga,pga,kft-memorial health championship presented by lrs-T19_pga-john deere classic-T3_pga-isco championship-T15_pga-3m open-9_pga-rocket classic-T26,1.47,1.2
"Rai, Aaron",18554,pga,pga,pga-rbc canadian open-CUT_major-u.s. open-T11_pga-travelers championship-T30_pga-genesis scottish open-CUT_major-the open championship-CUT,1.46,0.6
"Fitzpatrick, Alex",25362,pga,pga,pga-rbc canadian open-T20_major-u.s. open-T23_pga-travelers championship-T7_pga-genesis scottish open-CUT_major-the open championship-T71,1.37,0.78
"Thomas, Justin",14139,pga,pga,pga-the memorial tournament presented by workday-T19_major-u.s. open-T17_pga-travelers championship-T14_pga-genesis scottish open-T50_major-the open championship-T65,1.33,0.35
"Cauley, Bud",14502,pga,pga,pga-rbc canadian open-1_major-u.s. open-T56_pga-travelers championship-T14_pga-genesis scottish open-CUT_major-the open championship-T18,1.27,0.63
"Koivun, Jackson",32319,pga,pga,major-u.s. open-T23_pga-john deere classic-CUT_pga-isco championship-T10_pga-3m open-1_pga-rocket classic-T31,1.25,-0.02
"Young, Cameron",26651,pga,pga,pga-the memorial tournament presented by workday-T46_major-u.s. open-T43_pga-travelers championship-T47_major-the open championship-2_pga-rocket classic-T8,1.24,-0.98
"Ghim, Doug",24550,pga,pga,pga-rbc canadian open-T15_pga-john deere classic-T6_pga-genesis scottish open-CUT_pga-3m open-CUT_pga-rocket classic-T15,1.24,0.85
"Wallace, Matt",20706,pga,pga,euro-ds automobiles 83° open d’italia-2_pga-john deere classic-T33_pga-genesis scottish open-CUT_major-the open championship-T40_pga-rocket classic-T5,1.19,0.76
"Griffin, Ben",24968,pga,pga,major-u.s. open-T17_pga-travelers championship-T10_pga-john deere classic-T21_major-the open championship-T59_pga-rocket classic-CUT,1.13,-0.23
"Poston, J.T.",21554,pga,pga,pga-the memorial tournament presented by workday-1_major-u.s. open-T4_pga-travelers championship-69_pga-john deere classic-T51_major-the open championship-CUT,1.09,0.35
"Bradley, Keegan",13872,pga,pga,major-u.s. open-T32_pga-travelers championship-T14_pga-john deere classic-T26_major-the open championship-T74_pga-rocket classic-T15,1.08,0.21
"Blair, Zac",17639,pga,pga,kft-memorial health championship presented by lrs-T27_pga-john deere classic-T9_pga-isco championship-T8_pga-3m open-T13_pga-rocket classic-T50,1.07,0.88
"Brown, Blades",32152,kft,pga,pga-john deere classic-T12_kft-the blue championship-T22_pga-corales puntacana championship-T11_kft-evans scholars invitational-T5_kft-utah championship presented by zions bank and intermountain health-T6,1.04,0.86
"Phillips, Chandler",27164,pga,pga,major-u.s. open-CUT_pga-john deere classic-T15_pga-isco championship-T15_pga-3m open-T3_pga-rocket classic-CUT,0.98,1.22
"Hisatsune, Ryo",22760,pga,pga,major-u.s. open-T43_pga-travelers championship-T38_pga-john deere classic-T9_major-the open championship-T53_pga-rocket classic-T50,0.93,0.57
"Brennan, Michael",29197,pga,pga,pga-john deere classic-T33_pga-genesis scottish open-T52_major-the open championship-T53_pga-3m open-T24_pga-rocket classic-T15,0.93,0.36
"Thompson, Davis",27364,pga,pga,major-u.s. open-CUT_pga-john deere classic-T26_pga-isco championship-CUT_pga-3m open-T7_pga-rocket classic-T8,0.88,0.29
"Harman, Brian",8825,pga,pga,major-u.s. open-T32_pga-travelers championship-T25_pga-genesis scottish open-T36_major-the open championship-CUT_pga-3m open-T3,0.88,0.32
"Meissner, Mac",28159,pga,pga,pga-travelers championship-T44_pga-john deere classic-T6_pga-genesis scottish open-T30_pga-3m open-CUT_pga-rocket classic-T26,0.83,-0.08
"Suber, Jackson",29279,pga,pga,pga-travelers championship-T30_pga-john deere classic-T6_major-the open championship-T28_pga-3m open-CUT_pga-rocket classic-T50,0.83,0.82
"Smith, Jordan",18586,pga,pga,pga-rbc canadian open-CUT_pga-genesis scottish open-T21_major-the open championship-T18_pga-3m open-T39_pga-rocket classic-T31,0.8,0.33
"McNealy, Maverick",18634,pga,pga,pga-the memorial tournament presented by workday-T10_major-u.s. open-T32_pga-travelers championship-T55_major-the open championship-CUT_pga-3m open-T34,0.8,-0.57
"Kim, Michael",17543,pga,pga,pga-john deere classic-CUT_pga-genesis scottish open-CUT_major-the open championship-CUT_pga-3m open-T10_pga-rocket classic-T8,0.78,0.23
"Neergaard-Petersen, Rasmus",23841,pga,pga,euro-bmw international open-56_pga-genesis scottish open-T36_major-the open championship-T9_pga-3m open-T20_pga-rocket classic-CUT,0.75,0.37
"Mitchell, Keith",17365,pga,pga,major-u.s. open-T4_pga-travelers championship-T22_pga-john deere classic-T51_major-the open championship-CUT_pga-3m open-T44,0.72,-0.03
"Keefer, Johnny",32457,pga,pga,pga-john deere classic-CUT_pga-genesis scottish open-T3_major-the open championship-T59_pga-3m open-CUT_pga-rocket classic-60,0.71,0.56
"Yu, Kevin",17881,pga,pga,pga-john deere classic-T15_pga-genesis scottish open-CUT_pga-corales puntacana championship-T24_pga-3m open-T16_pga-rocket classic-T31,0.69,0.6
"Koepka, Brooks",16243,pga,pga,pga-the cj cup byron nelson-T14_pga-rbc canadian open-WD_major-u.s. open-CUT_pga-genesis scottish open-CUT_major-the open championship-T28,0.69,0.16
"Noren, Alex",10419,pga,pga,pga-rbc canadian open-CUT_major-u.s. open-CUT_pga-travelers championship-T55_pga-genesis scottish open-CUT_major-the open championship-T18,0.62,-0.57
