player_name,events_played,rounds_played,rounds_played_w_shotlink,win,top_5,top_10,top_25,putt_mean,putt_rank,putt_perc_05,putt_perc_25,putt_median,putt_perc_75,putt_perc_95,putt_std_dev,arg_mean,arg_rank,arg_perc_05,arg_perc_25,arg_median,arg_perc_75,arg_perc_95,arg_std_dev,app_mean,app_rank,app_perc_05,app_perc_25,app_median,app_perc_75,app_perc_95,app_std_dev,ott_mean,ott_rank,ott_perc_05,ott_perc_25,ott_median,ott_perc_75,ott_perc_95,ott_std_dev,bs_mean,bs_rank,bs_perc_05,bs_perc_25,bs_median,bs_perc_75,bs_perc_95,bs_std_dev,t2g_mean,t2g_rank,t2g_perc_05,t2g_perc_25,t2g_median,t2g_perc_75,t2g_perc_95,t2g_std_dev,total_mean,total_rank,total_perc_05,total_perc_25,total_median,total_perc_75,total_perc_95,total_std_dev,total_no_am_mean,total_no_am_rank,total_no_am_perc_05,total_no_am_perc_25,total_no_am_median,total_no_am_perc_75,total_no_am_perc_95,total_no_am_std_dev,dist_mean,dist_rank,dist_perc_05,dist_perc_25,dist_median,dist_perc_75,dist_perc_95,dist_std_dev,acc_mean,acc_rank,acc_perc_05,acc_perc_25,acc_median,acc_perc_75,acc_perc_95,acc_std_dev
"Young, Cameron",22,88,87,3,8,13,16,0.355,21,-2.438,-0.671,0.218,1.325,2.946,1.706,0.297,15,-1.087,-0.285,0.256,0.840,2.277,1.011,0.718,5,-1.431,-0.125,0.668,1.820,3.115,1.471,0.860,2,-0.505,0.384,0.874,1.353,2.168,0.783,1.577,1,-0.805,0.378,1.567,2.488,4.415,1.677,1.875,1,-1.110,0.223,1.859,3.203,5.410,1.977,2.222,1,-2.165,0.089,1.714,4.674,7.101,2.852,2.222,1,-2.165,0.089,1.714,4.674,7.101,2.852,10.786,11,-7.017,4.260,11.072,18.566,29.660,12.662,0.014,54,-0.148,-0.063,0.009,0.089,0.209,0.109
"McNealy, Maverick",23,86,85,0,1,3,12,0.634,4,-2.769,-0.490,0.843,1.734,3.059,1.783,0.323,13,-0.849,-0.292,0.296,0.847,1.661,0.863,0.159,56,-2.498,-0.864,0.193,1.147,2.615,1.544,0.216,30,-1.928,-0.418,0.439,0.903,1.559,1.064,0.375,38,-3.327,-0.979,0.424,1.870,3.215,1.960,0.698,17,-3.193,-0.754,0.996,2.462,4.259,2.275,1.363,2,-3.617,-0.986,1.817,3.417,5.730,2.838,1.363,3,-3.617,-0.986,1.817,3.417,5.730,2.838,5.490,33,-12.365,-0.673,6.231,12.142,17.847,9.773,-0.021,94,-0.229,-0.101,-0.019,0.058,0.190,0.128
"Griffin, Ben",29,106,100,1,4,8,15,0.557,6,-2.123,-0.552,0.564,1.836,3.178,1.681,0.379,10,-1.170,-0.277,0.506,1.033,1.772,0.950,0.283,35,-2.130,-0.550,0.308,1.003,2.612,1.397,0.041,62,-1.927,-0.470,0.007,0.656,1.500,0.957,0.324,45,-2.341,-1.016,0.383,1.481,2.870,1.690,0.704,15,-2.441,-0.530,0.836,2.027,3.585,2.010,1.356,3,-3.040,0.165,1.452,2.839,4.824,2.370,1.356,4,-3.040,0.165,1.452,2.839,4.824,2.370,0.160,69,-16.248,-7.968,0.234,5.270,16.017,10.209,0.002,66,-0.217,-0.092,0.002,0.076,0.204,0.125
"Matsuyama, Hideki",28,112,103,1,5,7,18,0.100,59,-2.931,-0.755,0.119,1.255,2.358,1.575,0.550,1,-0.951,-0.146,0.524,1.176,2.135,0.977,0.635,6,-2.283,-0.352,0.741,1.734,2.893,1.541,0.012,71,-1.504,-0.556,0.037,0.782,1.431,0.951,0.647,16,-2.024,-0.279,0.680,1.911,3.548,1.884,1.198,3,-2.363,0.108,1.143,2.516,4.591,2.053,1.300,4,-3.636,-0.373,1.585,2.728,5.537,2.599,1.300,5,-3.636,-0.373,1.585,2.728,5.537,2.599,-1.150,80,-16.295,-7.117,-0.774,5.157,12.221,9.581,0.012,58,-0.195,-0.070,0.001,0.111,0.204,0.128
"Koivun, Jackson",21,68,26,1,3,4,5,0.481,10,-2.831,-0.455,0.663,1.524,2.400,1.579,0.193,33,-0.959,-0.395,0.237,0.507,1.504,0.820,0.813,1,-1.368,-0.378,1.001,1.660,3.111,1.469,0.445,13,-0.845,0.172,0.376,1.014,1.367,0.721,1.258,2,-0.987,-0.386,1.643,2.574,3.596,1.644,1.451,2,-0.726,0.656,1.628,2.674,3.902,1.583,1.271,5,-2.358,-0.621,1.369,2.931,5.422,2.392,1.932,2,-1.003,0.526,1.464,3.221,5.645,2.341,2.744,49,-22.422,-0.221,6.316,11.181,20.669,14.009,0.069,15,-0.106,-0.003,0.070,0.134,0.253,0.115
"Noren, Alex",27,95,88,2,4,6,11,0.687,2,-2.002,-0.664,0.753,1.924,3.537,1.692,0.100,49,-1.580,-0.387,0.266,0.820,2.183,1.025,0.421,14,-1.939,-0.638,0.457,1.229,2.608,1.503,0.082,60,-1.408,-0.286,0.174,0.594,1.297,0.826,0.503,28,-2.341,-0.597,0.320,1.513,2.901,1.649,0.603,25,-2.599,-1.069,0.533,2.060,3.638,1.922,1.188,6,-2.728,-0.573,1.219,3.060,5.282,2.547,1.188,6,-2.728,-0.573,1.219,3.060,5.282,2.547,-7.964,121,-30.082,-14.094,-8.630,-1.518,11.427,11.065,0.051,22,-0.122,-0.031,0.032,0.130,0.236,0.110
"English, Harris",25,92,88,0,1,2,12,0.538,7,-2.008,-0.772,0.484,1.826,3.414,1.759,0.160,37,-1.365,-0.396,0.219,0.726,1.433,0.878,-0.098,89,-2.849,-1.018,0.115,0.978,2.074,1.486,0.450,12,-0.843,-0.126,0.503,0.982,1.691,0.811,0.352,41,-2.001,-0.691,0.346,1.459,2.889,1.565,0.511,30,-1.783,-0.601,0.470,1.267,3.252,1.618,1.045,7,-2.153,-0.086,1.163,2.053,4.582,2.015,1.045,7,-2.153,-0.086,1.163,2.053,4.582,2.015,1.927,52,-11.026,-3.829,2.564,8.126,15.145,8.644,0.036,30,-0.173,-0.064,0.027,0.126,0.242,0.129
"Gerard, Ryan",32,116,104,0,4,7,10,0.149,48,-2.425,-0.929,0.066,1.171,3.752,1.832,-0.040,86,-1.711,-0.757,-0.102,0.746,1.567,1.028,0.547,8,-1.927,-0.531,0.459,1.593,3.048,1.547,0.193,34,-1.409,-0.233,0.380,0.767,1.403,0.835,0.740,11,-2.220,-0.516,0.990,1.742,3.454,1.680,0.700,16,-2.200,-0.481,0.626,2.002,3.426,1.766,0.993,8,-3.329,-0.768,0.671,3.083,4.908,2.686,0.993,8,-3.329,-0.768,0.671,3.083,4.908,2.686,0.622,66,-18.612,-6.291,0.720,7.443,18.101,9.908,0.030,39,-0.144,-0.052,0.022,0.113,0.207,0.112
"Thomas, Justin",18,70,70,0,1,3,9,0.100,60,-2.674,-0.672,0.026,0.989,2.994,1.710,0.543,2,-0.884,0.006,0.505,1.171,1.916,0.992,0.119,62,-2.159,-1.063,0.238,0.973,2.609,1.522,0.219,29,-1.535,-0.237,0.314,0.898,1.658,1.099,0.338,43,-2.224,-0.705,0.437,1.726,2.901,1.837,0.881,8,-2.356,-0.525,0.943,2.186,4.117,1.978,0.981,9,-4.880,-0.730,1.410,2.890,5.042,2.919,0.981,9,-4.880,-0.730,1.410,2.890,5.042,2.919,2.751,48,-14.265,-3.185,3.324,9.027,17.255,9.475,0.001,67,-0.261,-0.073,-0.003,0.113,0.219,0.146
"Meissner, Mac",26,94,86,0,2,5,8,0.273,32,-2.817,-0.857,0.389,1.253,3.204,1.716,0.228,26,-1.508,-0.347,0.330,0.889,1.619,1.020,0.330,28,-1.633,-0.465,0.068,1.328,2.706,1.351,0.087,58,-1.367,-0.392,0.169,0.662,1.399,0.851,0.417,32,-1.827,-0.715,0.372,1.735,2.915,1.580,0.645,20,-3.073,-0.786,0.973,2.097,3.513,2.018,0.911,10,-2.491,-0.409,0.908,2.491,4.427,2.184,0.911,10,-2.491,-0.409,0.908,2.491,4.427,2.184,1.804,55,-15.427,-4.327,1.484,8.996,17.423,10.467,0.000,70,-0.213,-0.113,0.023,0.085,0.175,0.127
