player_name,events_played,rounds_played,rounds_played_w_shotlink,win,top_5,top_10,top_25,putt_mean,putt_rank,putt_perc_05,putt_perc_25,putt_median,putt_perc_75,putt_perc_95,putt_std_dev,arg_mean,arg_rank,arg_perc_05,arg_perc_25,arg_median,arg_perc_75,arg_perc_95,arg_std_dev,app_mean,app_rank,app_perc_05,app_perc_25,app_median,app_perc_75,app_perc_95,app_std_dev,ott_mean,ott_rank,ott_perc_05,ott_perc_25,ott_median,ott_perc_75,ott_perc_95,ott_std_dev,bs_mean,bs_rank,bs_perc_05,bs_perc_25,bs_median,bs_perc_75,bs_perc_95,bs_std_dev,t2g_mean,t2g_rank,t2g_perc_05,t2g_perc_25,t2g_median,t2g_perc_75,t2g_perc_95,t2g_std_dev,total_mean,total_rank,total_perc_05,total_perc_25,total_median,total_perc_75,total_perc_95,total_std_dev,total_no_am_mean,total_no_am_rank,total_no_am_perc_05,total_no_am_perc_25,total_no_am_median,total_no_am_perc_75,total_no_am_perc_95,total_no_am_std_dev,dist_mean,dist_rank,dist_perc_05,dist_perc_25,dist_median,dist_perc_75,dist_perc_95,dist_std_dev,acc_mean,acc_rank,acc_perc_05,acc_perc_25,acc_median,acc_perc_75,acc_perc_95,acc_std_dev
"Fitzpatrick, Alex",3,12,12,0,0,2,3,0.068,58,-2.620,-0.748,0.391,0.805,2.434,1.721,0.293,27,-0.391,-0.321,0.061,0.355,1.897,0.928,1.620,1,0.224,1.202,1.904,2.114,2.543,0.880,0.590,10,-0.503,-0.385,0.495,1.527,1.980,1.015,2.210,1,-0.165,1.231,2.218,3.210,4.561,1.639,2.503,1,0.044,1.518,2.725,3.568,4.352,1.603,2.572,1,-0.595,1.723,2.136,4.056,5.540,2.171,2.572,1,-0.595,1.723,2.136,4.056,5.540,2.171,3.601,49,-8.271,-1.452,3.471,9.465,14.454,8.365,0.112,4,-0.083,-0.044,0.091,0.260,0.332,0.170
"Thomas, Justin",12,48,48,0,2,5,9,0.716,8,-1.773,-0.315,0.638,1.746,3.723,1.634,0.583,4,-1.673,-0.052,0.536,1.330,2.392,1.205,0.479,24,-2.279,-0.244,0.579,1.370,3.354,1.769,0.401,23,-1.226,0.027,0.331,1.046,2.028,1.198,0.880,19,-1.806,-0.421,0.836,2.257,3.953,2.337,1.463,5,-2.212,0.183,1.732,3.018,4.882,2.445,2.179,2,-3.376,0.556,2.066,4.128,6.683,3.038,2.179,2,-3.376,0.556,2.066,4.128,6.683,3.038,5.083,35,-8.048,0.867,5.019,11.528,18.686,8.839,-0.013,91,-0.226,-0.137,-0.002,0.085,0.184,0.138
"Koivun, Jackson",4,14,14,1,1,1,3,1.003,2,-3.004,0.598,1.348,2.210,3.502,2.065,-0.120,96,-1.011,-0.907,-0.290,0.463,1.295,0.845,0.250,44,-1.994,-0.889,-0.361,1.660,2.800,1.810,0.674,7,-0.269,0.247,0.836,1.086,1.467,0.635,0.924,17,-1.427,-0.774,0.691,2.574,3.374,1.879,0.805,22,-2.232,-0.645,0.541,2.538,4.146,2.258,1.807,3,-2.007,0.372,1.411,3.577,5.933,2.804,1.807,3,-2.007,0.372,1.411,3.577,5.933,2.804,-1.754,84,-24.090,-17.692,3.256,11.154,15.788,15.818,0.060,22,-0.113,-0.023,0.035,0.132,0.256,0.126
"English, Harris",12,38,32,0,1,2,6,0.948,3,-1.337,-0.104,1.192,2.100,2.730,1.439,0.219,36,-1.217,-0.374,0.472,0.770,1.282,0.781,0.080,62,-2.580,-0.543,0.198,1.241,2.236,1.582,0.391,24,-1.397,-0.058,0.314,1.080,1.913,1.018,0.471,39,-1.973,-0.767,0.258,2.040,2.851,1.869,0.690,29,-2.300,-0.366,0.623,2.144,3.367,2.025,1.577,4,-1.440,0.608,1.888,2.784,4.387,1.993,1.577,4,-1.440,0.608,1.888,2.784,4.387,1.993,2.362,56,-14.223,-1.300,4.608,8.101,12.517,8.856,0.047,32,-0.131,-0.042,0.030,0.114,0.292,0.126
"Bradley, Keegan",13,52,52,1,2,4,9,0.479,19,-1.356,-0.461,0.383,1.185,2.948,1.325,0.214,38,-1.300,-0.512,0.364,1.030,1.733,1.152,0.605,16,-1.586,-0.449,0.584,1.454,3.065,1.557,0.253,38,-1.579,-0.174,0.491,1.006,1.541,1.061,0.857,21,-2.503,-0.290,0.867,2.217,4.212,2.066,1.072,15,-3.026,-0.493,1.198,2.748,4.642,2.296,1.551,5,-2.771,-0.465,1.658,3.454,6.209,2.881,1.551,5,-2.771,-0.465,1.658,3.454,6.209,2.881,7.956,18,-5.506,2.193,7.944,13.868,19.027,7.974,0.006,73,-0.169,-0.065,-0.000,0.094,0.185,0.114
"Noren, Alex",8,30,30,0,1,3,3,1.155,1,-2.194,0.210,1.413,2.217,3.966,1.926,0.488,8,-0.882,-0.126,0.377,0.981,1.916,0.855,-0.189,95,-2.670,-1.160,-0.450,1.032,2.289,1.617,0.090,71,-1.741,-0.484,0.318,0.619,1.405,1.001,-0.099,84,-2.876,-1.352,-0.029,1.439,2.639,1.827,0.389,44,-2.883,-1.299,0.451,1.858,3.861,2.103,1.545,6,-1.548,-0.240,1.644,2.639,5.965,2.259,1.545,6,-1.548,-0.240,1.644,2.639,5.965,2.259,-8.630,127,-25.250,-15.256,-7.236,-1.966,7.783,11.054,0.049,30,-0.164,-0.023,0.056,0.143,0.219,0.135
"Griffin, Ben",15,45,36,1,2,4,9,0.291,35,-2.123,-0.846,-0.015,1.075,3.385,1.787,0.295,25,-1.290,-0.512,0.467,0.867,1.663,1.008,0.539,21,-1.584,-0.054,0.778,1.349,2.199,1.227,0.174,51,-1.067,-0.469,0.110,0.662,1.698,0.961,0.713,30,-2.690,-0.091,0.982,1.892,3.024,1.729,1.009,17,-1.795,-0.145,1.400,2.200,3.148,1.921,1.458,7,-2.533,0.330,1.674,2.869,4.789,2.673,1.458,7,-2.533,0.330,1.674,2.869,4.789,2.673,1.749,62,-11.336,-6.040,0.855,8.847,15.691,9.418,0.003,76,-0.205,-0.085,-0.002,0.088,0.206,0.127
"Kim, Tom",10,38,38,0,2,2,4,-0.179,97,-2.672,-0.872,-0.223,0.821,1.716,1.558,0.415,14,-1.491,-0.339,0.575,1.050,2.238,1.187,1.029,5,-1.700,0.068,0.960,2.250,3.954,1.744,0.066,73,-1.762,-0.596,0.079,0.841,1.668,1.139,1.095,10,-1.724,-0.331,1.081,2.432,4.097,1.889,1.510,4,-2.227,-0.162,1.721,3.054,5.428,2.348,1.331,8,-2.785,-0.794,1.609,2.668,5.882,2.888,1.331,8,-2.785,-0.794,1.609,2.668,5.882,2.888,-1.718,83,-21.628,-8.405,-0.017,6.653,15.349,12.601,0.046,35,-0.136,-0.046,0.062,0.126,0.203,0.116
"Hodges, Lee",9,28,22,0,3,3,6,0.746,6,-1.846,0.042,0.802,1.183,4.009,1.781,-0.186,108,-1.393,-0.487,-0.156,0.306,0.816,0.820,0.294,42,-2.439,-0.518,-0.067,1.239,2.422,1.650,0.287,36,-1.287,-0.343,0.370,0.750,1.710,0.883,0.580,33,-1.936,-0.761,0.467,1.925,3.645,1.788,0.394,43,-2.182,-1.327,0.465,2.132,3.686,2.058,1.243,9,-2.799,-0.116,1.609,2.154,6.162,2.544,1.243,9,-2.799,-0.116,1.609,2.154,6.162,2.544,-3.212,98,-21.600,-9.519,-2.766,2.925,18.135,12.173,0.064,20,-0.077,-0.020,0.053,0.137,0.216,0.110
"Parry, John",3,12,12,0,0,0,2,0.013,65,-1.135,-0.662,-0.202,0.556,1.475,0.936,0.642,2,-1.233,-0.080,0.477,1.402,2.891,1.458,0.441,29,-1.360,-0.565,0.523,1.230,2.357,1.355,0.045,78,-1.698,-0.230,0.108,0.828,1.176,1.003,0.485,36,-1.126,-0.213,0.460,1.065,2.092,1.092,1.128,12,-1.456,0.829,1.162,2.133,2.953,1.576,1.141,10,-1.832,0.272,0.884,2.336,3.809,1.975,1.141,10,-1.832,0.272,0.884,2.336,3.809,1.975,-9.502,129,-23.109,-16.717,-8.374,-1.966,2.705,9.248,0.055,25,-0.035,0.021,0.067,0.078,0.141,0.064
"McGirt, William",1,1,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.120,11,1.120,1.120,1.120,1.120,1.120,-9999.000,1.120,11,1.120,1.120,1.120,1.120,1.120,-9999.000,-26.787,142,-26.787,-26.787,-26.787,-26.787,-26.787,-9999.000,0.208,1,0.208,0.208,0.208,0.208,0.208,-9999.000
"Cauley, Bud",12,42,40,0,1,2,6,-0.126,90,-1.770,-1.256,-0.256,0.748,2.379,1.410,0.294,26,-1.277,-0.412,0.243,0.986,1.803,1.112,0.661,11,-1.539,-0.253,0.922,1.640,2.556,1.415,0.414,22,-0.916,0.028,0.529,1.027,1.532,0.864,1.075,15,-1.730,-0.088,1.186,2.195,3.694,1.632,1.369,6,-1.388,-0.022,1.417,2.405,4.324,2.022,1.113,12,-2.826,-0.337,1.052,2.576,4.822,2.490,1.113,12,-2.826,-0.337,1.052,2.576,4.822,2.490,2.393,55,-13.024,-3.087,2.238,7.773,15.287,9.541,0.022,55,-0.173,-0.056,0.013,0.107,0.196,0.119
"Lipsky, David",10,33,24,0,3,4,5,0.907,4,-1.295,0.033,0.963,1.359,2.943,1.497,0.426,13,-0.637,-0.061,0.209,0.937,1.600,0.805,0.022,72,-2.895,-1.303,0.660,1.367,1.756,1.674,-0.023,86,-1.539,-0.645,0.054,0.694,1.043,0.823,-0.001,75,-3.270,-1.338,0.623,1.523,2.425,1.994,0.425,41,-4.228,-0.719,0.922,1.864,3.476,2.245,1.104,13,-3.622,0.015,1.153,2.626,5.023,2.663,1.104,13,-3.622,0.015,1.153,2.626,5.023,2.663,-8.363,126,-22.289,-13.892,-6.774,-3.788,2.839,8.516,0.065,19,-0.063,-0.003,0.048,0.109,0.250,0.102
"Gerard, Ryan",11,37,32,0,1,1,3,0.098,55,-3.201,-0.845,0.067,1.220,3.768,2.060,-0.040,81,-1.651,-0.654,-0.114,0.729,1.580,1.020,0.660,12,-1.601,-0.526,0.669,1.410,3.305,1.558,0.418,21,-1.155,-0.107,0.536,0.955,1.728,0.896,1.078,14,-1.282,-0.142,0.870,1.998,4.151,1.773,1.038,16,-1.793,-0.631,1.323,2.429,3.760,1.949,1.069,14,-2.285,-0.397,0.610,2.709,5.667,2.604,1.069,14,-2.285,-0.397,0.610,2.709,5.667,2.604,0.568,71,-16.245,-5.272,1.542,6.657,21.355,10.695,0.035,45,-0.114,-0.034,0.013,0.113,0.206,0.108
