player_name,2021 (Wyndham Championship),2022 (Wyndham Championship),2023 (Wyndham Championship),2024 (Wyndham Championship),2025 (Wyndham Championship),rounds_played,historical_true_sg,versus_expected,ch_adjustment,experience_adjustment
"Simpson, Webb",T7,WD,T5,CUT,T27,61,1.824,0.914,0.204,0.155
"Snedeker, Brandt",CUT,null,T45,CUT,CUT,54,0.598,0.098,0.019,0.155
"Glover, Lucas",CUT,T54,1,CUT,CUT,54,0.561,0.142,0.028,0.155
"Horschel, Billy",null,T27,4,T7,null,46,1.425,0.885,0.149,0.155
"Villegas, Camilo",T46,CUT,null,CUT,CUT,36,0.38,0.756,0.099,0.155
"Malnati, Peter",CUT,T27,CUT,CUT,T62,36,0.039,0.72,0.095,0.155
"English, Harris",null,CUT,T33,null,null,34,0.836,0.702,0.087,0.15
"Garnett, Brice",T51,CUT,CUT,T41,CUT,34,0.237,0.437,0.054,0.15
"Streelman, Kevin",T7,CUT,CUT,CUT,null,32,0.341,0.076,0.009,0.139
"Harman, Brian",CUT,T71,null,T45,null,32,0.41,-0.091,-0.011,0.139
"Kirk, Chris",T29,null,CUT,null,T5,32,0.718,0.205,0.024,0.139
"Cauley, Bud",null,null,null,CUT,CUT,32,0.646,0.258,0.03,0.139
"Rodgers, Patrick",CUT,T36,CUT,T33,T15,32,0.327,0.274,0.032,0.139
"Hubbard, Mark",T51,T61,CUT,CUT,T3,28,0.814,0.636,0.065,0.117
"Poston, J.T.",CUT,T21,T7,CUT,T11,28,0.894,0.533,0.055,0.117
"Im, Sungjae",T24,T2,T14,T41,T27,28,1.763,0.724,0.074,0.117
"McCarthy, Denny",T15,CUT,CUT,T33,T11,28,1.196,0.892,0.091,0.117
"McGirt, William",null,CUT,null,null,null,28,-0.012,-0.111,-0.011,0.117
"Kizzire, Patton",CUT,CUT,CUT,CUT,T44,28,0.108,0.65,0.066,0.117
"Kim, Michael",T65,null,T5,WD,T62,27,-1.305,-0.706,-0.07,0.111
"Matsuyama, Hideki",CUT,null,CUT,null,T19,26,0.81,-0.439,-0.042,0.106
"Dahmen, Joel",CUT,T81,T64,T64,T15,26,-0.255,-0.25,-0.024,0.106
"Power, Seamus",T60,null,null,T28,T44,25,-0.133,-0.05,-0.005,0.101
"Pan, C.T.",T29,WD,T64,WD,null,24,0.179,-0.02,-0.002,0.095
"Taylor, Nick",T10,T81,null,CUT,null,24,0.24,0.282,0.025,0.095
"Hoge, Tom",CUT,null,null,null,null,21,-0.291,-0.16,-0.012,0.079
"Schenk, Adam",CUT,CUT,T64,CUT,CUT,20,-1.494,-1.525,-0.111,0.073
"Bezuidenhout, Christiaan",null,T47,T51,T22,T62,20,0.416,-0.388,-0.028,0.073
"Mitchell, Keith",T55,T54,null,T12,CUT,20,0.253,0.053,0.004,0.073
"Hughes, Mackenzie",T37,CUT,CUT,T28,null,20,-0.022,-0.076,-0.006,0.073
"Ghim, Doug",CUT,CUT,T51,T41,CUT,20,0.191,-0.092,-0.007,0.073
"Davis, Cam",null,null,T7,CUT,T44,18,1.083,1.148,0.076,0.062
"Svensson, Adam",null,T78,T7,T7,CUT,18,0.841,0.589,0.039,0.062
"Jaeger, Stephan",null,T13,T14,CUT,CUT,18,-0.056,-0.157,-0.01,0.062
"Hossler, Beau",T65,null,CUT,T12,T15,18,0.056,0.131,0.009,0.062
"Blair, Zac",null,null,CUT,T45,CUT,17,-1.129,-1.044,-0.065,0.057
"Spieth, Jordan",null,null,null,CUT,T31,17,0.604,-0.242,-0.015,0.057
"Wallace, Matt",null,CUT,T45,T28,T27,16,0.523,0.307,0.018,0.051
"List, Luke",CUT,null,null,CUT,CUT,16,-1.307,-1.09,-0.064,0.051
"Putnam, Andrew",CUT,T27,T27,CUT,CUT,16,0.023,-0.2,-0.012,0.051
"Whaley, Vince",CUT,CUT,null,63,T74,16,-1.132,-0.796,-0.047,0.051
"Kuchar, Matt",T29,null,T38,T12,T44,16,0.929,0.625,0.037,0.051
"Wise, Aaron",T46,T13,null,null,WD,15,0.446,0.01,0.001,0.046
"Bradley, Keegan",null,null,null,T22,CUT,14,0.438,-0.562,-0.029,0.04
"Rai, Aaron",null,T71,CUT,1,T5,14,1.509,0.493,0.025,0.04
"Thompson, Davis",CUT,null,T22,T12,T11,14,1.253,0.821,0.042,0.04
"Lower, Justin",null,T36,CUT,T33,T44,14,0.08,0.355,0.018,0.04
"Smalley, Alex",T29,T13,CUT,CUT,CUT,14,0.496,0.374,0.019,0.04
"Griffin, Ben",null,4,CUT,T7,T11,14,1.58,1.466,0.075,0.04
"Moore, Taylor",null,T5,T22,T52,CUT,14,0.926,0.736,0.038,0.04
"Kohles, Ben",null,T54,null,CUT,CUT,14,-1.145,-0.556,-0.028,0.04
"Lipsky, David",null,T27,T45,CUT,T44,14,0.228,0.13,0.007,0.04
"Thomas, Justin",null,null,T12,null,null,13,0.037,-0.361,-0.017,0.035
"Lebioda, Hank",CUT,CUT,CUT,null,null,13,-0.698,-0.256,-0.012,0.035
"Novak, Andrew",null,CUT,T33,T52,CUT,12,-0.333,-0.391,-0.017,0.029
"Cole, Eric",null,null,T14,T7,T74,12,0.583,0.411,0.018,0.029
"McGreevy, Max",null,T5,T51,null,T34,12,0.986,1.538,0.067,0.029
"Straka, Sepp",T15,CUT,null,null,null,12,-0.631,-0.773,-0.034,0.029
"Noren, Alex",null,null,T38,null,T3,12,1.117,0.678,0.03,0.029
"Eckroat, Austin",T37,null,CUT,6,CUT,12,0.395,0.238,0.01,0.029
"Riley, Davis",null,T13,CUT,T38,CUT,12,0.207,0.312,0.014,0.029
"Schmid, Matti",null,null,T22,T64,T31,12,0.416,0.703,0.031,0.029
"Griffin, Lanto",CUT,null,null,null,T23,10,0.329,0.63,0.023,0.018
"Koepka, Brooks",null,null,null,null,null,10,0.675,-0.128,-0.005,0.018
"Skinns, David",null,80,null,CUT,T55,10,-0.983,-0.211,-0.008,0.018
"Ramey, Chad",null,CUT,CUT,T52,CUT,10,-0.947,-0.889,-0.033,0.018
"Hodges, Lee",null,T47,null,CUT,T55,10,-0.283,-0.443,-0.016,0.018
"Grillo, Emiliano",null,null,null,T59,T44,10,-0.444,-0.916,-0.033,0.018
