rank_model,player_name,neutral_skill_sg,neutral_skill_index,data_depth_class,baseline_confidence_band,venue_fit_score,venue_fit_delta,venue_fit_confidence_band,comp_course_adjustment,venue_history_rounds,venue_history_sg,venue_history_delta,venue_history_confidence_band,pre_penalty_vts,blend_class,blend_weights_used,tier_eligibility_gate_status,debut_class,debut_penalty_applied,anti_pattern_flags,anti_pattern_penalty_total,anti_pattern_trigger_trace,anti_pattern_modifier_trace,primary_risk_trait,risk_stressor_active,risk_secondary_discount_applied,risk_discount_trace,form_score_adjusted,recent_form_index,recent_form_gate_applied,health_flag,health_gate_status,health_gate_reason,player_variance_band,volatility_index,venue_variance_class,variance_adjustment_trace,probability_compression_class,probability_compression_coefficients,probability_compression_trace,vts_final,tier,tier_reason,win_pct,top3_pct,top5_pct,top10_pct,top20_pct,make_cut_pct,miss_cut_pct,trace_notes
1,Scottie Scheffler,-0.53,100.0,DEBUT,not_available_in_v3_source,97.57,97.57,1.0,not_available_in_v3_source,0,,49.61,NONE,83.26,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,43.64,43.64,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,83.26,1,elite approach (SG:APP +1.09) — directly meets Birkdale's 175–225yd demand; positive links SG signal (+0.931/rd) supports links-surface fit.,3.69,not_available_in_v3_source,14.24,23.43,36.84,95.4,4.6,"NSI=100.0(w=0.40) + VFS=97.6(w=0.30) + VHN=49.6(w=0.15) + FORM=43.6(w=0.15) = VTS=83.3. VFS = base 93.8 + links_delta +3.7. Links trace: raw_sig=+0.931; delta_vfs=+3.72; windows=[6m:-0.161(ev=1,conf=0.40→adj=-0.064) | 12m:+1.638(ev=2,conf=0.75→adj=+1.228) | 24m:+2.198(ev=3,conf=0.75→adj=+1.648) | alltime:+1.939(ev=8,conf=1.00→adj=+1.939)]"
2,Tommy Fleetwood,0.47,96.77,FULL,not_available_in_v3_source,88.86,88.86,1.0,not_available_in_v3_source,1,1.302,56.77,LIGHT,82.23,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,BirkdaleHistoryThin,0,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,55.64,55.64,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,82.23,1,strong approach game (SG:APP +0.63) in the primary scoring zone; single Birkdale event on record (SG +1.302/rd) — limited but positive signal; positive links SG signal (+1.482/rd) supports links-surface fit.,3.43,not_available_in_v3_source,13.43,22.31,35.46,94.9,5.1,"NSI=96.8(w=0.40) + VFS=88.9(w=0.30) + VHN=56.8(w=0.15) + FORM=55.6(w=0.15) = VTS=82.2. VFS = base 82.9 + links_delta +5.9. Links trace: raw_sig=+1.482; delta_vfs=+5.93; windows=[6m:+2.168(ev=1,conf=0.40→adj=+0.867) | 12m:+2.096(ev=4,conf=1.00→adj=+2.096) | 24m:+1.746(ev=8,conf=1.00→adj=+1.746) | alltime:+0.961(ev=44,conf=1.00→adj=+0.961)]"
3,Matt Fitzpatrick,0.24,97.42,FULL,not_available_in_v3_source,89.64,89.64,1.0,not_available_in_v3_source,1,0.802,52.44,LIGHT,81.66,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,BirkdaleHistoryThin,0,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,52.88,52.88,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,81.66,1,elite approach (SG:APP +0.86) — directly meets Birkdale's 175–225yd demand; single Birkdale event on record (SG +0.802/rd) — limited but positive signal; elite links SG signal (+1.606/rd weighted) confirms links-surface upside.,3.29,not_available_in_v3_source,13.0,21.71,34.72,94.6,5.4,"NSI=97.4(w=0.40) + VFS=89.6(w=0.30) + VHN=52.4(w=0.15) + FORM=52.9(w=0.15) = VTS=81.7. VFS = base 83.2 + links_delta +6.4. Links trace: raw_sig=+1.606; delta_vfs=+6.42; windows=[6m:+3.168(ev=1,conf=0.40→adj=+1.267) | 12m:+2.239(ev=4,conf=1.00→adj=+2.239) | 24m:+1.571(ev=7,conf=1.00→adj=+1.571) | alltime:+0.646(ev=32,conf=1.00→adj=+0.646)]"
4,Si Woo Kim,0.35,93.55,FULL,not_available_in_v3_source,92.45,92.45,1.0,not_available_in_v3_source,1,0.022,48.98,LIGHT,80.63,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,BirkdaleHistoryThin,0,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,0.0,not_available_in_v3_source,not_available_in_v3_source,putting volatility on links fescue,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,54.2,54.2,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,80.63,1,strong approach game (SG:APP +0.79) in the primary scoring zone; single Birkdale event on record (SG +0.022/rd) — limited but positive signal; positive links SG signal (+1.300/rd) supports links-surface fit.,3.06,not_available_in_v3_source,12.26,20.67,33.42,94.1,5.9,"NSI=93.5(w=0.40) + VFS=92.5(w=0.30) + VHN=49.0(w=0.15) + FORM=54.2(w=0.15) = VTS=80.6. VFS = base 87.2 + links_delta +5.2. Links trace: raw_sig=+1.300; delta_vfs=+5.20; windows=[6m:+2.668(ev=1,conf=0.40→adj=+1.067) | 12m:+1.977(ev=2,conf=0.75→adj=+1.483) | 24m:+1.517(ev=4,conf=1.00→adj=+1.517) | alltime:+1.043(ev=8,conf=1.00→adj=+1.043)]"
5,Russell Henley,-0.54,95.48,FULL,not_available_in_v3_source,88.96,88.96,0.3,not_available_in_v3_source,1,1.052,55.04,LIGHT,79.66,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,BirkdaleHistoryThin,0,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,43.52,43.52,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,79.66,1,strong approach game (SG:APP +0.70) in the primary scoring zone; single Birkdale event on record (SG +1.052/rd) — limited but positive signal; positive links SG signal (+1.210/rd) supports links-surface fit.,2.86,not_available_in_v3_source,11.6,19.74,32.24,93.5,6.5,"NSI=95.5(w=0.40) + VFS=89.0(w=0.30) + VHN=55.0(w=0.15) + FORM=43.5(w=0.15) = VTS=79.7. VFS = base 84.1 + links_delta +4.8. Links trace: raw_sig=+1.210; delta_vfs=+4.84; windows=[6m:no_data | 12m:no_data | 24m:+4.039(ev=1,conf=0.40→adj=+1.616) | alltime:+0.400(ev=9,conf=1.00→adj=+0.400)]"
6,Rory McIlroy,-0.05,99.35,FULL,not_available_in_v3_source,72.5,72.5,1.0,not_available_in_v3_source,1,2.802,67.17,LIGHT,78.98,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,BirkdaleHistoryThin,0,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,49.4,49.4,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,78.98,1,strong approach game (SG:APP +0.51) in the primary scoring zone; single Birkdale event on record (SG +2.802/rd) — limited but positive signal; elite links SG signal (+1.852/rd weighted) confirms links-surface upside.,2.72,not_available_in_v3_source,11.15,19.11,31.44,93.1,6.9,"NSI=99.3(w=0.40) + VFS=72.5(w=0.30) + VHN=67.2(w=0.15) + FORM=49.4(w=0.15) = VTS=79.0. VFS = base 65.1 + links_delta +7.4. Links trace: raw_sig=+1.852; delta_vfs=+7.41; windows=[6m:+2.918(ev=1,conf=0.40→adj=+1.167) | 12m:+3.066(ev=3,conf=0.75→adj=+2.300) | 24m:+2.260(ev=8,conf=1.00→adj=+2.260) | alltime:+1.870(ev=33,conf=1.00→adj=+1.870)]"
7,Jon Rahm,-0.49,98.06,FULL,not_available_in_v3_source,81.43,81.43,1.0,not_available_in_v3_source,1,0.802,52.44,LIGHT,78.14,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,BirkdaleHistoryThin,0,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,44.12,44.12,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,78.14,1,strong approach game (SG:APP +0.63) in the primary scoring zone; single Birkdale event on record (SG +0.802/rd) — limited but positive signal; positive links SG signal (+0.750/rd) supports links-surface fit.,2.56,not_available_in_v3_source,10.63,18.36,30.48,92.5,7.5,"NSI=98.1(w=0.40) + VFS=81.4(w=0.30) + VHN=52.4(w=0.15) + FORM=44.1(w=0.15) = VTS=78.1. VFS = base 78.4 + links_delta +3.0. Links trace: raw_sig=+0.750; delta_vfs=+3.00; windows=[6m:+0.918(ev=1,conf=0.40→adj=+0.367) | 12m:+0.918(ev=1,conf=0.40→adj=+0.367) | 24m:+1.973(ev=3,conf=0.75→adj=+1.480) | alltime:+1.973(ev=13,conf=1.00→adj=+1.973)]"
8,Viktor Hovland,0.39,90.32,DEBUT,not_available_in_v3_source,87.6,87.6,1.0,not_available_in_v3_source,0,,49.85,NONE,78.09,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,54.68,54.68,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,78.09,1,elite approach (SG:APP +0.83) — directly meets Birkdale's 175–225yd demand; positive links SG signal (+1.289/rd) supports links-surface fit.,2.55,not_available_in_v3_source,10.6,18.32,30.42,92.5,7.5,"NSI=90.3(w=0.40) + VFS=87.6(w=0.30) + VHN=49.9(w=0.15) + FORM=54.7(w=0.15) = VTS=78.1. VFS = base 82.5 + links_delta +5.2. Links trace: raw_sig=+1.289; delta_vfs=+5.16; windows=[6m:+2.168(ev=1,conf=0.40→adj=+0.867) | 12m:+2.227(ev=2,conf=0.75→adj=+1.670) | 24m:+1.210(ev=4,conf=1.00→adj=+1.210) | alltime:+1.589(ev=10,conf=1.00→adj=+1.589)]"
9,Cameron Young,-1.16,98.71,DEBUT,not_available_in_v3_source,85.55,85.55,0.3,not_available_in_v3_source,0,,49.49,NONE,77.98,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,RoyalBirkdaleDebut,0,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,36.08,36.08,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,77.98,2,strong approach game (SG:APP +0.65) in the primary scoring zone; positive links SG signal (+0.938/rd) supports links-surface fit.,2.53,not_available_in_v3_source,10.53,18.22,30.3,92.4,7.6,"NSI=98.7(w=0.40) + VFS=85.5(w=0.30) + VHN=49.5(w=0.15) + FORM=36.1(w=0.15) = VTS=78.0. VFS = base 81.8 + links_delta +3.8. Links trace: raw_sig=+0.938; delta_vfs=+3.75; windows=[6m:no_data | 12m:no_data | 24m:+1.289(ev=1,conf=0.40→adj=+0.516) | alltime:+1.782(ev=4,conf=1.00→adj=+1.782)]"
10,Xander Schauffele,-0.8,96.13,FULL,not_available_in_v3_source,75.34,75.34,1.0,not_available_in_v3_source,1,1.802,61.11,LIGHT,76.28,v3_fixed_40_30_15_15,NSI=0.40;VFS=0.30;VHN=0.15;FORM=0.15,not_available_in_v3_source,BirkdaleHistoryThin,0,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,0.0,not_available_in_v3_source,not_available_in_v3_source,standard major championship variance,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,40.4,40.4,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,HIGH,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,not_available_in_v3_source,76.28,2,strong approach game (SG:APP +0.67) in the primary scoring zone; single Birkdale event on record (SG +1.802/rd) — limited but positive signal; positive links SG signal (+0.764/rd) supports links-surface fit.,2.24,not_available_in_v3_source,9.56,16.8,28.45,91.1,8.9,"NSI=96.1(w=0.40) + VFS=75.3(w=0.30) + VHN=61.1(w=0.15) + FORM=40.4(w=0.15) = VTS=76.3. VFS = base 72.3 + links_delta +3.1. Links trace: raw_sig=+0.764; delta_vfs=+3.06; windows=[6m:-1.661(ev=1,conf=0.40→adj=-0.664) | 12m:+1.138(ev=2,conf=0.75→adj=+0.853) | 24m:+2.448(ev=4,conf=1.00→adj=+2.448) | alltime:+2.087(ev=10,conf=1.00→adj=+2.087)]"
